Recon 2 ID	Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD ID
CE3481	1-lyso-2-arachidonoyl-phosphatidate	BDCFJMBXZCIVRH-JOCHJYFZSA-N		HMDB12496		53481443	
CE3554	20-trihydroxy-leukotriene-B4	UZWWTCBNUQJEPB-ROUUACIJSA-N		HMDB12643		53481513	
CE4633	hypochlorous acid	QWPPOHNGKGFGJK-UHFFFAOYSA-N	24757		C19697	24341	
CE4722	beta-casomorphin (1-6)	WUHXJZCLFYNVBB-QNLYJVETSA-N					
CE4723	neocasomorphin (1-5)	WRNQQFNBEUKAAX-MOGNJTFLSA-N					
CE4724	apelin (1-12)	QZNKGTRFBWGADN-AOOBOKMPSA-N					
CE4753	dynorphin B (10-13)	VSLCIGXQLCYQTD-NPJQDHAYSA-N		HMDB12936		53481556	
CE4754	dynorphin B (6-9)	YTMBNLHIDIKJIU-HCXYKTFWSA-N		HMDB12937		53481557	
CE4786	nisinate	YHGJECVSSKXFCJ-UHFFFAOYSA-N		HMDB13025		53481586	
CE4788	acetamidopropanal	ARJPPNFIEQKVBB-UHFFFAOYSA-N	30322	HMDB12880	C18170	5460495	
CE4790	(3S)-3-hydroxy-cis-8-tetradecenoyl-CoA	ZQDIAQJHDIPXDI-NYPSOZKISA-N		HMDB12474		53481425	
CE4791	3(S)-hydroxy-dihomo-gama-linolenoyl-CoA	GFVFSXUAKLZOGC-BCZLVAJXSA-N					
CE4792	3-oxo-cis-8-tetradecenoyl-CoA	DMKQQTVHIVHGIT-CSQGFUHOSA-N					
CE4793	3-oxo-dihomo-gama-linolenoyl-CoA	DJFXNRBQUUFIOS-XTSUOFIPSA-N					
CE4794	cis-6-dodecenoyl-CoA	ZVMJJHXBJQTLEB-FFVFMXDZSA-N					
CE4795	2-trans-cis,cis,cis,cis-4,8,11,14-eicosapentaenoyl-CoA	VEOYVBZJFWTPAJ-XTSUOFIPSA-N					
CE4796	3-oxo-(2S)-methylisocapryloyl-CoA	RVEAGMLBRLLBNX-FTTOGWOTSA-N					
CE4797	2(R),6-dimethyl-heptanoyl-CoA	GPXWBKWDXPBLKS-PXTFLUNESA-N					
CE4798	2(S),6-dimethyl-heptanoyl-CoA	GPXWBKWDXPBLKS-PXTFLUNESA-N					
CE4799	2,6-dimethyl-trans-2-heptenoyl-CoA	BQVMKMLUXZLYFD-NOVIBXCGSA-N					
CE4800	3(S)-hydroxy-2(S),6-dimethyl-heptanoyl-CoA	YAVFKXHHHJEEQF-AKTDGZBXSA-N					
CE4801	3(S)-hydroxy-4(R),8-dimethyl-nonanoyl-CoA	AGRBRZWAKOHMRQ-PKJWWYGUSA-N					
CE4802	3(S)-hydroxy-4-methyl-pentanoyl-CoA	FVDISPKCRAHPBJ-FZUZKZESSA-N					
CE4803	3-oxo-4(R),8-dimethyl-nonanoyl-CoA	YMYLLQAUKBJHAS-VNIQNVQNSA-N					
CE4804	3-oxo-4-methyl-pentanoyl-CoA	NVBSRDSMDMDKDD-UTQFGUDVSA-N					
CE4805	4(R),8-dimethyl-nonanoyl-CoA	YGNKJFPEXQCWDB-ZSCXVXJESA-N					
CE4806	4(R),8-dimethyl-trans-2-nonenoyl-CoA	ZVFQTLFMFGJTNP-NUENEYPJSA-N					
CE4807	4-methyl-trans-2-pentenoyl-CoA	GJLUGLKKLPHWPU-UTQFGUDVSA-N					
CE4808	4-methyl-pentanoyl-CoA	GESPQCUXDWNNGU-UTQFGUDVSA-N					
CE4810	3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA	PCGPHLMAAZKQFQ-BCZLVAJXSA-N					
CE4811	3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA	VVLBCJHQULSXJN-XTSUOFIPSA-N					
CE4812	eicosa-2E,8Z,11Z,14Z,17Z-pentaenoyl-CoA	PTROMSLVPFEIQJ-XTSUOFIPSA-N					
CE4813	eicosa-5,8,11,14,17-all-cis-pentaenoyl-CoA	JWZLRYCDDXHXDL-XTSUOFIPSA-N					
CE4814	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA	PLHICYKOPITJJT-XTSUOFIPSA-N					
CE4815	stearidonoyl-CoA	DDHCSALWDPRVCN-UNAKSKPRSA-N	63545	HMDB06519	C16163	56928001	LMFA07050046
CE4816	2-trans-9,12,15,18,21-all-cis-tetracosahexaenoyl-CoA	MMZJVINJFSRJOK-XMLSFASZSA-N					
CE4817	3(S)-hydroxy-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA	KIDYDCLNVXONEF-RERJGFAQSA-N					
CE4818	3(S)-hydroxy-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA	DRQAURCKCKDINZ-UPRGOYRGSA-N					
CE4819	3-oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA	SLYKKQSPRFJDAF-IKNWWIGSSA-N					
CE4820	3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA	UQPANOGFYCZRAV-XMLSFASZSA-N					
CE4821	2-trans-7,10,13,16,19-all-cis-docosahexaenoyl-CoA	HGVXUTAEZALTIG-IKNWWIGSSA-N					
CE4822	docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA	NDRVWKXEWNMEEO-IKNWWIGSSA-N		HMDB06267		53477812	
CE4823	tetracosa-6,9,12,15,18,21-all-cis-hexaenoyl-CoA	KRIFZIRXAAITHR-XMLSFASZSA-N					
CE4824	tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA	BNAMTMVBOVNNSH-XMLSFASZSA-N					
CE4825	(3S)-hydroxy-tetracosa-6,9,12,15,18,21-all-cis-hexaenoyl-CoA	JJCGUWRDULVWQG-UPRGOYRGSA-N		HMDB12479		53481432	
CE4826	3-oxo-all-cis-6,9,12,15,18,21-tetracosahexaenoyl-CoA	DNHDPAXPQGYGIJ-XMLSFASZSA-N					
CE4827	docosa-4,7,10,13,16,19-all-cis-hexaenoyl-CoA	MENFZXMQSYYVRK-IKNWWIGSSA-N					
CE4828	trans-2-all-cis-6,9,12,15,18,21-tetracosaheptaenoyl-CoA	NVOWZIBKQIWTDG-XMLSFASZSA-N		HMDB06260	C16374	53477810	
CE4829	adrenoyl-CoA	QKBTYZDPVNTERQ-IKNWWIGSSA-N					
CE4830	2-trans-9,12,15,18-all-cis-tetracosapentaenoyl-CoA	AVRCOFDAWHWKMB-XMLSFASZSA-N					
CE4831	3(S)-hydroxy-docosa-7,10,13,16-all-cis-tetraenoyl-CoA	JHXLRLHTJYMVBK-RERJGFAQSA-N					
CE4832	3(S)-hydroxy-tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA	NNEPPYNERZEJEE-UPRGOYRGSA-N					
CE4833	3-oxo-docosa-7,10,13,16-all-cis-tetraenoyl-CoA	VMAJWSSWCPBIJY-IKNWWIGSSA-N					
CE4834	3-oxo-tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA	WSALICWLARPULC-XMLSFASZSA-N					
CE4835	2E,7Z,10Z,13Z,16Z-docosapentaenoyl-CoA	XSIBQUOFLNIVEK-IKNWWIGSSA-N					
CE4836	tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA	XZYNVQDKYRHKFG-XMLSFASZSA-N					
CE4837	tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA	OKOXEYTYHDPTEW-XMLSFASZSA-N					
CE4838	trans-2-all-cis-6,9,12,15,18-tetracosahexaenoyl-CoA	UYOKHWFEUAJFMG-XMLSFASZSA-N					
CE4839	6,9,12,15,18-all-cis-tetracosapentaenoate	VENRYLMOFDSSDJ-UHFFFAOYSA-N		HMDB06322		14505435	LMFA01030820
CE4840	(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA	MNTSLNSVZACNCX-BCZLVAJXSA-N					
CE4841	3-oxoeicosa-cis,cis-11,14-dienoyl-CoA	PUWDUOCPCWFEFG-XTSUOFIPSA-N					
CE4842	trans,cis,cis-2,11,14-eicosatrienoyl-CoA	JLHULLPFTGLIGF-XTSUOFIPSA-N					
CE4843	cis,cis-11,14-eicosadienoyl-CoA	YCKYOUVXZZJCIU-XTSUOFIPSA-N					
CE4844	3(S)-hydroxy-10,13,16-all-cis-docosatrienoyl-CoA	SHYOGNDOVWXSLL-RERJGFAQSA-N					
CE4845	3-oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA	GPKHWNMCLWDFOL-IKNWWIGSSA-N					
CE4846	trans,cis,cis,cis-2,10,13,16-docosatetraenoyl-CoA	KFIUKMFBVDDVDZ-IKNWWIGSSA-N					
CE4847	cis,cis,cis-10,13,16-docosatrienoyl-CoA	NRFSUEZXHDEQRO-IKNWWIGSSA-N					
CE4848	3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA	DALQBBQTVPOKDP-RERJGFAQSA-N					
CE4849	3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA	VYZWWTGHKBYTPF-UPRGOYRGSA-N					
CE4850	3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA	MUBUSEARPWRSQN-IKNWWIGSSA-N					
CE4851	3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA	HPMVBGKWFWCZAY-XMLSFASZSA-N					
CE4852	trans,cis,cis,cis,cis-2,10,13,16,19-docosapentaenoyl-CoA	YGPXPVHOFOFFGA-IKNWWIGSSA-N					
CE4853	trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA	PJWUUOREXKKLME-XMLSFASZSA-N					
CE4854	all-cis-10,13,16,19-docosatetraenoyl-CoA	BEEQBBPNTYBGDP-IKNWWIGSSA-N					
CE4855	all-cis-12,15,18,21-tetracosatetraenoyl-CoA	LLJDAYKOCIXVML-XMLSFASZSA-N					
CE4872	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al	USFJGINJGUIFSY-LPKCEUGUSA-N					
CE4874	5beta-cholestane-3alpha,7alpha,12alpha,27,27-pentaol	ISDIRLRPWGRAHM-YIJMXLABSA-N					
CE4876	delta12-Prostaglandin J2	TUXFWOHFPFBNEJ-IRXDYDNUSA-N				114678	
CE4877	15-deoxy-prostaglandin J2	VHRUMKCAEVRUBK-KRWDZBQOSA-N	607727	HMDB05079	C14717	404025	LMFA03010021
CE4881	nitryl chloride	NXRVFVBNLWGOCL-UHFFFAOYSA-N				13932711	
CE4888	dopaminochrome	SGNZYJXNUURYCH-UHFFFAOYSA-N	27404	HMDB04058	C05578	114683	
CE4890	N-methylsalsolinol	RKMGOUZXGHZLBJ-ZETCQYMHSA-N		HMDB03892		124148	
CE4898	13'-carboxy-gama-tocopherol	WPZHQZIUOXUCOK-HCWODPKDSA-N		HMDB12557		53481463	
CE4936	N-acetyl-leukotriene E4	BGGYAYMMFYBWEX-ZLNRFVROSA-N		HMDB05084	C11361	53477792	LMFA03020008
CE4968	isovalerylglycine	ZRQXMKMBBMNNQC-UHFFFAOYSA-N	70984	HMDB00678		546304	
CE4969	isobutyrylglycine	DCICDMMXFIELDF-UHFFFAOYSA-N	70979	HMDB00730		10855600	
CE4970	2-methylbutyrylglycine	HOACIBQKYRHBOW-UHFFFAOYSA-N	240943	HMDB00339		193872	
CE4980	Prostaglandin PGE2 glyceryl ester	HJWDPZIOTMUWRW-RJJVWVDVSA-N		HMDB13045		53481593	
CE4987	10,11-dihydro-leukotriene B4	NKUPFHTVILUPKF-OALUTQOASA-N		HMDB12504		53481449	
CE4988	10,11-dihydro-12-epi-leukotriene B4	NKUPFHTVILUPKF-OALUTQOASA-N					
CE4989	20-OH-10,11-dihydro-leukotriene B4	XDXPWMISTPZJGX-OALUTQOASA-N					
CE4990	12-oxo-leukotriene B4	SJVWVCVZWMJXOK-IBGZPJMESA-N	27814	HMDB04234	C05949	5280876	LMFA03020024
CE4993	10,11-dihydro-12R-hydroxy-leukotriene C4	GULYHEJDDHEDJT-VMAPGKTHSA-N					
CE5013	14-hydroxy-4,14-retro-retinol	PCRZONNRANOQPA-UHFFFAOYSA-N				6449967	
CE5014	anhydroretinol	FWNRILWHNGFAIN-UHFFFAOYSA-N	793340			5287678	
CE5016	13,14-dihydroxy-retinol	IPJVXOBBCWHWMP-UHFFFAOYSA-N					
CE5021	alpha-tocopheryl hydroquinone	JOURHZSBLWSODQ-SIPOYVIUSA-N					
CE5022	alpha-tocopheryl quinone	LTVDFSLWFKLJDQ-SIPOYVIUSA-N				24205	
CE5025	5-S-glutathionyl-dopamine	YTAAHCYRCMYQCJ-MNOVXSKESA-N					
CE5026	5-S-glutathionyl-L-DOPA	QPUCCRKMCAEIND-VWYCJHECSA-N					
CE5049	one carbon unit		50728				
CE5068	2-methylglutaconic acid	JKGHDBJDBRBRNA-UHFFFAOYSA-N		HMDB02266		193896	LMFA01170079
CE5072	21-hydroxyallopregnanolone	CYKYBWRSLLXBOW-KGRLHAKYSA-N	805752	HMDB00879	C13713	101771	LMST05030013
CE5079	1alpha-hydroxy-23-carboxy-24,25,26,27-tetranorvitamin D3	MBLYZRMZFUWLOZ-HUMJDSGLSA-N					
CE5082	N-acetyl-L-cystathionine	QWACVTVBTRSCRL-RNFRBKRXSA-N					
CE5101	1-phosphatidyl-1D-myo-inositol 5-phosphate(3-)		57795				
CE5114	trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA	WQDZFNIBNFNRLF-XTSUOFIPSA-N					
CE5115	trans-3-cis-5,8,11,14-eicosapentaenoyl-CoA	PHIGJHMEMQBUMA-XTSUOFIPSA-N					
CE5116	trans-3-cis-8,11,14-eicosatetraenoyl-CoA	NMDSFUNRXZNGPT-XTSUOFIPSA-N					
CE5117	(3E,5Z,8Z)-tetradecatrienoyl-CoA	FXHAQFYRGXSRHS-CSQGFUHOSA-N		HMDB12472		53481421	
CE5118	trans-2-cis,cis-4,8-tetradecatrienoyl-CoA	UNKYOAASBNXUKG-CSQGFUHOSA-N					
CE5119	trans-3-cis-8-tetradecadienoyl-CoA	IHYQVHHPNVFYHJ-CSQGFUHOSA-N					
CE5120	trans-2-cis-8-tetradecadienoyl-CoA	SLIJUARARQEXRE-CSQGFUHOSA-N					
CE5121	trans-3-decenoyl-CoA	CQGVNMQHZQJNII-KIRVJFPLSA-N	29126	HMDB02137		16019966	
CE5122	3(S)-phytanoyl-CoA	NRJQGHHZMSOUEN-XGBGSCKBSA-N					
CE5123	3(S)-2-hydroxyphytanoyl-CoA	WNVFJMYPVBOLKV-GBKROSJZSA-N	15475	HMDB01295	C07343	441263	
CE5125	(2S)-pristanoyl-CoA	XYJPSQPVCBNZHT-JZMGYAFSSA-N					
CE5126	(2R)-pristanoyl-CoA	XYJPSQPVCBNZHT-JZMGYAFSSA-N					
CE5132	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)		57923				
CE5138	12-oxo-20-hydroxy-leukotriene B4	CZWPUWRHQBAXJS-IBGZPJMESA-N		HMDB12552		53481459	
CE5139	12-oxo-20-dihydroxy-leukotriene B4	SBSLZLBZGOASJL-SFHVURJKSA-N		HMDB12551		53481458	
CE5140	12-oxo-20-trihydroxy-leukotriene B4	QVZXILIWUPKGPA-SFHVURJKSA-N		HMDB12553		53481460	
CE5141	12,20-dioxo-leukotriene B4	CPTWPKCLDUXOKW-LJQANCHMSA-N					
CE5144	3-oxo-11-cis-eicosenoyl-CoA	ASKKPQKSCFYPPP-XTSUOFIPSA-N					
CE5148	3(S)-hydroxy-11-cis-eicosenoyl-CoA	PREOMQKNJXWCLZ-BCZLVAJXSA-N					
CE5150	trans,cis-2,11-eicosadienoyl-CoA	LAECEUXZOONXDY-XTSUOFIPSA-N					
CE5151	11-cis-eicosenoyl-CoA	ZDRKXADSROCWCG-XTSUOFIPSA-N					
CE5152	3-oxo-13cis-docosenoyl-CoA	TWKFVJBYYSLPHE-IKNWWIGSSA-N					
CE5153	3(S)-hydroxy-13cis-docosenoyl-CoA	FIPHCVZAQUEADL-RERJGFAQSA-N					
CE5154	trans,cis-2,13-docosadienoyl-CoA	UYOUIGJQABBRNN-IKNWWIGSSA-N					
CE5155	cis-13-docosenoyl-CoA	OWGHRDKRIGXBJM-IKNWWIGSSA-N					
CE5156	3-oxo-cis-15-tetracosaenoyl-CoA	OYATWRUGHUAXMW-XMLSFASZSA-N					
CE5157	3(S)-hydroxy-cis-15-tetracosaenoyl-CoA	SOQFCYAWKYIIHN-UPRGOYRGSA-N					
CE5158	trans,cis-2,15-tetracosadienoyl-CoA	VXYLAQGCUVCPNJ-XMLSFASZSA-N					
CE5159	cis-15-tetracosenoyl-CoA	QHZAQVTVYPHLKK-XMLSFASZSA-N					
CE5160	3-oxo-cis-9-octadecenoyl-CoA	AVEYYKDEKGJVBU-UNAKSKPRSA-N					
CE5161	3(S)-hydroxy-cis-9-octadecenoyl-CoA	LHAYYTCFPMUQNR-FQDOHAFRSA-N					
CE5162	trans,cis-2,9-octadecadienoyl-CoA	REOYMONHGHULEY-UNAKSKPRSA-N					
CE5165	25(R)-trihydroxycoprostanoyl-CoA	MNYDLIUNNOCPHG-UTVLOCCKSA-N					
CE5166	25(S)-trihydroxycoprostanoyl-CoA	MNYDLIUNNOCPHG-UTVLOCCKSA-N	15493	HMDB02178	C05448	15942872	
CE5168	24(R),25(R)-varanoyl-CoA	PXHZOQNODUPJKC-GKIAFXIOSA-N					
CE5169	24-oxo-25(R)-trihydroxycoprostanoyl-CoA	AWLXQJGPNLCTLM-VZYFUWEHSA-N	27379	HMDB06891	C05467	440690	
CE5178	5-oxo-6-trans-leukotriene B4	MLZJFLKEKVDNAZ-GOSISDBHSA-N		HMDB12824		53481526	
CE5179	6,7-dihydro-5-oxo-leukotriene B4	RUTQOBJLGHUCJC-GOSISDBHSA-N					
CE5236	O2'-4a-cyclic-tetrahydrobiopterin	JZTDUNXDDUJXRZ-IPXZDEKYSA-N		HMDB13031		53481588	
CE5239	2-hydroxy-17beta-estradiol-4-S-glutathione	RCTUXLCVWTYQMR-AGFNSGRBSA-N					
CE5240	2-hydroxyestrone-4-S-glutathione	ZKSQMGPMDHYFMB-LCOBOIQCSA-N		HMDB12624		53481502	
CE5241	2-hydroxy-17beta-estradiol-1-S-glutathione	RJWRZPLAJHOFTD-JDLFSZKWSA-N					
CE5242	2-hydroxyestrone-1-S-glutathione	DGWRLJJHHOOYBF-KBPAMUMTSA-N		HMDB12623		53481501	
CE5243	4-hydroxy-17beta-estradiol-2-S-glutathione	ARFSXJIGVSWGDY-AGFNSGRBSA-N					
CE5244	4-hydroxyestrone-2-S-glutathione	UKCFCQKNUGHMIT-LCOBOIQCSA-N		HMDB12780		53481521	
CE5249	17beta-estradiol-3,4-quinone	XVPUMLOTNZVTSL-BLNOFITASA-N					
CE5250	17beta-estradiol-2,3-quinone	LBSRSXWOMYPVBY-LRDWQAQRSA-N					
CE5251	estrone-3,4-quinone	REMSDZFYMQQJFD-LSIMKLPESA-N		HMDB12942		114862	
CE5252	estrone-2,3-quinone	WFPLOQDPWXNOST-WKZPIUISSA-N		HMDB12941		148381	
CE5253	17beta-estradiol-3,4-semiquinone						
CE5254	17beta-estradiol-2,3-semiquinone						
CE5255	estrone-3,4-semiquinone						
CE5256	estrone-2,3-semiquinone						
CE5272	3,4-dihydro-1,4-benzothiazine-3-carboxylate	ACUWXAUSGNGBKQ-RNFRBKRXSA-N					
CE5274	3,5-dihydroxy-3,4-dihydro-1,4-benzothiazine	SPQSSVXRGGWWIP-VJSCVCEBSA-N					
CE5276	dopamine o-quinone	PQPXZWUZIOASKS-UHFFFAOYSA-N		HMDB12219	C17755	162602	
CE5277	aminochrome o-semiquinone	SUOKBNMHVMNQDG-UHFFFAOYSA-N					
CE5278	dopachrome o-semiquinone	YHAPBGUGQAHLME-ZCFIWIBFSA-N		HMDB12931		53481550	
CE5304	15-deoxy-PGD2	QUGBPWLPAUHDTI-PKOBYXMFSA-N				5283052	LMFA03010051
CE5305	3(S),6(R)-dihydroxy-tetradec-8Z-enoate	OUPAWBIIPPCTBK-OLZOCXBDSA-N					
CE5306	3(S),8(R)-dihydroxy-6E,10Z-hexadecadienoate	XUYMRSHCNSDJAN-CABCVRRESA-N					
CE5307	3-oxo-10(R)-hydroxy-octadeca-6E,8E,12Z-trienoate	DASVGFACDRAZQR-MRXNPFEDSA-N					
CE5308	3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate	JVEAMJNRAYIMIF-GFCCVEGCSA-N					
CE5309	3-oxo-8(R)-hydroxy-hexadeca-6E,10Z-dienoate	NWVJXHCRPZDUPG-CQSZACIVSA-N					
CE5310	4(R)-hydroxy-dodec-6Z-enoate	CEFZHZYOVDYOOX-LLVKDONJSA-N					
CE5311	6(R)-hydroxy-tetradeca-2E,4E,8Z-trienoate	QUFPURXOBLGZGX-CYBMUJFWSA-N					
CE5312	6(R)-hydroxy-tetradeca-2E,8Z-dienoate	VQWQOPHSYMUQTK-CYBMUJFWSA-N					
CE5313	6(R)-hydroxy-tetradeca-4E,8Z-dienoate	YUXIINYOKQBAER-CYBMUJFWSA-N					
CE5314	8(R)-hydroxy-hexadeca-2E,4E,6E,10Z-tetraenoate	TVMLJOGNECRAAY-OAHLLOKOSA-N					
CE5315	8(R)-hydroxy-hexadeca-2E,6E,10Z-trienoate	IJVWUUQYBXXWDO-OAHLLOKOSA-N					
CE5316	8(R)-hydroxy-hexadeca-4E,6E,10Z-trienoate	KBOVKDIBOBQLRS-OAHLLOKOSA-N				6610221	
CE5317	3(S),6(S)-dihydroxy-tetradec-8Z-enoate	OUPAWBIIPPCTBK-OLZOCXBDSA-N					
CE5318	3(S),8(S)-dihydroxy-6E,10Z-hexadecadienoate	XUYMRSHCNSDJAN-CABCVRRESA-N					
CE5319	3-oxo-10(S)-hydroxy-octadeca-6E,8E,12Z-trienoate	DASVGFACDRAZQR-MRXNPFEDSA-N					
CE5320	3-oxo-6(S)-hydroxy-tetradec-8Z-enoate	JVEAMJNRAYIMIF-GFCCVEGCSA-N					
CE5321	3-oxo-8(S)-hydroxy-hexadeca-6E,10Z-dienoate	NWVJXHCRPZDUPG-CQSZACIVSA-N					
CE5322	4(S)-hydroxy-dodec-6Z-enoate	CEFZHZYOVDYOOX-LLVKDONJSA-N					
CE5323	6(S)-hydroxy-tetradeca-2E,4E,8Z-trienoate	QUFPURXOBLGZGX-CYBMUJFWSA-N					
CE5324	6(S)-hydroxy-tetradeca-2E,8Z-dienoate	VQWQOPHSYMUQTK-CYBMUJFWSA-N					
CE5325	6(S)-hydroxy-tetradeca-4E,8Z-dienoate	YUXIINYOKQBAER-CYBMUJFWSA-N					
CE5326	8(S)-hydroxy-hexadeca-2E,4E,6E,10Z-tetraenoate	TVMLJOGNECRAAY-OAHLLOKOSA-N					
CE5327	8(S)-hydroxy-hexadeca-2E,6E,10Z-trienoate	IJVWUUQYBXXWDO-OAHLLOKOSA-N					
CE5328	8(S)-hydroxy-hexadeca-4E,6E-10Z-trienoate	KBOVKDIBOBQLRS-OAHLLOKOSA-N				6610221	
CE5329	3(S),12(S)-dihydroxy-5-oxo-eicosa-8E,10E,14Z-trienoyl-CoA	MTOULHSNAKRXGD-YCGRRFPFSA-N					
CE5331	3,5-dioxo-12(S)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA	KPSNLEVFRZBSQC-FFBVUHOJSA-N					
CE5337	3-oxo-10(S)-hydroxy-octadeca-6E,8E,12Z-trienoyl-CoA	SVVDPRGQCCIAMF-DAPQIYONSA-N					
CE5341	5-oxo-12(S)-hydroxy-eicosa-2E,8E,10E,14Z-tetraenoyl-CoA	JAXQYBDKEXQEIO-GJQNRNMWSA-N					
CE5342	5-oxo-12(S)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA	SMWLNBURDHTIJO-GJQNRNMWSA-N					
CE5343	6,7-dihydro-5-oxo-12-epi-leukotriene B	RUTQOBJLGHUCJC-GOSISDBHSA-N					
CE5344	3(S),12(R)-dihydroxy-5-oxo-eicosa-8E,10E,14Z-trienoyl-CoA	MTOULHSNAKRXGD-YCGRRFPFSA-N					
CE5345	3,5-dioxo-12(R)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA	KPSNLEVFRZBSQC-FFBVUHOJSA-N					
CE5346	3-oxo-10(R)-hydroxy-octadeca-6E,8E,12Z-trienoyl-CoA	SVVDPRGQCCIAMF-DAPQIYONSA-N					
CE5347	5-oxo-12(R)-hydroxy-eicosa-2E,8E,10E,14Z-tetraenoyl-CoA	JAXQYBDKEXQEIO-GJQNRNMWSA-N					
CE5348	5-oxo-12(R)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA	SMWLNBURDHTIJO-GJQNRNMWSA-N					
CE5349	5-oxo-6E-12-epi-leukotriene B4	MLZJFLKEKVDNAZ-GOSISDBHSA-N					
CE5352	6,7-dihydro-leukotriene B4	ZMZNVSWCIRFLBV-MOPGFXCFSA-N					
CE5456	(R)-2-hydroxy-4-methylpentanoate	LVRFTAZAXQPQHI-RXMQYKEDSA-N	55534	HMDB00624	C03264	439960	LMFA01050402
CE5525	12-oxo-20-carboxy-leukotriene B4	VLMCDTMNMDDMLC-SFHVURJKSA-N		HMDB12550		53481457	
CE5526	13-oxy radical-octadecadienoate	SGZUZQZFBXIRKL-UHFFFAOYSA-N					
CE5527	12,13-epoxylinoleic acid radical	KAQZXMRGPQCJTK-UHFFFAOYSA-N					
CE5528	12,13-epoxy-9-alkoxy-10E-octadecenoate	FILPLNYDXWIUGJ-UHFFFAOYSA-N					
CE5530	7alpha,27-dihydroxycholesterol	RXMHNAKZMGJANZ-DTTSCKGMSA-N	18431	HMDB06281	C06341	440985	LMST04030081
CE5531	12-oxo-c-LTB3	ZFHPYBQKHVEFHO-VPBXCIAMSA-N					
CE5533	9,11-cycloperoxy-15-hydroperoxy-5Z,13E-eicosadienoate	SGUKUZOVHSFKPH-WRDXCJKLSA-N					
CE5534	9,11-cycloperoxy-5-hydroperoxy-6E,14Z-eicosadienoate	QPLJAGNIJZAPRJ-QHIRMHHVSA-N					
CE5535	9-peroxy-5Z,7E,11Z,14Z-eicosatetraenoate	LUNSZADIOHDKBX-UHFFFAOYSA-N					
CE5536	adrenochrome	RPHLQSHHTJORHI-UHFFFAOYSA-N	838058	HMDB12884		5898	
CE5537	11-peroxy-5Z,8Z,12E,14Z-eicosatetraenoate	CUVDHYYMVDOGDE-UHFFFAOYSA-N					
CE5538	noradrenochrome	PTQNKGWWIYGAAE-UHFFFAOYSA-N		HMDB13030		10176277	
CE5541	adrenochrome o-semiquinone	YNKQTALYBHMWCC-UHFFFAOYSA-N		HMDB12883		10313383	
CE5542	noradrenochrome o-semiquinone	OHRTXTGCGQYCMB-UHFFFAOYSA-N		HMDB13029		53481587	
CE5544	5-S-glutathionyl-dopachrome hydroquinone	OKIPDFKDQBFUGS-IEBDPFPHSA-N					
CE5545	5-S-glutathionyl-aminochrome reduced	OWLBFEJNNSEXED-KOLCDFICSA-N					
CE5546	5-S-glutathionyl-adrenochrome hydroquinone	UMHIHIHOPWDCAG-RLBMWQAVSA-N					
CE5547	5-S-glutathionyl-noradrenochrome hydroquinone	XTLRYYYPDRZRCW-HTDYCOQPSA-N					
CE5560	glycolithocholate	XBSQTYHEGZTYJE-OETIFKLTSA-N	37998	HMDB00698	C15557	115245	LMST05030009
CE5586	N-[(E)-4-ammoniobutylidene]propane-1,3-diaminium	YAVLYBVKPXLZEQ-UHFFFAOYSA-N	58732			23657850	
CE5588	deoxyhypusine	PGPFBXMCOQNMJO-VIFPVBQESA-N	50038	HMDB11150		122083	
CE5591	4-OH-13-cis-retinal	NCIHLRCJOBKKAL-UHFFFAOYSA-N					
CE5592	4-OH-9-cis-retinal	NCIHLRCJOBKKAL-UHFFFAOYSA-N					
