"affy_hg_u95av2"	"entrezgene"
"39594_f_at"	4496
"31607_at"	NA
"32770_at"	9871
"1329_s_at"	NA
"40682_at"	2998
"1199_at"	NA
"32945_i_at"	4153
"32946_r_at"	4153
"40780_at"	NA
"651_at"	6119
"652_g_at"	6119
"35156_at"	203069
"41658_at"	10435
"35607_at"	NA
"37019_at"	2244
"39438_at"	1389
"38096_f_at"	3115
"38095_i_at"	3115
"657_at"	56108
"37456_at"	3957
"38590_r_at"	NA
"38589_i_at"	NA
"33050_at"	1816
"40087_at"	10497
"38626_at"	23140
"34681_at"	9723
"35183_at"	21
"34651_at"	1312
"32076_at"	10231
"41710_at"	54103
"39688_at"	5977
"1114_at"	652
"40333_at"	652
"41262_at"	9567
"34028_at"	2842
"156_s_at"	2842
"33318_at"	10150
"1690_at"	8641
"657_at"	8641
"1690_at"	56101
"657_at"	56101
"32359_at"	8840
"41395_at"	8534
"38951_at"	1305
"38952_s_at"	1305
"37376_at"	51035
"34637_f_at"	125
"35730_at"	125
"35868_at"	177
"32963_s_at"	58528
"33810_at"	8295
"657_at"	5098
"657_at"	9708
"35972_at"	79621
"33819_at"	3945
"33375_at"	4646
"35020_at"	8929
"39247_at"	730013
"34582_at"	6506
"35524_at"	733
"40053_at"	23071
"35755_at"	3705
"35882_at"	3705
"38736_at"	9948
"36333_at"	NA
"40447_at"	9663
"37147_at"	6320
"37459_at"	1295
"31325_at"	NA
"34310_at"	353
"31527_at"	26784
"31527_at"	NA
"39632_at"	4322
"40417_at"	22948
"33389_at"	401387
"36005_at"	11129
"32211_at"	5719
"39120_at"	4501
"37657_at"	5064
"40426_at"	9275
"34837_at"	23384
"34812_at"	64689
"31537_at"	417
"657_at"	56107
"37730_at"	27044
"250_at"	NA
"40822_at"	NA
"33677_at"	6152
"657_at"	56100
"34037_at"	3578
"36706_at"	6792
"36707_s_at"	6792
"41486_at"	11228
"41486_at"	100996477
"256_s_at"	NA
"41418_at"	22859
"1530_g_at"	10129
"33276_at"	10129
"1529_at"	10129
"31792_at"	306
"41223_at"	9377
"39771_at"	9886
"35564_at"	NA
"31614_at"	NA
"35336_at"	25777
"1038_s_at"	3459
"41183_at"	1479
"39915_at"	7226
"36249_at"	253982
"364_s_at"	5331
"37725_at"	5501
"32795_at"	NA
"34344_at"	8518
"41377_f_at"	7364
"41376_i_at"	7364
"40271_at"	9688
"32416_at"	NA
"33606_g_at"	4821
"33605_at"	4821
"39482_at"	NA
"AFFX-HUMGAPDH/M33197_M_st"	NA
"AFFX-HUMGAPDH/M33197_3_st"	NA
"38989_at"	56941
"430_at"	4860
"32369_at"	NA
"35075_at"	27079
"33493_at"	NA
"40044_at"	8178
"38634_at"	5947
"31928_at"	2251
"272_at"	2922
"273_g_at"	2922
"36786_at"	NA
"41485_at"	NA
"40273_at"	56848
"37773_at"	23322
"31776_at"	NA
"35665_at"	5289
"34943_at"	123720
"38206_at"	6123
"36453_at"	9920
"33780_at"	6843
"33779_at"	6843
"35502_at"	269
"39958_at"	NA
"35901_at"	9271
"36504_at"	10667
"647_at"	10544
"470_at"	10669
"40296_at"	NA
"39715_at"	100616400
"32339_at"	5539
"35007_at"	221830
"40265_s_at"	100130348
"36726_at"	5075
"1576_g_at"	5244
"33978_at"	5244
"35981_at"	5968
"32924_at"	10893
"246_at"	3816
"32554_s_at"	6907
"1599_at"	1033
"39119_s_at"	9235
"38212_at"	2583
"34457_at"	7781
"36171_at"	10923
"37032_at"	4837
"33783_at"	5364
"34810_at"	57017
"41789_r_at"	9819
"41788_i_at"	9819
"37512_at"	8630
"39296_at"	NA
"39739_at"	342538
"38728_at"	23165
"37071_at"	1258
"37072_at"	1258
"32796_f_at"	NA
"590_at"	3384
"38454_g_at"	3384
"38453_at"	3384
"37347_at"	NA
"33614_at"	NA
"38773_at"	873
"36456_at"	26009
"31771_at"	401014
"31771_at"	100505498
"40284_at"	3170
"37846_at"	23092
"38646_s_at"	5967
"39920_r_at"	10882
"31554_at"	1144
"41001_at"	22895
"32727_at"	NA
"39133_at"	NA
"33796_at"	NA
"35748_at"	26798
"31334_at"	11250
"33395_at"	26099
"35748_at"	619569
"36387_at"	283345
"31605_at"	283345
"33118_at"	7869
"40988_at"	10730
"32668_at"	23635
"37113_at"	9392
"34016_s_at"	4363
"1896_s_at"	4363
"34384_at"	4363
"34017_s_at"	4363
"39133_at"	2647
"40125_at"	821
"32264_at"	3004
"36561_at"	5096
"40877_s_at"	440248
"35927_r_at"	10859
"35262_at"	3692
"1820_g_at"	5911
"1819_at"	5911
"41317_at"	5911
"41318_g_at"	5911
"31378_at"	5309
"31707_at"	7556
"1918_at"	6497
"41499_at"	6497
