"GSM862922_U87.1.CEL.gz"	"GSM862923_U87.2.CEL.gz"	"GSM862924_U87.3.CEL.gz"
"1552337_s_at"	"A"	"A"	"A"
"1552338_at"	"A"	"A"	"A"
"1552340_at"	"A"	"A"	"A"
"1552343_s_at"	"A"	"P"	"P"
"1552344_s_at"	"P"	"P"	"P"
"1552347_at"	"P"	"P"	"P"
"1552348_at"	"A"	"A"	"A"
"1552349_a_at"	"A"	"A"	"A"
"1552354_at"	"A"	"A"	"A"
"1552355_s_at"	"A"	"A"	"A"
"1552359_at"	"A"	"A"	"A"
"1552360_a_at"	"A"	"A"	"A"
"1552362_a_at"	"P"	"P"	"P"
"1552364_s_at"	"A"	"A"	"A"
"1552365_at"	"A"	"A"	"A"
"1552367_a_at"	"A"	"A"	"A"
"1552368_at"	"A"	"A"	"A"
"1552370_at"	"P"	"P"	"A"
"1552372_at"	"A"	"A"	"A"
"1552373_s_at"	"A"	"A"	"A"
"1552375_at"	"A"	"A"	"A"
"1552377_s_at"	"A"	"A"	"A"
"1552378_s_at"	"A"	"A"	"A"
"1552379_at"	"A"	"A"	"A"
"1552381_at"	"A"	"A"	"A"
"1552383_at"	"A"	"A"	"A"
"1552384_a_at"	"A"	"A"	"A"
"1552386_at"	"A"	"A"	"A"
"1552388_at"	"A"	"A"	"A"
"1552389_at"	"A"	"A"	"A"
"1552390_a_at"	"A"	"A"	"A"
"1552391_at"	"A"	"A"	"A"
"1552393_at"	"A"	"A"	"A"
"1552394_a_at"	"A"	"A"	"A"
"1552395_at"	"A"	"A"	"A"
"1552396_at"	"A"	"A"	"A"
"1552398_a_at"	"A"	"A"	"A"
"1552399_a_at"	"A"	"A"	"A"
"1552400_a_at"	"A"	"A"	"A"
"1552401_a_at"	"A"	"P"	"A"
"1552402_at"	"A"	"A"	"A"
"1552405_at"	"A"	"A"	"A"
"1552408_at"	"A"	"A"	"A"
"1552409_a_at"	"A"	"A"	"A"
"1552410_at"	"P"	"A"	"M"
"1552411_at"	"A"	"A"	"A"
"1552412_a_at"	"A"	"A"	"A"
"1552414_at"	"A"	"A"	"A"
"1552415_a_at"	"A"	"A"	"A"
"1552417_a_at"	"A"	"A"	"A"
"1552418_at"	"A"	"A"	"A"
"1552419_s_at"	"M"	"A"	"A"
"1552421_a_at"	"A"	"A"	"A"
"1552422_at"	"A"	"A"	"A"
"1552423_at"	"A"	"P"	"A"
"1552424_at"	"A"	"A"	"A"
"1552425_a_at"	"A"	"A"	"A"
"1552426_a_at"	"P"	"P"	"P"
"1552427_at"	"A"	"A"	"A"
"1552430_at"	"A"	"M"	"A"
"1552432_at"	"A"	"A"	"A"
"1552436_a_at"	"A"	"A"	"A"
"1552438_a_at"	"A"	"A"	"A"
"1552439_s_at"	"A"	"A"	"A"
"1552440_at"	"A"	"P"	"A"
"1552445_a_at"	"A"	"A"	"A"
"1552448_a_at"	"A"	"A"	"A"
"1552449_a_at"	"A"	"A"	"A"
"1552450_a_at"	"A"	"A"	"A"
"1552452_at"	"A"	"A"	"A"
"1552453_a_at"	"A"	"A"	"A"
"1552455_at"	"A"	"A"	"A"
"1552456_a_at"	"A"	"A"	"A"
"1552457_a_at"	"A"	"A"	"A"
"1552458_at"	"A"	"A"	"A"
"1552459_a_at"	"A"	"A"	"A"
"1552461_at"	"A"	"A"	"A"
"1552463_at"	"A"	"A"	"A"
"1552466_x_at"	"A"	"A"	"A"
"1552467_at"	"A"	"A"	"A"
"1552468_a_at"	"A"	"A"	"A"
"1552470_a_at"	"A"	"A"	"A"
"1552472_a_at"	"A"	"A"	"A"
"1552473_at"	"A"	"A"	"A"
"1552474_a_at"	"A"	"A"	"P"
"1552476_s_at"	"A"	"A"	"A"
"1552477_a_at"	"A"	"A"	"A"
"1552478_a_at"	"A"	"A"	"A"
"1552480_s_at"	"A"	"A"	"A"
"1552481_s_at"	"A"	"A"	"A"
"1552482_at"	"P"	"A"	"A"
"1552484_at"	"A"	"A"	"A"
"1552485_at"	"P"	"P"	"P"
"1552486_s_at"	"P"	"P"	"P"
"1552487_a_at"	"A"	"A"	"A"
"1552489_s_at"	"P"	"P"	"P"
"1552490_at"	"M"	"A"	"A"
"1552491_at"	"A"	"A"	"A"
"1552493_s_at"	"A"	"A"	"A"
"1552494_at"	"A"	"A"	"A"
"1552496_a_at"	"A"	"A"	"A"
"1552497_a_at"	"A"	"M"	"M"
"1552498_at"	"A"	"A"	"P"
