"GSM862922_U87.1.CEL.gz"	"GSM862923_U87.2.CEL.gz"	"GSM862924_U87.3.CEL.gz"
"1564356_at"	"A"	"A"	"A"
"1564357_at"	"A"	"A"	"A"
"1564358_at"	"A"	"A"	"A"
"1564359_a_at"	"A"	"A"	"A"
"1564360_a_at"	"A"	"P"	"A"
"1564362_x_at"	"P"	"P"	"P"
"1564367_at"	"A"	"A"	"A"
"1564368_a_at"	"A"	"A"	"A"
"1564369_at"	"A"	"A"	"A"
"1564371_a_at"	"A"	"A"	"A"
"1564372_s_at"	"A"	"A"	"M"
"1564373_a_at"	"A"	"A"	"A"
"1564377_at"	"A"	"A"	"A"
"1564378_a_at"	"P"	"P"	"P"
"1564379_at"	"A"	"A"	"A"
"1564381_s_at"	"A"	"A"	"A"
"1564383_s_at"	"A"	"A"	"A"
"1564385_at"	"A"	"A"	"A"
"1564386_at"	"A"	"A"	"A"
"1564387_at"	"A"	"P"	"A"
"1564389_at"	"A"	"A"	"A"
"1564391_at"	"A"	"A"	"A"
"1564392_at"	"A"	"A"	"A"
"1564399_a_at"	"A"	"A"	"A"
"1564400_at"	"A"	"A"	"A"
"1564401_at"	"A"	"A"	"A"
"1564402_at"	"A"	"A"	"A"
"1564403_at"	"A"	"A"	"A"
"1564405_at"	"A"	"P"	"A"
"1564407_a_at"	"A"	"A"	"A"
"1564413_at"	"A"	"A"	"A"
"1564414_a_at"	"A"	"A"	"A"
"1564421_at"	"A"	"A"	"A"
"1564423_a_at"	"A"	"A"	"A"
"1564424_at"	"A"	"A"	"A"
"1564426_x_at"	"A"	"A"	"A"
"1564429_at"	"A"	"A"	"A"
"1564430_at"	"A"	"A"	"A"
"1564431_a_at"	"A"	"A"	"A"
"1564435_a_at"	"A"	"A"	"A"
"1564438_at"	"A"	"A"	"P"
"1564439_a_at"	"A"	"A"	"A"
"1564443_at"	"A"	"A"	"A"
"1564444_at"	"A"	"A"	"A"
"1564446_at"	"A"	"A"	"A"
"1564449_at"	"A"	"A"	"A"
"1564451_at"	"A"	"A"	"A"
"1564459_at"	"A"	"A"	"A"
"1564460_at"	"A"	"A"	"A"
"1564463_at"	"A"	"A"	"A"
"1564466_at"	"A"	"A"	"A"
"1564467_at"	"A"	"A"	"A"
"1564468_at"	"A"	"A"	"A"
"1564469_at"	"A"	"A"	"A"
"1564471_at"	"A"	"A"	"A"
"1564472_at"	"A"	"A"	"A"
"1564473_at"	"A"	"A"	"A"
"1564474_at"	"A"	"A"	"A"
"1564475_s_at"	"A"	"A"	"A"
"1564479_a_at"	"A"	"A"	"A"
"1564482_at"	"A"	"A"	"A"
"1564485_at"	"A"	"A"	"A"
"1564490_at"	"A"	"A"	"A"
"1564491_at"	"A"	"A"	"A"
"1564494_s_at"	"P"	"P"	"P"
"1564498_at"	"A"	"M"	"M"
"1564499_at"	"A"	"A"	"A"
"1564504_at"	"A"	"A"	"P"
"1564510_at"	"A"	"A"	"A"
"1564511_a_at"	"A"	"A"	"A"
"1564514_at"	"A"	"A"	"A"
"1564520_s_at"	"P"	"P"	"P"
"1564521_x_at"	"P"	"P"	"P"
"1564525_at"	"A"	"A"	"A"
"1564533_at"	"A"	"A"	"A"
"1564536_at"	"A"	"A"	"A"
"1564537_a_at"	"A"	"A"	"A"
"1564539_at"	"A"	"A"	"A"
"1564544_x_at"	"M"	"A"	"A"
"1564545_a_at"	"A"	"A"	"A"
"1564547_x_at"	"A"	"A"	"M"
"1564548_at"	"A"	"A"	"A"
"1564552_at"	"A"	"P"	"A"
"1564559_at"	"A"	"A"	"A"
"1564561_at"	"A"	"A"	"A"
"1564567_at"	"A"	"A"	"P"
"1564568_at"	"A"	"A"	"A"
"1564573_at"	"A"	"A"	"A"
"1564580_at"	"A"	"A"	"A"
"1564584_at"	"A"	"A"	"A"
"1564590_a_at"	"A"	"A"	"A"
"1564591_a_at"	"A"	"A"	"A"
"1564595_at"	"A"	"A"	"A"
"1564598_a_at"	"A"	"A"	"A"
"1564600_a_at"	"A"	"A"	"A"
"1564601_at"	"A"	"A"	"A"
"1564603_at"	"A"	"A"	"A"
"1564610_at"	"A"	"A"	"A"
"1564620_at"	"A"	"A"	"A"
"1564621_a_at"	"A"	"A"	"A"
"1564626_at"	"A"	"A"	"A"
"1564627_at"	"A"	"A"	"A"
"1564628_at"	"A"	"A"	"A"
"1564630_at"	"A"	"A"	"A"
"1564631_at"	"A"	"A"	"A"
"1564632_at"	"A"	"A"	"A"
"1564635_a_at"	"P"	"P"	"P"
"1564637_a_at"	"P"	"P"	"P"
"1564639_at"	"A"	"A"	"A"
"1564640_at"	"A"	"A"	"A"
"1564642_at"	"A"	"A"	"A"
"1564651_at"	"A"	"P"	"A"
"1564653_s_at"	"A"	"A"	"A"
"1564654_at"	"A"	"A"	"A"
"1564656_at"	"A"	"A"	"P"
"1564658_at"	"A"	"A"	"A"
"1564660_at"	"A"	"A"	"A"
"1564662_at"	"A"	"A"	"A"
"1564665_at"	"A"	"A"	"A"
"1564670_at"	"A"	"A"	"A"
"1564672_at"	"A"	"A"	"A"
"1564674_a_at"	"A"	"A"	"A"
"1564676_a_at"	"A"	"A"	"A"
"1564679_at"	"A"	"A"	"A"
"1564683_at"	"A"	"A"	"A"
"1564684_at"	"A"	"A"	"A"
"1564685_a_at"	"A"	"A"	"A"
"1564688_a_at"	"A"	"A"	"A"
"1564690_at"	"A"	"A"	"A"
"1564691_at"	"A"	"A"	"A"
"1564697_a_at"	"A"	"A"	"A"
"1564699_at"	"A"	"A"	"A"
"1564701_at"	"A"	"A"	"A"
"1564705_at"	"A"	"A"	"A"
"1564706_s_at"	"A"	"A"	"A"
"1564707_x_at"	"A"	"A"	"A"
"1564709_at"	"A"	"A"	"A"
"1564713_a_at"	"A"	"A"	"A"
"1564718_at"	"A"	"A"	"A"
"1564721_at"	"A"	"A"	"A"
"1564729_at"	"A"	"A"	"A"
"1564733_at"	"A"	"A"	"A"
"1564736_a_at"	"A"	"A"	"A"
"1564744_at"	"A"	"A"	"A"
"1564746_at"	"A"	"A"	"A"
"1564749_at"	"A"	"A"	"A"
"1564753_at"	"A"	"A"	"A"
"1564757_a_at"	"A"	"A"	"M"
"1564758_at"	"A"	"A"	"A"
"1564760_at"	"A"	"A"	"P"
"1564763_at"	"A"	"A"	"A"
"1564765_at"	"A"	"A"	"M"
"1564767_at"	"A"	"A"	"A"
"1564772_at"	"A"	"A"	"A"
"1564773_x_at"	"A"	"P"	"A"
"1564776_at"	"A"	"A"	"M"
"1564777_at"	"A"	"A"	"A"
"1564778_at"	"A"	"A"	"A"
"1564783_x_at"	"A"	"A"	"A"
"1564784_at"	"A"	"M"	"A"
"1564785_at"	"A"	"A"	"A"
"1564786_at"	"A"	"A"	"A"
"1564787_at"	"A"	"A"	"A"
"1564789_at"	"A"	"A"	"A"
"1564790_at"	"A"	"A"	"A"
"1564794_at"	"A"	"A"	"A"
"1564795_at"	"A"	"A"	"A"
"1564796_at"	"P"	"P"	"P"
"1564798_at"	"A"	"A"	"A"
"1564802_at"	"A"	"A"	"A"
"1564803_at"	"A"	"A"	"A"
"1564805_a_at"	"A"	"P"	"A"
"1564807_at"	"A"	"A"	"M"
"1564813_at"	"A"	"A"	"A"
"1564816_at"	"A"	"A"	"A"
"1564819_at"	"A"	"A"	"A"
"1564820_at"	"A"	"A"	"A"
"1564821_at"	"A"	"A"	"A"
"1564822_at"	"A"	"A"	"A"
"1564823_at"	"A"	"A"	"A"
"1564828_at"	"A"	"A"	"A"
"1564836_at"	"A"	"A"	"A"
"1564837_at"	"A"	"A"	"A"
"1564838_a_at"	"P"	"P"	"A"
"1564840_at"	"A"	"A"	"A"
"1564841_at"	"A"	"A"	"A"
"1564851_at"	"A"	"A"	"A"
"1564854_at"	"A"	"M"	"A"
"1564855_at"	"A"	"A"	"A"
"1564856_s_at"	"A"	"A"	"A"
"1564868_a_at"	"A"	"A"	"A"
"1564872_at"	"A"	"A"	"A"
"1564876_s_at"	"A"	"A"	"A"
"1564878_at"	"A"	"A"	"A"
"1564881_at"	"A"	"A"	"A"
"1564882_at"	"A"	"A"	"A"
"1564883_a_at"	"A"	"A"	"A"
"1564886_at"	"M"	"A"	"A"
"1564887_at"	"A"	"A"	"A"
"1564897_at"	"A"	"A"	"A"
"1564905_at"	"A"	"A"	"A"
"1564906_at"	"A"	"A"	"A"
"1564907_s_at"	"A"	"A"	"A"
"1564909_at"	"A"	"A"	"A"
"1564911_at"	"P"	"P"	"A"
"1564921_at"	"A"	"A"	"A"
"1564931_at"	"A"	"A"	"A"
"1564932_at"	"A"	"P"	"A"
"1564933_at"	"A"	"A"	"A"
"1564936_at"	"A"	"A"	"A"
"1564937_at"	"A"	"A"	"A"
"1564940_at"	"A"	"A"	"A"
"1564945_at"	"A"	"A"	"A"
"1564949_at"	"A"	"A"	"A"
"1564950_at"	"A"	"A"	"A"
"1564960_at"	"A"	"A"	"A"
"1564962_at"	"A"	"A"	"A"
"1564963_x_at"	"A"	"A"	"A"
"1564964_at"	"A"	"A"	"A"
"1564965_at"	"A"	"A"	"A"
"1564970_at"	"A"	"A"	"A"
"1564972_x_at"	"A"	"A"	"A"
"1564974_at"	"M"	"P"	"P"
"1564984_at"	"A"	"A"	"A"
"1564985_a_at"	"A"	"A"	"A"
"1564996_at"	"A"	"A"	"A"
"1565000_a_at"	"A"	"A"	"A"
"1565002_at"	"A"	"A"	"A"
"1565016_at"	"A"	"A"	"A"
"1565026_a_at"	"A"	"P"	"A"
"1565027_at"	"M"	"M"	"M"
"1565034_s_at"	"A"	"A"	"A"
"1565065_at"	"A"	"A"	"A"
"1565073_at"	"P"	"A"	"A"
"1565080_at"	"A"	"A"	"A"
"1565082_x_at"	"A"	"A"	"A"
"1565105_at"	"A"	"A"	"A"
"1565107_x_at"	"A"	"A"	"A"
"1565111_x_at"	"A"	"A"	"A"
"1565130_at"	"A"	"P"	"A"
"1565131_x_at"	"A"	"A"	"A"
"1565132_at"	"A"	"A"	"A"
"1565149_at"	"A"	"A"	"A"
"1565150_at"	"A"	"A"	"A"
"1565152_at"	"A"	"A"	"A"
"1565162_s_at"	"P"	"P"	"P"
"1565192_at"	"A"	"A"	"A"
"1565228_s_at"	"A"	"A"	"A"
"1565242_at"	"A"	"A"	"A"
"1565254_s_at"	"A"	"A"	"A"
"1565265_at"	"A"	"A"	"A"
"1565269_s_at"	"P"	"P"	"P"
"1565282_at"	"A"	"A"	"A"
"1565306_a_at"	"A"	"A"	"A"
"1565320_at"	"A"	"A"	"A"
"1565325_at"	"A"	"A"	"A"
"1565329_at"	"A"	"M"	"P"
"1565337_at"	"A"	"A"	"A"
"1565338_x_at"	"A"	"M"	"A"
"1565339_at"	"A"	"A"	"A"
"1565346_a_at"	"A"	"A"	"A"
"1565347_s_at"	"A"	"A"	"A"
"1565358_at"	"A"	"A"	"A"
"1565389_s_at"	"A"	"A"	"A"
"1565406_a_at"	"A"	"A"	"A"
"1565407_at"	"A"	"A"	"A"
"1565424_at"	"A"	"A"	"A"
"1565436_s_at"	"A"	"A"	"A"
"1565446_at"	"A"	"A"	"A"
"1565454_at"	"A"	"A"	"A"
"1565483_at"	"A"	"A"	"A"
"1565484_x_at"	"A"	"A"	"A"
"1565495_at"	"A"	"A"	"A"
"1565525_a_at"	"A"	"A"	"A"
"1565527_x_at"	"A"	"A"	"A"
"1565535_x_at"	"A"	"A"	"A"
"1565537_at"	"A"	"A"	"A"
"1565544_at"	"A"	"A"	"P"
"1565546_at"	"A"	"A"	"A"
"1565549_at"	"A"	"A"	"A"
"1565554_at"	"A"	"A"	"A"
"1565556_at"	"A"	"A"	"A"
"1565557_at"	"A"	"A"	"P"
"1565558_at"	"A"	"A"	"A"
"1565559_at"	"A"	"A"	"A"
"1565562_at"	"A"	"A"	"A"
"1565563_at"	"A"	"A"	"A"
"1565565_at"	"A"	"A"	"A"
"1565566_a_at"	"A"	"A"	"A"
"1565567_at"	"M"	"A"	"A"
"1565576_at"	"A"	"A"	"A"
"1565577_s_at"	"A"	"P"	"P"
"1565578_at"	"A"	"A"	"A"
"1565579_at"	"P"	"A"	"P"
"1565580_s_at"	"A"	"A"	"A"
"1565581_at"	"A"	"A"	"A"
"1565582_at"	"A"	"P"	"A"
"1565583_at"	"A"	"A"	"A"
"1565585_at"	"A"	"A"	"A"
"1565587_at"	"A"	"A"	"A"
"1565588_at"	"A"	"A"	"A"
"1565595_at"	"A"	"A"	"A"
"1565596_at"	"A"	"A"	"A"
"1565597_at"	"A"	"A"	"A"
"1565598_at"	"A"	"A"	"A"
"1565599_at"	"A"	"A"	"A"
"1565601_at"	"A"	"A"	"A"
"1565602_at"	"A"	"A"	"A"
"1565603_at"	"A"	"A"	"A"
"1565604_at"	"A"	"A"	"A"
"1565608_at"	"A"	"A"	"A"
"1565610_at"	"A"	"A"	"M"
"1565611_at"	"A"	"A"	"A"
"1565612_at"	"A"	"A"	"A"
"1565613_at"	"A"	"A"	"A"
"1565614_at"	"A"	"A"	"A"
"1565616_at"	"A"	"A"	"A"
"1565617_at"	"A"	"A"	"A"
"1565618_at"	"A"	"A"	"A"
"1565620_at"	"P"	"P"	"A"
"1565621_at"	"A"	"A"	"A"
"1565627_a_at"	"A"	"A"	"A"
"1565628_at"	"A"	"A"	"A"
"1565633_at"	"A"	"A"	"A"
"1565635_at"	"A"	"A"	"A"
"1565637_at"	"A"	"A"	"A"
"1565638_at"	"A"	"A"	"A"
"1565639_a_at"	"M"	"A"	"M"
"1565641_at"	"A"	"A"	"A"
"1565644_at"	"A"	"A"	"A"
"1565650_at"	"A"	"A"	"A"
"1565651_at"	"A"	"P"	"A"
"1565653_at"	"A"	"A"	"A"
"1565656_x_at"	"A"	"A"	"A"
"1565657_at"	"A"	"A"	"A"
"1565659_at"	"A"	"A"	"A"
"1565660_at"	"A"	"A"	"A"
"1565661_x_at"	"A"	"A"	"A"
"1565662_at"	"A"	"A"	"A"
"1565666_s_at"	"A"	"A"	"A"
"1565668_at"	"A"	"A"	"A"
"1565669_at"	"A"	"A"	"A"
"1565671_a_at"	"A"	"A"	"A"
"1565672_at"	"M"	"A"	"A"
"1565673_at"	"A"	"A"	"A"
"1565674_at"	"A"	"A"	"A"
"1565677_at"	"A"	"A"	"A"
"1565680_at"	"A"	"A"	"A"
"1565681_s_at"	"A"	"A"	"A"
"1565684_at"	"A"	"A"	"A"
"1565685_at"	"A"	"A"	"A"
"1565689_at"	"A"	"A"	"A"
"1565690_at"	"A"	"A"	"A"
"1565692_at"	"A"	"A"	"A"
"1565693_at"	"A"	"A"	"A"
"1565694_at"	"A"	"A"	"A"
"1565696_at"	"A"	"A"	"A"
"1565697_at"	"A"	"A"	"A"
"1565698_at"	"A"	"A"	"A"
"1565699_at"	"A"	"A"	"A"
"1565700_at"	"A"	"A"	"A"
"1565701_at"	"A"	"A"	"A"
"1565702_at"	"A"	"A"	"A"
"1565703_at"	"A"	"A"	"A"
"1565705_x_at"	"A"	"A"	"A"
"1565706_at"	"A"	"A"	"A"
"1565713_at"	"A"	"A"	"A"
"1565714_at"	"A"	"A"	"A"
"1565715_at"	"A"	"A"	"A"
"1565716_at"	"M"	"P"	"P"
"1565717_s_at"	"A"	"A"	"A"
"1565722_at"	"A"	"A"	"A"
"1565723_at"	"A"	"A"	"A"
"1565728_at"	"A"	"A"	"A"
"1565729_at"	"A"	"A"	"A"
"1565730_at"	"A"	"A"	"A"
"1565731_at"	"A"	"A"	"A"
"1565732_at"	"A"	"A"	"A"
"1565733_at"	"A"	"A"	"A"
"1565734_at"	"A"	"M"	"A"
"1565735_at"	"A"	"A"	"A"
"1565737_at"	"A"	"A"	"A"
"1565738_at"	"A"	"A"	"A"
"1565740_at"	"A"	"A"	"A"
"1565741_at"	"A"	"A"	"A"
"1565742_at"	"A"	"A"	"A"
"1565743_at"	"A"	"A"	"A"
"1565746_at"	"A"	"A"	"A"
"1565748_at"	"A"	"A"	"M"
"1565751_at"	"A"	"A"	"A"
"1565752_at"	"A"	"A"	"A"
"1565754_x_at"	"A"	"A"	"A"
"1565755_at"	"A"	"A"	"A"
"1565756_a_at"	"A"	"A"	"A"
"1565758_at"	"A"	"A"	"A"
"1565759_at"	"A"	"A"	"A"
"1565760_at"	"A"	"A"	"A"
"1565762_at"	"A"	"A"	"A"
"1565763_at"	"A"	"A"	"A"
"1565765_x_at"	"A"	"P"	"A"
"1565768_at"	"M"	"A"	"A"
"1565769_at"	"A"	"A"	"A"
"1565771_at"	"A"	"A"	"A"
"1565772_at"	"P"	"A"	"A"
"1565774_at"	"A"	"A"	"A"
"1565775_at"	"A"	"A"	"A"
"1565776_at"	"A"	"A"	"A"
"1565777_at"	"A"	"A"	"A"
"1565778_at"	"A"	"A"	"A"
"1565780_at"	"A"	"A"	"A"
"1565783_at"	"A"	"A"	"A"
"1565784_at"	"A"	"A"	"P"
"1565786_x_at"	"P"	"P"	"P"
"1565787_at"	"A"	"A"	"A"
"1565788_at"	"A"	"A"	"A"
"1565795_at"	"A"	"A"	"A"
"1565797_at"	"A"	"A"	"A"
"1565799_at"	"A"	"A"	"A"
"1565800_x_at"	"A"	"A"	"A"
"1565801_at"	"A"	"A"	"A"
"1565802_at"	"A"	"A"	"A"
"1565803_at"	"A"	"A"	"A"
"1565804_at"	"A"	"A"	"A"
"1565805_at"	"A"	"A"	"A"
"1565806_at"	"A"	"A"	"A"
"1565807_at"	"A"	"A"	"A"
"1565809_x_at"	"A"	"A"	"A"
"1565810_at"	"A"	"A"	"A"
"1565811_at"	"A"	"A"	"A"
"1565812_at"	"A"	"A"	"A"
"1565814_at"	"A"	"A"	"A"
"1565816_at"	"A"	"A"	"A"
"1565817_at"	"A"	"A"	"A"
"1565818_s_at"	"A"	"P"	"A"
"1565819_at"	"A"	"A"	"A"
"1565820_x_at"	"A"	"A"	"A"
"1565821_at"	"A"	"A"	"A"
"1565823_at"	"P"	"M"	"P"
"1565825_at"	"A"	"A"	"A"
"1565826_at"	"A"	"A"	"A"
"1565829_at"	"P"	"P"	"P"
"1565830_at"	"A"	"A"	"A"
"1565832_at"	"A"	"A"	"A"
"1565833_at"	"A"	"A"	"A"
"1565834_a_at"	"A"	"A"	"A"
"1565836_at"	"A"	"A"	"A"
"1565837_at"	"A"	"A"	"A"
"1565838_at"	"A"	"A"	"A"
"1565839_a_at"	"P"	"A"	"A"
"1565840_at"	"A"	"A"	"A"
"1565843_s_at"	"A"	"A"	"A"
"1565844_at"	"A"	"A"	"A"
"1565845_at"	"A"	"A"	"A"
"1565846_at"	"A"	"A"	"A"
"1565848_at"	"A"	"A"	"A"
"1565849_a_at"	"A"	"A"	"A"
"1565851_at"	"A"	"A"	"A"
"1565852_at"	"M"	"A"	"A"
"1565856_at"	"A"	"A"	"A"
"1565857_at"	"A"	"A"	"A"
"1565858_at"	"A"	"A"	"A"
"1565859_at"	"A"	"A"	"A"
"1565860_at"	"A"	"A"	"A"
"1565861_at"	"A"	"A"	"A"
"1565862_a_at"	"A"	"A"	"A"
"1565863_at"	"A"	"A"	"A"
"1565866_a_at"	"A"	"A"	"A"
"1565867_a_at"	"A"	"A"	"A"
"1565868_at"	"P"	"P"	"M"
"1565873_at"	"A"	"A"	"A"
"1565874_at"	"A"	"A"	"A"
"1565875_at"	"A"	"A"	"A"
"1565876_x_at"	"A"	"A"	"A"
"1565877_at"	"A"	"A"	"A"
"1565879_at"	"A"	"P"	"A"
"1565880_at"	"A"	"A"	"A"
"1565881_at"	"A"	"A"	"A"
"1565882_at"	"P"	"A"	"P"
"1565886_at"	"P"	"P"	"A"
"1565887_at"	"A"	"A"	"A"
"1565888_at"	"A"	"A"	"A"
"1565889_at"	"A"	"A"	"A"
"1565890_at"	"A"	"A"	"A"
"1565892_at"	"A"	"A"	"A"
"1565894_at"	"A"	"A"	"A"
"1565895_at"	"A"	"A"	"A"
"1565896_at"	"A"	"A"	"A"
"1565897_at"	"A"	"A"	"A"
"1565898_at"	"A"	"A"	"A"
"1565900_at"	"A"	"M"	"A"
"1565903_at"	"A"	"A"	"A"
"1565905_at"	"A"	"A"	"A"
"1565906_at"	"A"	"A"	"A"
"1565908_at"	"A"	"A"	"A"
"1565909_at"	"A"	"A"	"A"
"1565910_at"	"A"	"A"	"A"
"1565911_at"	"A"	"A"	"A"
"1565912_at"	"A"	"A"	"A"
"1565913_at"	"A"	"A"	"A"
"1565915_at"	"A"	"A"	"A"
"1565917_at"	"A"	"A"	"A"
"1565918_a_at"	"A"	"A"	"M"
"1565920_at"	"P"	"A"	"A"
"1565921_a_at"	"A"	"A"	"A"
"1565923_at"	"A"	"A"	"A"
"1565924_a_at"	"A"	"A"	"A"
"1565925_at"	"A"	"A"	"A"
"1565927_s_at"	"A"	"A"	"A"
"1565928_at"	"A"	"A"	"A"
"1565929_s_at"	"A"	"A"	"A"
"1565934_at"	"A"	"A"	"A"
"1565935_at"	"A"	"P"	"A"
"1565936_a_at"	"A"	"A"	"A"
"1565937_a_at"	"A"	"A"	"A"
"1565939_at"	"A"	"A"	"A"
"1565947_a_at"	"A"	"A"	"A"
"1565949_x_at"	"A"	"A"	"A"
"1565951_s_at"	"A"	"M"	"A"
"1565974_at"	"P"	"P"	"P"
"1565975_at"	"A"	"A"	"A"
"1565976_at"	"A"	"A"	"A"
"1565978_a_at"	"A"	"A"	"A"
"1565998_at"	"A"	"A"	"P"
"1565999_at"	"A"	"A"	"A"
"1566001_at"	"A"	"P"	"P"
"1566002_at"	"A"	"A"	"A"
"1566003_x_at"	"A"	"A"	"A"
"1566029_at"	"A"	"A"	"A"
"1566030_at"	"A"	"A"	"A"
"1566032_at"	"A"	"A"	"A"
"1566033_at"	"A"	"A"	"A"
"1566037_at"	"A"	"A"	"A"
"1566038_at"	"A"	"A"	"A"
"1566039_a_at"	"A"	"A"	"A"
"1566040_at"	"A"	"A"	"A"
"1566041_at"	"A"	"A"	"A"
"1566042_at"	"A"	"A"	"A"
"1566043_at"	"A"	"A"	"A"
"1566044_at"	"A"	"A"	"A"
"1566046_at"	"A"	"A"	"A"
"1566047_at"	"A"	"A"	"A"
"1566079_at"	"A"	"A"	"A"
"1566080_at"	"A"	"A"	"A"
"1566081_at"	"A"	"A"	"A"
"1566082_at"	"A"	"A"	"A"
"1566084_at"	"P"	"P"	"P"
"1566086_at"	"A"	"A"	"A"
"1566087_at"	"A"	"A"	"A"
"1566093_at"	"A"	"A"	"A"
"1566094_at"	"A"	"A"	"A"
"1566096_x_at"	"A"	"A"	"A"
"1566097_at"	"A"	"A"	"A"
"1566098_at"	"A"	"A"	"A"
"1566099_at"	"A"	"A"	"A"
"1566101_at"	"A"	"A"	"A"
"1566102_at"	"A"	"A"	"A"
"1566105_at"	"A"	"A"	"A"
"1566106_at"	"A"	"A"	"A"
"1566108_at"	"A"	"A"	"A"
"1566109_at"	"A"	"A"	"A"
"1566110_at"	"A"	"A"	"A"
"1566111_at"	"A"	"A"	"A"
"1566113_at"	"A"	"A"	"A"
"1566114_at"	"A"	"A"	"A"
"1566115_at"	"P"	"A"	"A"
"1566123_at"	"A"	"A"	"A"
"1566124_a_at"	"A"	"A"	"A"
"1566126_at"	"A"	"A"	"A"
"1566127_at"	"A"	"A"	"A"
"1566129_at"	"A"	"A"	"A"
"1566134_at"	"A"	"A"	"A"
"1566135_at"	"A"	"A"	"A"
"1566136_at"	"A"	"A"	"A"
"1566137_s_at"	"A"	"A"	"A"
"1566138_at"	"A"	"A"	"A"
"1566139_at"	"A"	"A"	"A"
"1566140_at"	"A"	"A"	"A"
"1566141_at"	"A"	"A"	"A"
"1566142_at"	"A"	"A"	"A"
"1566144_at"	"P"	"P"	"P"
"1566145_s_at"	"A"	"A"	"A"
"1566146_x_at"	"A"	"P"	"A"
"1566147_a_at"	"A"	"A"	"A"
"1566149_at"	"A"	"A"	"A"
"1566150_at"	"A"	"A"	"A"
"1566151_at"	"A"	"A"	"A"
"1566152_a_at"	"A"	"A"	"A"
"1566156_at"	"A"	"A"	"A"
"1566157_x_at"	"A"	"A"	"A"
"1566158_at"	"A"	"A"	"A"
"1566161_at"	"A"	"A"	"A"
"1566162_x_at"	"A"	"A"	"A"
"1566163_at"	"A"	"A"	"A"
"1566165_at"	"A"	"A"	"A"
"1566166_at"	"M"	"A"	"P"
"1566168_at"	"A"	"A"	"A"
"1566169_at"	"A"	"A"	"A"
"1566171_at"	"A"	"A"	"A"
"1566176_at"	"A"	"A"	"A"
"1566177_at"	"A"	"A"	"A"
"1566178_x_at"	"A"	"A"	"A"
"1566181_at"	"A"	"A"	"A"
"1566182_at"	"A"	"A"	"A"
"1566183_at"	"A"	"A"	"A"
"1566185_at"	"A"	"A"	"A"
"1566186_at"	"A"	"A"	"A"
"1566190_at"	"A"	"A"	"A"
"1566191_at"	"A"	"A"	"A"
"1566194_at"	"A"	"A"	"A"
"1566195_at"	"P"	"A"	"A"
"1566201_at"	"A"	"A"	"A"
"1566202_at"	"A"	"A"	"A"
"1566203_at"	"A"	"A"	"A"
"1566204_at"	"A"	"A"	"A"
"1566207_at"	"A"	"A"	"A"
"1566208_at"	"A"	"A"	"A"
"1566209_at"	"A"	"A"	"A"
"1566210_at"	"A"	"A"	"A"
"1566215_at"	"A"	"A"	"A"
"1566217_at"	"A"	"A"	"A"
"1566218_at"	"A"	"A"	"A"
"1566219_at"	"A"	"A"	"A"
"1566221_at"	"M"	"A"	"M"
"1566222_at"	"A"	"A"	"A"
"1566228_at"	"A"	"A"	"A"
"1566229_a_at"	"A"	"A"	"A"
"1566231_at"	"P"	"A"	"M"
"1566232_at"	"A"	"A"	"A"
"1566235_at"	"A"	"A"	"A"
"1566236_at"	"A"	"A"	"A"
"1566242_at"	"A"	"A"	"A"
"1566243_at"	"A"	"A"	"A"
"1566248_at"	"A"	"A"	"A"
"1566249_at"	"A"	"A"	"A"
"1566251_at"	"A"	"A"	"A"
"1566253_at"	"A"	"A"	"A"
"1566256_s_at"	"A"	"P"	"M"
"1566257_at"	"P"	"P"	"P"
"1566265_at"	"A"	"A"	"A"
"1566266_at"	"A"	"A"	"A"
"1566267_at"	"A"	"A"	"A"
"1566268_at"	"A"	"A"	"A"
"1566269_at"	"A"	"A"	"A"
"1566271_x_at"	"A"	"A"	"A"
"1566272_at"	"A"	"A"	"A"
"1566276_at"	"A"	"A"	"A"
"1566277_at"	"A"	"A"	"A"
"1566278_at"	"A"	"A"	"A"
"1566279_at"	"A"	"A"	"A"
"1566284_at"	"A"	"A"	"P"
"1566285_at"	"A"	"A"	"A"
"1566288_at"	"A"	"A"	"A"
"1566289_at"	"A"	"A"	"A"
"1566294_at"	"A"	"A"	"A"
"1566295_at"	"A"	"A"	"A"
"1566301_at"	"A"	"A"	"A"
"1566302_at"	"A"	"A"	"A"
"1566303_s_at"	"P"	"P"	"P"
"1566323_at"	"A"	"A"	"A"
"1566324_a_at"	"A"	"A"	"A"
"1566337_x_at"	"A"	"A"	"A"
"1566339_at"	"A"	"A"	"A"
"1566340_at"	"A"	"A"	"A"
"1566342_at"	"P"	"P"	"P"
"1566362_at"	"A"	"A"	"A"
"1566363_at"	"P"	"P"	"P"
"1566402_at"	"A"	"A"	"P"
"1566403_at"	"P"	"A"	"P"
"1566419_at"	"A"	"A"	"A"
"1566424_at"	"A"	"A"	"A"
"1566425_at"	"A"	"A"	"A"
"1566426_at"	"P"	"A"	"A"
"1566427_at"	"A"	"A"	"A"
"1566428_at"	"A"	"A"	"A"
"1566432_at"	"A"	"A"	"A"
"1566433_at"	"A"	"A"	"A"
"1566437_at"	"A"	"A"	"A"
"1566438_at"	"A"	"A"	"A"
"1566439_at"	"A"	"A"	"A"
"1566440_at"	"A"	"A"	"A"
"1566441_at"	"A"	"A"	"A"
"1566442_at"	"A"	"A"	"A"
"1566445_at"	"A"	"A"	"A"
