"GSM34592.CEL.gz"	"GSM34593.CEL.gz"	"GSM34594.CEL.gz"
"331_at"	"A"	"A"	"A"
"33100_at"	"A"	"A"	"A"
"33101_g_at"	"A"	"A"	"A"
"33102_at"	"P"	"P"	"P"
"33103_s_at"	"P"	"P"	"P"
"33104_at"	"A"	"A"	"A"
"33105_at"	"A"	"A"	"M"
"33106_at"	"P"	"A"	"P"
"33107_at"	"P"	"P"	"P"
"33108_i_at"	"A"	"A"	"A"
"33109_f_at"	"A"	"A"	"A"
"33110_at"	"A"	"M"	"A"
"33111_at"	"A"	"A"	"A"
"33112_at"	"A"	"A"	"A"
"33113_at"	"P"	"P"	"P"
"33114_f_at"	"A"	"A"	"A"
"33115_at"	"A"	"A"	"A"
"33116_f_at"	"P"	"P"	"P"
"33117_r_at"	"P"	"P"	"P"
"33118_at"	"A"	"A"	"A"
"33119_at"	"A"	"A"	"A"
"33120_at"	"M"	"A"	"A"
"33121_g_at"	"A"	"P"	"P"
"33122_at"	"A"	"A"	"A"
"33123_at"	"P"	"P"	"P"
"33124_at"	"P"	"P"	"P"
"33125_at"	"P"	"P"	"P"
"33126_at"	"P"	"P"	"P"
"33127_at"	"P"	"P"	"P"
"33128_s_at"	"A"	"A"	"A"
"33129_at"	"A"	"A"	"A"
"33130_at"	"A"	"A"	"A"
"33131_at"	"A"	"A"	"A"
"33132_at"	"P"	"A"	"P"
"33133_at"	"P"	"P"	"P"
"33134_at"	"P"	"P"	"P"
"33135_at"	"P"	"P"	"P"
"33136_at"	"P"	"P"	"P"
"33137_at"	"P"	"P"	"P"
"33138_at"	"A"	"A"	"A"
"33139_s_at"	"P"	"P"	"P"
"33140_at"	"P"	"P"	"P"
"33141_at"	"A"	"A"	"A"
"33142_at"	"A"	"A"	"A"
"33143_s_at"	"P"	"P"	"P"
"33144_at"	"A"	"A"	"A"
"33145_at"	"A"	"A"	"A"
"33146_at"	"P"	"P"	"P"
"33147_at"	"A"	"A"	"A"
"33148_at"	"P"	"P"	"P"
"33149_at"	"P"	"P"	"P"
"33150_at"	"P"	"P"	"P"
"33151_s_at"	"P"	"P"	"P"
"33152_at"	"P"	"P"	"P"
"33153_at"	"A"	"A"	"A"
"33154_at"	"P"	"P"	"P"
"33155_at"	"A"	"A"	"A"
"33156_at"	"A"	"A"	"A"
"33157_at"	"A"	"A"	"A"
"33158_at"	"A"	"A"	"A"
"33159_at"	"A"	"A"	"A"
"33160_at"	"A"	"A"	"A"
"33161_at"	"A"	"A"	"A"
"33162_at"	"P"	"M"	"A"
"33163_r_at"	"P"	"P"	"P"
"33164_at"	"A"	"A"	"A"
"33165_at"	"P"	"P"	"P"
"33166_at"	"A"	"A"	"A"
"33167_r_at"	"P"	"P"	"P"
"33168_at"	"P"	"M"	"M"
"33169_at"	"M"	"M"	"M"
"33170_at"	"P"	"P"	"P"
"33171_s_at"	"A"	"A"	"A"
"33172_at"	"P"	"P"	"P"
"33173_g_at"	"P"	"P"	"P"
"33174_s_at"	"A"	"A"	"A"
"33175_at"	"P"	"P"	"P"
"33176_at"	"A"	"A"	"A"
"33177_at"	"A"	"A"	"A"
"33178_at"	"P"	"P"	"P"
"33179_at"	"A"	"A"	"A"
"33180_at"	"P"	"P"	"P"
"33181_at"	"P"	"A"	"P"
"33182_at"	"A"	"A"	"A"
"33183_at"	"A"	"A"	"A"
"33184_at"	"A"	"A"	"A"
"33185_at"	"P"	"P"	"P"
"33186_i_at"	"A"	"A"	"A"
"33187_r_at"	"A"	"A"	"A"
"33188_at"	"P"	"A"	"P"
"33189_at"	"A"	"A"	"A"
"33190_g_at"	"A"	"A"	"A"
"33191_at"	"P"	"P"	"P"
"33192_g_at"	"P"	"P"	"P"
"33193_at"	"P"	"P"	"P"
"33194_at"	"A"	"A"	"A"
"33195_at"	"M"	"A"	"P"
"33196_at"	"A"	"A"	"A"
"33197_at"	"A"	"A"	"A"
"33198_at"	"P"	"P"	"P"
"33199_at"	"A"	"A"	"A"
"332_at"	"A"	"A"	"A"
"33200_at"	"A"	"A"	"A"
"33201_at"	"A"	"A"	"A"
"33202_f_at"	"A"	"A"	"A"
"33203_s_at"	"P"	"P"	"P"
"33204_at"	"A"	"A"	"A"
"33205_at"	"P"	"P"	"P"
"33206_at"	"P"	"A"	"P"
"33207_at"	"P"	"P"	"P"
"33208_at"	"P"	"P"	"A"
"33209_at"	"A"	"A"	"M"
"33210_at"	"A"	"A"	"A"
"33211_at"	"A"	"A"	"A"
"33212_at"	"P"	"P"	"P"
"33213_g_at"	"P"	"P"	"P"
"33214_at"	"P"	"P"	"P"
"33215_g_at"	"P"	"P"	"P"
"33216_at"	"A"	"A"	"A"
"33217_at"	"A"	"A"	"A"
"33218_at"	"A"	"A"	"A"
"33219_at"	"P"	"P"	"P"
"33220_at"	"P"	"P"	"P"
"33221_at"	"P"	"P"	"P"
"33222_at"	"P"	"P"	"P"
"33223_at"	"P"	"P"	"P"
"33224_at"	"A"	"A"	"A"
"33225_at"	"P"	"P"	"P"
"33226_at"	"A"	"A"	"A"
"33227_at"	"P"	"P"	"P"
"33228_g_at"	"P"	"P"	"P"
"33229_at"	"P"	"P"	"P"
"33230_at"	"P"	"P"	"P"
"33231_at"	"A"	"A"	"A"
"33232_at"	"A"	"A"	"A"
"33233_at"	"P"	"P"	"P"
"33234_at"	"P"	"P"	"P"
"33235_at"	"P"	"P"	"P"
"33236_at"	"P"	"P"	"P"
"33237_at"	"P"	"P"	"P"
"33238_at"	"A"	"A"	"A"
"33239_at"	"P"	"A"	"A"
"33240_at"	"P"	"P"	"P"
"33241_at"	"P"	"P"	"P"
"33242_at"	"P"	"P"	"P"
"33243_at"	"P"	"P"	"P"
"33244_at"	"A"	"A"	"A"
"33245_at"	"A"	"A"	"A"
"33246_at"	"A"	"A"	"A"
"33247_at"	"P"	"P"	"P"
"33248_at"	"P"	"M"	"M"
"33249_at"	"P"	"P"	"M"
"33250_at"	"P"	"P"	"P"
"33251_at"	"P"	"P"	"P"
"33252_at"	"P"	"P"	"P"
"33253_at"	"P"	"P"	"P"
"33254_at"	"P"	"P"	"P"
"33255_at"	"P"	"P"	"P"
"33256_at"	"P"	"P"	"P"
"33257_at"	"A"	"A"	"A"
"33258_g_at"	"P"	"P"	"P"
"33259_at"	"A"	"A"	"A"
"33260_at"	"P"	"P"	"P"
"33261_at"	"P"	"P"	"P"
"33262_at"	"A"	"A"	"A"
"33263_at"	"P"	"P"	"P"
"33264_at"	"P"	"P"	"P"
"33265_at"	"P"	"P"	"P"
"33266_at"	"P"	"P"	"P"
"33267_at"	"A"	"A"	"A"
"33268_at"	"P"	"P"	"P"
"33269_at"	"A"	"A"	"A"
"33270_i_at"	"P"	"P"	"P"
"33271_r_at"	"P"	"P"	"P"
"33272_at"	"A"	"A"	"A"
"33273_f_at"	"A"	"A"	"A"
"33274_f_at"	"A"	"A"	"A"
"33275_at"	"P"	"P"	"P"
"33276_at"	"A"	"A"	"A"
"33277_at"	"M"	"A"	"P"
"33278_at"	"A"	"A"	"M"
"33279_s_at"	"A"	"A"	"A"
"33280_r_at"	"A"	"A"	"A"
"33281_at"	"P"	"P"	"P"
"33282_at"	"A"	"A"	"A"
"33283_at"	"P"	"P"	"P"
"33284_at"	"A"	"A"	"A"
"33285_i_at"	"P"	"P"	"P"
"33286_at"	"A"	"A"	"A"
"33287_at"	"A"	"A"	"A"
"33288_i_at"	"P"	"M"	"M"
"33289_f_at"	"A"	"A"	"A"
"33290_at"	"P"	"P"	"P"
"33291_at"	"A"	"A"	"A"
"33292_at"	"A"	"A"	"A"
"33293_at"	"A"	"A"	"A"
"33294_at"	"P"	"P"	"P"
"33295_at"	"A"	"A"	"A"
"33296_at"	"P"	"P"	"P"
"33297_at"	"P"	"P"	"P"
"33298_at"	"A"	"A"	"A"
"33299_at"	"P"	"P"	"P"
"333_s_at"	"P"	"P"	"P"
"33300_at"	"P"	"P"	"P"
"33301_g_at"	"P"	"P"	"P"
"33302_at"	"M"	"M"	"A"
"33303_at"	"P"	"M"	"A"
"33304_at"	"A"	"A"	"A"
"33305_at"	"P"	"P"	"P"
"33306_at"	"P"	"P"	"P"
"33307_at"	"P"	"P"	"P"
"33308_at"	"P"	"P"	"P"
"33309_at"	"P"	"P"	"P"
"33310_at"	"A"	"A"	"A"
"33311_at"	"A"	"A"	"A"
"33312_at"	"A"	"A"	"A"
"33313_g_at"	"A"	"A"	"A"
"33314_at"	"P"	"P"	"P"
"33315_at"	"P"	"P"	"P"
"33316_at"	"A"	"A"	"A"
"33317_at"	"P"	"P"	"P"
"33318_at"	"P"	"P"	"P"
"33319_at"	"A"	"A"	"A"
"33320_at"	"A"	"A"	"A"
"33321_r_at"	"P"	"P"	"P"
"33322_i_at"	"P"	"P"	"P"
"33323_r_at"	"P"	"P"	"P"
"33324_s_at"	"P"	"P"	"P"
"33325_at"	"P"	"P"	"P"
"33326_at"	"P"	"P"	"P"
"33327_at"	"A"	"A"	"A"
"33328_at"	"P"	"P"	"P"
"33329_at"	"M"	"M"	"P"
"33330_at"	"A"	"A"	"A"
"33331_at"	"A"	"A"	"A"
"33332_at"	"A"	"A"	"A"
"33333_at"	"A"	"P"	"P"
"33334_at"	"P"	"P"	"P"
"33335_at"	"A"	"A"	"A"
"33336_at"	"A"	"A"	"A"
"33337_at"	"P"	"P"	"P"
"33338_at"	"P"	"P"	"P"
"33339_g_at"	"P"	"P"	"P"
"33340_at"	"P"	"P"	"P"
"33341_at"	"P"	"P"	"P"
"33342_at"	"P"	"P"	"P"
"33343_at"	"P"	"P"	"P"
"33344_at"	"A"	"A"	"A"
"33345_at"	"P"	"P"	"P"
"33346_r_at"	"P"	"P"	"P"
"33347_at"	"A"	"A"	"A"
"33348_at"	"P"	"P"	"P"
"33349_at"	"A"	"A"	"M"
"33350_s_at"	"P"	"P"	"P"
"33351_at"	"P"	"P"	"P"
"33352_at"	"P"	"P"	"P"
"33353_at"	"A"	"A"	"A"
"33354_at"	"P"	"P"	"P"
"33355_at"	"P"	"P"	"P"
"33356_at"	"A"	"A"	"A"
"33357_at"	"P"	"P"	"P"
"33358_at"	"P"	"P"	"P"
"33359_at"	"M"	"A"	"P"
"33360_at"	"P"	"P"	"P"
"33361_at"	"P"	"P"	"P"
"33362_at"	"P"	"P"	"P"
"33363_at"	"P"	"P"	"P"
"33364_at"	"A"	"A"	"A"
"33365_at"	"P"	"P"	"P"
"33366_at"	"P"	"P"	"M"
"33367_s_at"	"P"	"P"	"P"
"33368_at"	"P"	"P"	"P"
"33369_at"	"P"	"P"	"P"
"33370_r_at"	"P"	"P"	"P"
"33371_s_at"	"P"	"P"	"P"
"33372_at"	"P"	"P"	"P"
"33373_at"	"P"	"P"	"P"
"33374_at"	"P"	"P"	"A"
"33375_at"	"A"	"A"	"A"
"33376_at"	"A"	"P"	"A"
"33377_at"	"A"	"A"	"A"
"33378_at"	"P"	"P"	"M"
"33379_at"	"A"	"A"	"A"
"33380_at"	"P"	"P"	"P"
"33381_at"	"P"	"P"	"P"
"33382_at"	"A"	"A"	"A"
"33383_f_at"	"A"	"A"	"A"
"33384_at"	"A"	"A"	"A"
"33385_g_at"	"P"	"P"	"P"
"33386_at"	"P"	"P"	"P"
"33387_at"	"A"	"A"	"A"
"33388_at"	"P"	"P"	"P"
"33389_at"	"P"	"P"	"P"
"33390_at"	"P"	"P"	"P"
"33391_r_at"	"A"	"A"	"A"
"33392_at"	"P"	"P"	"P"
"33393_at"	"P"	"P"	"P"
"33394_at"	"P"	"P"	"P"
"33395_at"	"A"	"A"	"A"
"33396_at"	"P"	"P"	"P"
"33397_at"	"P"	"P"	"P"
"33398_at"	"P"	"A"	"P"
"33399_at"	"P"	"P"	"P"
"334_s_at"	"A"	"A"	"A"
"33400_r_at"	"P"	"A"	"P"
"33401_at"	"A"	"A"	"M"
"33402_at"	"P"	"P"	"P"
"33403_at"	"P"	"P"	"P"
"33404_at"	"P"	"P"	"P"
"33405_at"	"P"	"P"	"P"
"33406_at"	"P"	"P"	"P"
"33407_at"	"A"	"P"	"P"
"33408_at"	"P"	"P"	"P"
"33409_at"	"P"	"P"	"P"
"33410_at"	"A"	"A"	"A"
"33411_g_at"	"A"	"A"	"A"
"33412_at"	"P"	"P"	"P"
"33413_at"	"P"	"P"	"P"
"33414_at"	"P"	"P"	"P"
"33415_at"	"P"	"P"	"P"
"33416_at"	"A"	"A"	"A"
"33417_at"	"M"	"M"	"M"
"33418_at"	"P"	"P"	"P"
"33419_at"	"A"	"P"	"A"
"33420_g_at"	"P"	"P"	"P"
"33421_s_at"	"P"	"P"	"P"
"33422_at"	"P"	"P"	"P"
"33423_g_at"	"P"	"P"	"P"
"33424_at"	"P"	"P"	"P"
"33425_at"	"P"	"P"	"P"
"33426_at"	"A"	"A"	"A"
"33427_s_at"	"P"	"A"	"P"
"33428_s_at"	"A"	"A"	"A"
"33429_at"	"P"	"P"	"P"
"33430_at"	"P"	"P"	"P"
"33431_at"	"A"	"A"	"A"
"33432_at"	"P"	"P"	"P"
"33433_at"	"P"	"P"	"P"
"33434_at"	"P"	"P"	"P"
"33435_r_at"	"P"	"P"	"P"
"33436_at"	"P"	"P"	"P"
"33437_at"	"P"	"P"	"P"
"33438_at"	"P"	"P"	"P"
"33439_at"	"P"	"P"	"P"
"33440_at"	"P"	"P"	"P"
"33441_at"	"P"	"P"	"P"
"33442_at"	"P"	"P"	"P"
"33443_at"	"P"	"P"	"P"
"33444_at"	"P"	"P"	"P"
"33445_at"	"A"	"A"	"A"
"33446_at"	"P"	"A"	"A"
"33447_at"	"P"	"P"	"P"
"33448_at"	"A"	"P"	"P"
"33449_at"	"A"	"A"	"A"
"33450_at"	"A"	"A"	"A"
"33451_s_at"	"P"	"P"	"P"
"33452_at"	"P"	"P"	"P"
"33453_at"	"P"	"P"	"P"
"33454_at"	"P"	"P"	"P"
"33455_at"	"A"	"A"	"A"
"33456_at"	"P"	"P"	"P"
"33457_at"	"P"	"P"	"P"
"33458_r_at"	"P"	"P"	"P"
"33459_at"	"A"	"A"	"A"
"33460_at"	"A"	"A"	"A"
"33461_at"	"A"	"A"	"A"
"33462_at"	"A"	"A"	"A"
"33463_at"	"P"	"P"	"P"
"33464_at"	"A"	"A"	"A"
"33465_at"	"A"	"A"	"A"
"33466_at"	"P"	"P"	"P"
"33467_at"	"A"	"A"	"A"
"33468_at"	"P"	"P"	"P"
"33469_r_at"	"A"	"A"	"P"
"33470_at"	"A"	"A"	"A"
"33471_g_at"	"P"	"P"	"P"
"33472_at"	"P"	"A"	"A"
"33473_at"	"A"	"A"	"A"
"33474_at"	"A"	"A"	"A"
"33475_at"	"A"	"A"	"A"
"33476_at"	"A"	"A"	"A"
"33477_at"	"A"	"A"	"A"
"33478_at"	"A"	"A"	"A"
"33479_g_at"	"A"	"A"	"A"
"33480_at"	"P"	"P"	"P"
"33481_at"	"A"	"A"	"A"
"33482_at"	"A"	"A"	"A"
"33483_at"	"P"	"P"	"P"
"33484_at"	"P"	"P"	"P"
"33485_at"	"P"	"P"	"P"
"33486_at"	"A"	"A"	"A"
"33487_at"	"A"	"A"	"A"
"33488_at"	"P"	"P"	"P"
"33489_at"	"A"	"A"	"A"
"33490_at"	"A"	"A"	"A"
"33491_at"	"A"	"A"	"A"
"33492_at"	"A"	"A"	"A"
"33493_at"	"M"	"P"	"P"
"33494_at"	"P"	"P"	"P"
"33495_at"	"A"	"A"	"A"
"33496_at"	"A"	"A"	"A"
"33497_at"	"A"	"A"	"A"
"33498_at"	"A"	"A"	"A"
"33499_s_at"	"A"	"A"	"A"
"335_r_at"	"A"	"A"	"A"
"33500_i_at"	"A"	"A"	"A"
"33501_r_at"	"A"	"A"	"A"
"33502_at"	"A"	"A"	"A"
"33503_at"	"A"	"A"	"A"
"33504_at"	"A"	"A"	"A"
"33505_at"	"A"	"A"	"A"
"33506_at"	"A"	"A"	"A"
"33507_g_at"	"P"	"P"	"P"
"33508_at"	"A"	"A"	"A"
"33509_at"	"A"	"A"	"A"
"33510_s_at"	"A"	"A"	"A"
"33511_at"	"A"	"A"	"A"
"33512_at"	"A"	"A"	"A"
"33513_at"	"A"	"A"	"A"
"33514_at"	"A"	"A"	"A"
"33515_at"	"A"	"A"	"A"
"33516_at"	"A"	"A"	"A"
"33517_f_at"	"P"	"P"	"P"
"33518_f_at"	"A"	"A"	"A"
"33519_at"	"A"	"A"	"A"
"33520_at"	"A"	"A"	"A"
"33521_at"	"A"	"A"	"A"
"33522_at"	"A"	"A"	"A"
"33523_at"	"A"	"A"	"A"
"33524_at"	"P"	"P"	"P"
"33525_at"	"A"	"A"	"A"
"33526_at"	"A"	"A"	"A"
"33527_at"	"A"	"A"	"A"
"33528_at"	"A"	"A"	"A"
"33529_at"	"A"	"A"	"A"
"33530_at"	"A"	"A"	"A"
"33531_at"	"A"	"A"	"A"
"33532_at"	"P"	"P"	"P"
"33533_at"	"P"	"P"	"P"
"33534_at"	"P"	"A"	"A"
"33535_at"	"A"	"A"	"A"
"33536_at"	"A"	"A"	"A"
"33537_at"	"A"	"A"	"A"
"33538_at"	"P"	"A"	"A"
"33539_at"	"A"	"M"	"M"
"33540_at"	"A"	"A"	"A"
"33541_s_at"	"A"	"A"	"A"
"33542_at"	"A"	"A"	"A"
"33543_s_at"	"P"	"P"	"P"
"33544_at"	"A"	"A"	"A"
"33545_at"	"M"	"A"	"A"
"33546_at"	"A"	"A"	"A"
"33547_i_at"	"A"	"A"	"A"
"33548_f_at"	"A"	"A"	"A"
"33549_at"	"A"	"A"	"A"
"33550_at"	"A"	"A"	"A"
"33551_s_at"	"A"	"A"	"A"
"33552_at"	"A"	"A"	"A"
"33553_r_at"	"A"	"A"	"A"
"33554_at"	"P"	"P"	"A"
"33555_at"	"A"	"A"	"A"
"33556_at"	"P"	"P"	"P"
"33557_at"	"A"	"A"	"A"
"33558_at"	"P"	"P"	"M"
"33559_at"	"A"	"A"	"A"
"33560_at"	"A"	"A"	"A"
"33561_at"	"A"	"A"	"A"
"33562_g_at"	"A"	"A"	"A"
"33563_s_at"	"A"	"A"	"A"
"33564_at"	"A"	"A"	"A"
"33565_at"	"A"	"A"	"A"
"33566_at"	"A"	"A"	"A"
"33567_at"	"A"	"A"	"A"
"33568_at"	"P"	"P"	"P"
"33569_at"	"A"	"A"	"A"
"33570_at"	"A"	"A"	"A"
"33571_at"	"A"	"A"	"A"
"33572_at"	"A"	"A"	"A"
"33573_at"	"A"	"A"	"A"
"33574_at"	"A"	"A"	"A"
"33575_at"	"A"	"A"	"A"
"33576_at"	"P"	"P"	"P"
"33577_at"	"A"	"A"	"A"
"33578_at"	"A"	"A"	"A"
"33579_i_at"	"A"	"A"	"A"
"33580_r_at"	"A"	"A"	"A"
"33581_at"	"A"	"A"	"A"
"33582_s_at"	"A"	"A"	"P"
"33583_r_at"	"A"	"A"	"A"
"33584_at"	"A"	"A"	"A"
"33585_at"	"A"	"A"	"A"
"33586_at"	"A"	"A"	"P"
"33587_f_at"	"A"	"A"	"A"
"33588_at"	"A"	"A"	"A"
"33589_at"	"A"	"A"	"A"
"33590_at"	"A"	"A"	"A"
"33591_at"	"A"	"A"	"A"
"33592_at"	"A"	"A"	"A"
"33593_at"	"A"	"A"	"A"
"33594_at"	"A"	"A"	"A"
"33595_r_at"	"A"	"A"	"A"
"33596_at"	"A"	"A"	"A"
"33597_at"	"A"	"A"	"M"
"33598_r_at"	"P"	"A"	"P"
"33599_at"	"A"	"A"	"A"
"336_at"	"P"	"P"	"P"
"33600_at"	"A"	"A"	"A"
"33601_at"	"P"	"P"	"P"
"33602_at"	"A"	"A"	"A"
"33603_at"	"A"	"A"	"A"
"33604_at"	"A"	"A"	"A"
"33605_at"	"A"	"A"	"A"
"33606_g_at"	"A"	"A"	"A"
"33607_at"	"P"	"P"	"P"
"33608_at"	"A"	"A"	"A"
"33609_at"	"A"	"A"	"A"
"33610_at"	"A"	"A"	"A"
"33611_g_at"	"A"	"A"	"A"
"33612_at"	"A"	"A"	"A"
"33613_at"	"A"	"M"	"A"
"33614_at"	"P"	"P"	"P"
"33615_at"	"A"	"A"	"A"
"33616_at"	"A"	"A"	"A"
"33617_s_at"	"A"	"A"	"A"
"33618_at"	"A"	"A"	"A"
"33619_at"	"P"	"P"	"P"
"33620_at"	"A"	"P"	"M"
"33621_at"	"A"	"A"	"A"
"33622_at"	"A"	"A"	"A"
"33623_g_at"	"A"	"A"	"A"
"33624_at"	"A"	"A"	"A"
"33625_g_at"	"A"	"A"	"A"
"33626_at"	"A"	"A"	"A"
"33627_at"	"A"	"A"	"A"
"33628_g_at"	"A"	"A"	"A"
"33629_at"	"A"	"A"	"A"
"33630_s_at"	"A"	"A"	"A"
"33631_at"	"P"	"P"	"P"
"33632_g_at"	"P"	"P"	"P"
"33633_at"	"A"	"A"	"A"
"33634_at"	"P"	"P"	"A"
"33635_at"	"P"	"P"	"P"
"33636_at"	"A"	"A"	"A"
"33637_g_at"	"A"	"A"	"A"
"33638_at"	"A"	"A"	"A"
"33639_g_at"	"A"	"A"	"A"
"33640_at"	"A"	"A"	"A"
"33641_g_at"	"A"	"A"	"A"
"33642_s_at"	"P"	"P"	"P"
"33643_at"	"A"	"A"	"A"
"33644_at"	"A"	"A"	"A"
"33645_at"	"A"	"A"	"A"
"33646_g_at"	"P"	"P"	"P"
"33647_s_at"	"P"	"P"	"P"
"33648_at"	"A"	"A"	"A"
"33649_at"	"A"	"A"	"A"
"33650_at"	"P"	"P"	"P"
"33651_at"	"A"	"A"	"A"
"33652_at"	"A"	"A"	"A"
"33653_at"	"A"	"A"	"A"
"33654_at"	"A"	"A"	"A"
"33655_f_at"	"M"	"A"	"P"
"33656_at"	"P"	"P"	"P"
"33657_at"	"P"	"P"	"P"
"33658_at"	"A"	"A"	"A"
"33659_at"	"P"	"P"	"P"
"33660_at"	"P"	"P"	"P"
"33661_at"	"A"	"A"	"P"
"33662_at"	"A"	"A"	"A"
"33663_at"	"A"	"A"	"A"
"33664_g_at"	"A"	"A"	"A"
"33665_s_at"	"A"	"A"	"A"
"33666_at"	"P"	"P"	"P"
"33667_at"	"P"	"P"	"P"
"33668_at"	"P"	"P"	"P"
"33669_at"	"A"	"A"	"A"
"33670_at"	"A"	"A"	"A"
"33671_f_at"	"M"	"M"	"A"
"33672_f_at"	"A"	"A"	"A"
"33673_r_at"	"A"	"A"	"A"
"33674_at"	"P"	"P"	"P"
"33675_at"	"A"	"A"	"A"
"33676_at"	"P"	"P"	"P"
"33677_at"	"P"	"P"	"P"
"33678_i_at"	"P"	"P"	"P"
"33679_f_at"	"P"	"P"	"P"
"33680_f_at"	"P"	"P"	"A"
"33681_at"	"A"	"A"	"A"
"33682_at"	"P"	"P"	"A"
"33683_at"	"P"	"P"	"P"
"33684_at"	"A"	"A"	"A"
"33685_at"	"A"	"A"	"A"
"33686_at"	"A"	"A"	"A"
"33687_at"	"A"	"A"	"A"
"33688_at"	"A"	"A"	"A"
"33689_s_at"	"P"	"P"	"P"
"33690_at"	"P"	"M"	"P"
"33691_at"	"A"	"A"	"A"
"33692_at"	"A"	"A"	"A"
"33693_at"	"A"	"A"	"A"
"33694_at"	"A"	"A"	"A"
"33695_at"	"A"	"A"	"A"
"33696_at"	"A"	"A"	"A"
"33697_at"	"A"	"A"	"A"
"33698_at"	"A"	"A"	"A"
"33699_at"	"A"	"A"	"A"
"337_at"	"A"	"A"	"A"
"33700_at"	"P"	"P"	"P"
"33701_at"	"A"	"A"	"A"
"33702_f_at"	"A"	"A"	"A"
"33703_f_at"	"A"	"A"	"A"
"33704_at"	"A"	"A"	"A"
"33705_at"	"P"	"P"	"P"
"33706_at"	"P"	"P"	"P"
"33707_at"	"A"	"A"	"A"
"33708_at"	"P"	"P"	"A"
"33709_at"	"A"	"A"	"A"
"33710_at"	"P"	"P"	"P"
"33711_at"	"A"	"A"	"A"
"33712_at"	"P"	"P"	"P"
"33713_at"	"M"	"M"	"M"
"33714_at"	"P"	"A"	"A"
"33715_r_at"	"P"	"M"	"P"
"33716_at"	"P"	"P"	"P"
"33717_at"	"A"	"A"	"A"
"33718_at"	"M"	"P"	"P"
"33719_at"	"A"	"A"	"A"
"33720_at"	"P"	"P"	"P"
"33721_at"	"A"	"A"	"A"
"33722_at"	"P"	"A"	"P"
"33723_at"	"P"	"P"	"P"
"33724_at"	"P"	"P"	"P"
"33725_at"	"A"	"A"	"A"
"33726_at"	"P"	"P"	"P"
"33727_r_at"	"A"	"A"	"A"
"33728_at"	"A"	"A"	"A"
"33729_at"	"P"	"P"	"P"
"33730_at"	"P"	"P"	"P"
"33731_at"	"A"	"A"	"A"
"33732_at"	"A"	"A"	"A"
"33733_at"	"P"	"P"	"P"
"33734_at"	"P"	"P"	"P"
"33735_at"	"A"	"A"	"A"
"33736_at"	"P"	"P"	"P"
"33737_f_at"	"P"	"P"	"P"
"33738_r_at"	"A"	"A"	"A"
"33739_at"	"A"	"M"	"P"
"33740_at"	"P"	"P"	"P"
"33741_at"	"P"	"P"	"P"
"33742_f_at"	"P"	"P"	"P"
"33743_at"	"A"	"A"	"A"
"33744_at"	"P"	"P"	"P"
"33745_at"	"A"	"A"	"A"
"33746_at"	"P"	"P"	"P"
"33747_s_at"	"A"	"A"	"P"
"33748_at"	"A"	"A"	"A"
"33749_at"	"A"	"A"	"A"
"33750_at"	"A"	"A"	"A"
"33751_at"	"P"	"P"	"P"
"33752_at"	"P"	"P"	"P"
"33753_at"	"P"	"P"	"P"
"33754_at"	"P"	"P"	"P"
"33755_at"	"P"	"A"	"P"
"33756_at"	"A"	"A"	"A"
"33757_f_at"	"M"	"A"	"P"
"33758_f_at"	"A"	"A"	"M"
"33759_at"	"P"	"P"	"P"
"33760_at"	"P"	"P"	"P"
"33761_s_at"	"P"	"P"	"P"
"33762_r_at"	"M"	"P"	"P"
"33763_at"	"P"	"P"	"P"
"33764_at"	"A"	"A"	"A"
"33765_at"	"A"	"A"	"A"
"33766_at"	"A"	"A"	"A"
"33767_at"	"A"	"A"	"A"
"33768_at"	"P"	"P"	"P"
"33769_at"	"P"	"P"	"P"
"33770_at"	"P"	"P"	"P"
"33771_at"	"A"	"A"	"A"
"33772_at"	"A"	"A"	"A"
"33773_at"	"M"	"M"	"P"
"33774_at"	"P"	"P"	"P"
"33775_s_at"	"P"	"A"	"A"
"33776_at"	"P"	"P"	"P"
"33777_at"	"A"	"A"	"A"
"33778_at"	"P"	"P"	"P"
"33779_at"	"A"	"A"	"M"
"33780_at"	"A"	"M"	"M"
"33781_s_at"	"P"	"P"	"P"
"33782_r_at"	"P"	"P"	"P"
"33783_at"	"A"	"A"	"A"
"33784_at"	"P"	"A"	"A"
"33785_at"	"A"	"A"	"A"
"33786_r_at"	"A"	"A"	"A"
"33787_at"	"P"	"P"	"M"
"33788_at"	"P"	"P"	"P"
"33789_at"	"A"	"A"	"A"
"33790_at"	"A"	"A"	"A"
"33791_at"	"P"	"P"	"P"
"33792_at"	"M"	"A"	"M"
"33793_at"	"A"	"A"	"A"
"33794_g_at"	"P"	"P"	"P"
"33795_at"	"A"	"A"	"A"
"33796_at"	"P"	"P"	"P"
"33797_at"	"P"	"P"	"P"
"33798_at"	"A"	"A"	"A"
"33799_at"	"P"	"P"	"P"
"338_at"	"P"	"P"	"M"
"33800_at"	"P"	"P"	"P"
"33801_at"	"A"	"A"	"A"
"33802_at"	"P"	"P"	"P"
"33803_at"	"A"	"A"	"A"
"33804_at"	"A"	"A"	"A"
"33805_at"	"P"	"P"	"P"
"33806_at"	"A"	"A"	"A"
"33807_at"	"A"	"A"	"A"
"33808_at"	"A"	"A"	"A"
"33809_at"	"P"	"P"	"P"
"33810_at"	"P"	"P"	"P"
"33811_at"	"P"	"P"	"P"
"33812_at"	"P"	"P"	"P"
