"GSM34592.CEL.gz"	"GSM34593.CEL.gz"	"GSM34594.CEL.gz"
"1145_g_at"	"A"	"A"	"A"
"1146_at"	"A"	"A"	"A"
"1147_at"	"P"	"P"	"P"
"1148_s_at"	"P"	"P"	"P"
"1149_at"	"A"	"A"	"A"
"115_at"	"A"	"A"	"M"
"1150_at"	"P"	"P"	"P"
"1151_at"	"P"	"P"	"P"
"1152_i_at"	"P"	"A"	"P"
"1153_f_at"	"A"	"A"	"A"
"1154_at"	"P"	"P"	"P"
"1155_at"	"P"	"A"	"M"
"1156_at"	"A"	"A"	"A"
"1157_s_at"	"P"	"P"	"P"
"1158_s_at"	"P"	"P"	"P"
"1159_at"	"A"	"P"	"A"
"116_at"	"P"	"P"	"P"
"1160_at"	"P"	"P"	"P"
"1161_at"	"P"	"P"	"P"
"1162_g_at"	"P"	"P"	"P"
"1163_at"	"P"	"P"	"P"
"1164_at"	"P"	"P"	"P"
"1165_at"	"A"	"A"	"A"
"1166_at"	"P"	"P"	"P"
"1167_s_at"	"A"	"A"	"A"
"1168_at"	"P"	"P"	"P"
"1169_at"	"A"	"A"	"A"
"117_at"	"A"	"A"	"A"
"1170_at"	"M"	"M"	"M"
"1171_s_at"	"A"	"A"	"A"
"1172_at"	"A"	"A"	"A"
"1173_g_at"	"P"	"P"	"P"
"1174_at"	"A"	"A"	"A"
"1175_s_at"	"A"	"A"	"A"
"1176_at"	"P"	"P"	"P"
"1177_at"	"P"	"P"	"P"
"1178_at"	"P"	"P"	"P"
"1179_at"	"P"	"P"	"P"
"118_at"	"A"	"A"	"A"
"1180_g_at"	"P"	"P"	"P"
"1181_at"	"A"	"A"	"A"
"1182_at"	"A"	"A"	"A"
"1183_at"	"A"	"A"	"A"
"1184_at"	"P"	"P"	"P"
"1185_at"	"A"	"A"	"A"
"1186_at"	"A"	"A"	"A"
"1187_at"	"A"	"A"	"A"
"1188_g_at"	"A"	"A"	"A"
"1189_at"	"P"	"P"	"P"
"1190_at"	"A"	"A"	"A"
"1191_s_at"	"P"	"P"	"P"
"1192_at"	"P"	"P"	"P"
"1193_at"	"A"	"A"	"A"
"1194_g_at"	"P"	"P"	"A"
"1195_s_at"	"P"	"P"	"P"
"1196_at"	"P"	"P"	"P"
"1197_at"	"A"	"M"	"A"
"1198_at"	"A"	"A"	"A"
"1199_at"	"P"	"P"	"P"
"120_at"	"P"	"P"	"P"
"1200_at"	"A"	"A"	"A"
"1201_at"	"M"	"P"	"M"
"1202_g_at"	"A"	"A"	"A"
"1203_at"	"A"	"A"	"A"
"1204_at"	"A"	"A"	"A"
"1205_at"	"A"	"A"	"A"
"1206_at"	"P"	"P"	"P"
"1207_at"	"A"	"A"	"A"
"1208_at"	"A"	"A"	"A"
"1209_at"	"M"	"A"	"M"
"121_at"	"P"	"P"	"P"
"1210_s_at"	"A"	"A"	"A"
"1211_s_at"	"P"	"P"	"P"
"1212_at"	"P"	"P"	"P"
"1213_at"	"P"	"P"	"P"
