"affy_hg_u133_plus_2"	"entrezgene"
"1569828_at"	NA
"1561455_at"	284294
"230631_s_at"	100288432
"230632_at"	100288432
"210052_s_at"	22974
"213801_x_at"	388524
"213801_x_at"	653162
"1561090_at"	400654
"214973_x_at"	NA
"214261_s_at"	130
"207544_s_at"	130
"1557261_at"	339005
"213908_at"	339005
"244105_at"	339005
"1557450_s_at"	339005
"1560662_s_at"	339005
"203074_at"	653145
"203074_at"	728113
"219845_at"	56033
"240472_at"	NA
"223564_s_at"	54584
"223563_at"	54584
"220762_s_at"	54584
"209360_s_at"	861
"209359_x_at"	861
"211181_x_at"	861
"210805_x_at"	861
"211180_x_at"	861
"208129_x_at"	861
"211620_x_at"	861
"211182_x_at"	861
"210365_at"	861
"217263_x_at"	861
"1570350_at"	861
"237697_at"	861
"1563591_at"	861
"209360_s_at"	100506403
"209359_x_at"	100506403
"211181_x_at"	100506403
"210805_x_at"	100506403
"211180_x_at"	100506403
"208129_x_at"	100506403
"211620_x_at"	100506403
"211182_x_at"	100506403
"210365_at"	100506403
"217263_x_at"	100506403
"1570350_at"	100506403
"237697_at"	100506403
"1563591_at"	100506403
"225853_at"	64841
"229774_at"	80319
"220277_at"	80319
"228367_at"	115701
"232199_at"	NA
"220910_at"	80144
"1552503_at"	80144
"226145_s_at"	80144
"206286_s_at"	6998
"211630_s_at"	2937
"201415_at"	2937
"207353_s_at"	3166
"220431_at"	28983
"222351_at"	5519
"202886_s_at"	5519
"202883_s_at"	5519
"202884_s_at"	5519
"202885_s_at"	5519
"215960_at"	6527
"213801_x_at"	NA
"234180_at"	NA
"217317_s_at"	NA
"218801_at"	55757
"1555561_a_at"	55757
"233945_at"	55757
"1555560_at"	55757
"235749_at"	55757
"242867_x_at"	NA
"235802_at"	122618
"1559229_at"	NA
"237980_at"	338864
"238215_at"	348932
"1564552_at"	NA
"220272_at"	54796
"230722_at"	54796
"229942_at"	54796
"235723_at"	54796
"238478_at"	54796
"243445_at"	54796
"243017_at"	158572
"207936_x_at"	10738
"203043_at"	NA
"207186_s_at"	2186
"232172_at"	401577
"217038_at"	NA
"214408_s_at"	NA
"214409_at"	NA
"208309_s_at"	10892
"210018_x_at"	10892
"210017_at"	10892
"1562916_at"	100359394
"217332_at"	647288
"211065_x_at"	5211
"201102_s_at"	5211
"214309_s_at"	5211
"206826_at"	5375
"235127_at"	5375
"204616_at"	NA
"1556377_s_at"	NA
"242722_at"	NA
"238194_at"	NA
"207765_s_at"	80256
"211433_x_at"	80256
"203980_at"	2167
"235978_at"	2167
"233949_s_at"	57644
"215795_at"	57644
"213900_at"	9413
"209210_s_at"	10979
"209209_s_at"	10979
"214212_x_at"	10979
"206567_s_at"	51230
"209423_s_at"	51230
"209422_at"	51230
"1569906_s_at"	51230
"235206_at"	51230
"227401_at"	53342
"236837_x_at"	NA
"200042_at"	51493
"1553229_at"	137209
"202087_s_at"	1514
"225825_at"	25943
"226607_at"	25943
"231948_s_at"	25943
"226270_at"	55770
"219349_s_at"	55770
"244886_at"	389641
"206679_at"	320
"228101_at"	320
"202941_at"	NA
"227054_at"	221143
"242676_at"	NA
"1558474_at"	NA
"1562263_at"	100507156
"221066_at"	51289
"235461_at"	54790
"227624_at"	54790
"1569385_s_at"	54790
"213941_x_at"	NA
"1559072_a_at"	114794
"1560713_a_at"	114794
"220793_at"	55511
"233646_at"	NA
"203669_s_at"	8694
"1561287_at"	NA
"226051_at"	140606
"203011_at"	3612
"208529_at"	NA
