"GSM530551.CEL.gz"	"GSM530552.CEL.gz"
"1565065_at"	"A"	"A"
"1565073_at"	"A"	"A"
"1565080_at"	"A"	"A"
"1565082_x_at"	"A"	"A"
"1565105_at"	"A"	"A"
"1565107_x_at"	"A"	"A"
"1565111_x_at"	"A"	"A"
"1565130_at"	"A"	"A"
"1565131_x_at"	"A"	"A"
"1565132_at"	"A"	"P"
"1565149_at"	"A"	"A"
"1565150_at"	"A"	"A"
"1565152_at"	"A"	"A"
"1565162_s_at"	"P"	"P"
"1565192_at"	"A"	"A"
"1565228_s_at"	"A"	"A"
"1565242_at"	"A"	"A"
"1565254_s_at"	"P"	"A"
"1565265_at"	"A"	"A"
"1565269_s_at"	"P"	"P"
"1565282_at"	"A"	"A"
"1565306_a_at"	"A"	"A"
"1565320_at"	"A"	"A"
"1565325_at"	"A"	"A"
"1565329_at"	"A"	"A"
"1565337_at"	"A"	"A"
"1565338_x_at"	"A"	"A"
"1565339_at"	"A"	"A"
"1565346_a_at"	"P"	"A"
"1565347_s_at"	"A"	"A"
"1565358_at"	"A"	"A"
"1565389_s_at"	"A"	"A"
"1565406_a_at"	"A"	"A"
"1565407_at"	"A"	"A"
"1565424_at"	"A"	"A"
"1565436_s_at"	"A"	"A"
"1565446_at"	"A"	"A"
"1565454_at"	"A"	"A"
"1565483_at"	"A"	"A"
"1565484_x_at"	"A"	"A"
"1565495_at"	"A"	"A"
"1565525_a_at"	"A"	"A"
"1565527_x_at"	"A"	"A"
"1565535_x_at"	"A"	"A"
"1565537_at"	"A"	"A"
"1565544_at"	"A"	"A"
"1565546_at"	"A"	"A"
"1565549_at"	"A"	"A"
"1565554_at"	"A"	"A"
"1565556_at"	"A"	"A"
"1565557_at"	"M"	"P"
"1565558_at"	"A"	"A"
"1565559_at"	"A"	"A"
"1565562_at"	"P"	"A"
"1565563_at"	"A"	"A"
"1565565_at"	"A"	"A"
"1565566_a_at"	"A"	"A"
"1565567_at"	"A"	"A"
"1565576_at"	"A"	"A"
"1565577_s_at"	"P"	"P"
"1565578_at"	"A"	"A"
"1565579_at"	"P"	"P"
"1565580_s_at"	"P"	"A"
"1565581_at"	"A"	"A"
"1565582_at"	"P"	"A"
"1565583_at"	"A"	"A"
"1565585_at"	"A"	"A"
"1565587_at"	"A"	"A"
"1565588_at"	"A"	"A"
"1565595_at"	"A"	"A"
"1565596_at"	"A"	"A"
"1565597_at"	"A"	"A"
"1565598_at"	"A"	"A"
"1565599_at"	"A"	"A"
"1565601_at"	"A"	"A"
"1565602_at"	"P"	"A"
"1565603_at"	"A"	"A"
"1565604_at"	"A"	"A"
"1565608_at"	"A"	"A"
"1565610_at"	"A"	"A"
"1565611_at"	"A"	"A"
"1565612_at"	"A"	"P"
"1565613_at"	"A"	"A"
"1565614_at"	"A"	"A"
"1565616_at"	"A"	"A"
"1565617_at"	"A"	"M"
"1565618_at"	"A"	"A"
"1565620_at"	"A"	"A"
"1565621_at"	"A"	"A"
"1565627_a_at"	"A"	"A"
"1565628_at"	"A"	"A"
"1565633_at"	"A"	"A"
"1565635_at"	"A"	"P"
"1565637_at"	"A"	"A"
"1565638_at"	"A"	"A"
"1565639_a_at"	"A"	"A"
"1565641_at"	"M"	"A"
"1565644_at"	"A"	"A"
"1565650_at"	"A"	"A"
"1565651_at"	"A"	"P"
"1565653_at"	"A"	"A"
"1565656_x_at"	"A"	"A"
"1565657_at"	"A"	"A"
"1565659_at"	"A"	"A"
"1565660_at"	"A"	"A"
"1565661_x_at"	"A"	"P"
"1565662_at"	"A"	"A"
"1565666_s_at"	"A"	"A"
"1565668_at"	"A"	"A"
"1565669_at"	"A"	"A"
"1565671_a_at"	"A"	"A"
"1565672_at"	"A"	"A"
"1565673_at"	"A"	"A"
"1565674_at"	"A"	"A"
"1565677_at"	"A"	"A"
"1565680_at"	"A"	"A"
"1565681_s_at"	"P"	"P"
"1565684_at"	"A"	"A"
"1565685_at"	"A"	"A"
"1565689_at"	"A"	"A"
"1565690_at"	"A"	"A"
"1565692_at"	"A"	"A"
"1565693_at"	"A"	"A"
"1565694_at"	"A"	"A"
"1565696_at"	"A"	"M"
"1565697_at"	"A"	"A"
"1565698_at"	"A"	"A"
"1565699_at"	"A"	"A"
"1565700_at"	"A"	"A"
"1565701_at"	"A"	"A"
"1565702_at"	"A"	"A"
"1565703_at"	"A"	"A"
"1565705_x_at"	"A"	"A"
"1565706_at"	"A"	"A"
"1565713_at"	"A"	"A"
"1565714_at"	"A"	"A"
"1565715_at"	"A"	"A"
"1565716_at"	"A"	"M"
"1565717_s_at"	"P"	"P"
"1565722_at"	"A"	"A"
"1565723_at"	"A"	"P"
"1565728_at"	"A"	"A"
"1565729_at"	"A"	"A"
"1565730_at"	"A"	"A"
"1565731_at"	"A"	"A"
"1565732_at"	"A"	"A"
"1565733_at"	"A"	"A"
"1565734_at"	"A"	"A"
"1565735_at"	"A"	"A"
"1565737_at"	"A"	"A"
"1565738_at"	"A"	"A"
"1565740_at"	"A"	"A"
"1565741_at"	"A"	"A"
"1565742_at"	"A"	"A"
"1565743_at"	"A"	"M"
"1565746_at"	"A"	"A"
"1565748_at"	"A"	"A"
"1565751_at"	"A"	"A"
"1565752_at"	"A"	"A"
"1565754_x_at"	"A"	"A"
"1565755_at"	"A"	"A"
"1565756_a_at"	"A"	"A"
"1565758_at"	"A"	"A"
"1565759_at"	"A"	"P"
"1565760_at"	"A"	"A"
"1565762_at"	"A"	"A"
"1565763_at"	"A"	"A"
"1565765_x_at"	"A"	"A"
"1565768_at"	"A"	"A"
"1565769_at"	"A"	"A"
"1565771_at"	"A"	"A"
"1565772_at"	"A"	"A"
"1565774_at"	"A"	"A"
"1565775_at"	"A"	"A"
"1565776_at"	"A"	"A"
"1565777_at"	"A"	"A"
"1565778_at"	"A"	"A"
"1565780_at"	"A"	"A"
"1565783_at"	"A"	"A"
"1565784_at"	"A"	"A"
"1565786_x_at"	"P"	"P"
"1565787_at"	"A"	"A"
"1565788_at"	"A"	"A"
"1565795_at"	"A"	"A"
"1565797_at"	"A"	"A"
"1565799_at"	"A"	"A"
"1565800_x_at"	"A"	"P"
"1565801_at"	"A"	"A"
"1565802_at"	"A"	"A"
"1565803_at"	"A"	"A"
"1565804_at"	"A"	"A"
"1565805_at"	"A"	"A"
"1565806_at"	"A"	"A"
"1565807_at"	"A"	"A"
"1565809_x_at"	"A"	"A"
"1565810_at"	"A"	"A"
"1565811_at"	"A"	"A"
"1565812_at"	"A"	"A"
"1565814_at"	"A"	"A"
"1565816_at"	"A"	"A"
"1565817_at"	"A"	"A"
"1565818_s_at"	"A"	"A"
"1565819_at"	"A"	"A"
"1565820_x_at"	"A"	"A"
"1565821_at"	"M"	"A"
"1565823_at"	"P"	"P"
"1565825_at"	"A"	"A"
"1565826_at"	"A"	"A"
"1565829_at"	"A"	"A"
"1565830_at"	"P"	"P"
"1565832_at"	"A"	"A"
"1565833_at"	"A"	"A"
"1565834_a_at"	"A"	"A"
"1565836_at"	"A"	"A"
"1565837_at"	"A"	"A"
"1565838_at"	"A"	"A"
"1565839_a_at"	"A"	"A"
"1565840_at"	"A"	"A"
"1565843_s_at"	"A"	"P"
"1565844_at"	"A"	"A"
"1565845_at"	"A"	"A"
"1565846_at"	"A"	"A"
"1565848_at"	"A"	"A"
"1565849_a_at"	"A"	"A"
"1565851_at"	"A"	"A"
"1565852_at"	"A"	"A"
"1565856_at"	"A"	"A"
"1565857_at"	"A"	"A"
"1565858_at"	"A"	"A"
"1565859_at"	"A"	"A"
"1565860_at"	"A"	"A"
"1565861_at"	"A"	"A"
"1565862_a_at"	"A"	"A"
"1565863_at"	"A"	"A"
"1565866_a_at"	"A"	"A"
"1565867_a_at"	"A"	"A"
"1565868_at"	"P"	"P"
"1565873_at"	"A"	"A"
"1565874_at"	"A"	"A"
"1565875_at"	"A"	"A"
"1565876_x_at"	"A"	"A"
"1565877_at"	"A"	"A"
"1565879_at"	"A"	"P"
"1565880_at"	"A"	"A"
"1565881_at"	"A"	"A"
"1565882_at"	"P"	"A"
"1565886_at"	"P"	"A"
"1565887_at"	"A"	"A"
"1565888_at"	"A"	"A"
"1565889_at"	"A"	"A"
"1565890_at"	"A"	"A"
"1565892_at"	"A"	"A"
"1565894_at"	"A"	"A"
"1565895_at"	"A"	"A"
"1565896_at"	"A"	"A"
"1565897_at"	"A"	"A"
"1565898_at"	"A"	"A"
"1565900_at"	"A"	"A"
"1565903_at"	"A"	"A"
"1565905_at"	"A"	"A"
"1565906_at"	"A"	"A"
"1565908_at"	"A"	"A"
"1565909_at"	"A"	"A"
"1565910_at"	"A"	"A"
"1565911_at"	"A"	"A"
"1565912_at"	"A"	"A"
"1565913_at"	"A"	"A"
"1565915_at"	"A"	"A"
"1565917_at"	"A"	"A"
"1565918_a_at"	"A"	"A"
"1565920_at"	"P"	"P"
"1565921_a_at"	"A"	"A"
"1565923_at"	"A"	"A"
"1565924_a_at"	"A"	"A"
"1565925_at"	"A"	"A"
"1565927_s_at"	"A"	"M"
"1565928_at"	"A"	"A"
"1565929_s_at"	"A"	"A"
"1565934_at"	"A"	"A"
"1565935_at"	"P"	"A"
"1565936_a_at"	"A"	"A"
"1565937_a_at"	"A"	"A"
"1565939_at"	"P"	"P"
"1565947_a_at"	"A"	"A"
"1565949_x_at"	"A"	"A"
"1565951_s_at"	"P"	"P"
"1565974_at"	"A"	"A"
"1565975_at"	"A"	"A"
"1565976_at"	"A"	"A"
"1565978_a_at"	"A"	"A"
"1565998_at"	"A"	"A"
"1565999_at"	"A"	"A"
"1566001_at"	"A"	"A"
"1566002_at"	"A"	"A"
"1566003_x_at"	"A"	"A"
"1566029_at"	"A"	"P"
"1566030_at"	"A"	"A"
"1566032_at"	"A"	"P"
"1566033_at"	"A"	"A"
"1566037_at"	"A"	"A"
"1566038_at"	"A"	"A"
"1566039_a_at"	"A"	"A"
"1566040_at"	"A"	"A"
"1566041_at"	"A"	"A"
"1566042_at"	"A"	"A"
"1566043_at"	"A"	"A"
"1566044_at"	"A"	"A"
"1566046_at"	"A"	"A"
"1566047_at"	"A"	"A"
"1566079_at"	"A"	"P"
"1566080_at"	"A"	"A"
"1566081_at"	"A"	"A"
"1566082_at"	"A"	"A"
"1566084_at"	"M"	"P"
"1566086_at"	"A"	"A"
"1566087_at"	"A"	"A"
"1566093_at"	"A"	"A"
"1566094_at"	"A"	"A"
"1566096_x_at"	"A"	"A"
"1566097_at"	"A"	"A"
"1566098_at"	"A"	"A"
"1566099_at"	"A"	"A"
"1566101_at"	"A"	"A"
"1566102_at"	"A"	"A"
"1566105_at"	"A"	"A"
"1566106_at"	"A"	"A"
"1566108_at"	"A"	"A"
"1566109_at"	"A"	"A"
"1566110_at"	"A"	"P"
"1566111_at"	"A"	"A"
"1566113_at"	"A"	"A"
"1566114_at"	"A"	"A"
"1566115_at"	"A"	"A"
"1566123_at"	"A"	"A"
"1566124_a_at"	"A"	"A"
"1566126_at"	"A"	"A"
"1566127_at"	"A"	"A"
"1566129_at"	"A"	"A"
"1566134_at"	"A"	"A"
"1566135_at"	"A"	"A"
"1566136_at"	"A"	"A"
"1566137_s_at"	"A"	"A"
"1566138_at"	"A"	"A"
"1566139_at"	"A"	"A"
"1566140_at"	"A"	"A"
"1566141_at"	"A"	"A"
"1566142_at"	"A"	"A"
"1566144_at"	"A"	"A"
"1566145_s_at"	"A"	"A"
"1566146_x_at"	"P"	"P"
"1566147_a_at"	"A"	"A"
"1566149_at"	"A"	"A"
"1566150_at"	"A"	"A"
"1566151_at"	"A"	"A"
"1566152_a_at"	"A"	"A"
"1566156_at"	"A"	"A"
"1566157_x_at"	"A"	"A"
"1566158_at"	"A"	"A"
"1566161_at"	"A"	"A"
"1566162_x_at"	"A"	"A"
"1566163_at"	"A"	"A"
"1566165_at"	"A"	"A"
"1566166_at"	"A"	"A"
"1566168_at"	"A"	"A"
"1566169_at"	"A"	"A"
"1566171_at"	"A"	"A"
"1566176_at"	"A"	"A"
"1566177_at"	"A"	"A"
"1566178_x_at"	"A"	"A"
"1566181_at"	"A"	"A"
"1566182_at"	"A"	"A"
"1566183_at"	"A"	"A"
"1566185_at"	"A"	"A"
"1566186_at"	"A"	"A"
"1566190_at"	"P"	"A"
"1566191_at"	"A"	"A"
"1566194_at"	"A"	"A"
"1566195_at"	"A"	"A"
"1566201_at"	"A"	"A"
"1566202_at"	"A"	"A"
"1566203_at"	"A"	"A"
"1566204_at"	"A"	"A"
"1566207_at"	"A"	"A"
"1566208_at"	"A"	"A"
"1566209_at"	"A"	"A"
"1566210_at"	"A"	"A"
"1566215_at"	"A"	"A"
"1566217_at"	"A"	"A"
"1566218_at"	"A"	"A"
"1566219_at"	"A"	"A"
"1566221_at"	"A"	"A"
"1566222_at"	"A"	"A"
"1566228_at"	"P"	"P"
"1566229_a_at"	"P"	"P"
"1566231_at"	"A"	"P"
"1566232_at"	"A"	"A"
"1566235_at"	"A"	"A"
"1566236_at"	"A"	"A"
"1566242_at"	"A"	"M"
"1566243_at"	"A"	"A"
"1566248_at"	"A"	"A"
"1566249_at"	"A"	"A"
"1566251_at"	"M"	"P"
"1566253_at"	"A"	"A"
"1566256_s_at"	"A"	"A"
"1566257_at"	"P"	"P"
"1566265_at"	"A"	"A"
"1566266_at"	"A"	"P"
"1566267_at"	"A"	"A"
"1566268_at"	"A"	"A"
"1566269_at"	"A"	"A"
"1566271_x_at"	"A"	"A"
"1566272_at"	"A"	"A"
"1566276_at"	"A"	"A"
"1566277_at"	"A"	"A"
"1566278_at"	"A"	"A"
"1566279_at"	"A"	"A"
"1566284_at"	"A"	"A"
"1566285_at"	"A"	"A"
"1566288_at"	"A"	"A"
"1566289_at"	"A"	"A"
"1566294_at"	"A"	"A"
"1566295_at"	"A"	"A"
"1566301_at"	"A"	"A"
"1566302_at"	"A"	"A"
"1566303_s_at"	"P"	"P"
"1566323_at"	"A"	"A"
"1566324_a_at"	"A"	"A"
"1566337_x_at"	"P"	"A"
"1566339_at"	"A"	"A"
"1566340_at"	"A"	"A"
"1566342_at"	"P"	"P"
"1566362_at"	"A"	"A"
"1566363_at"	"A"	"A"
"1566402_at"	"M"	"M"
"1566403_at"	"A"	"A"
"1566419_at"	"A"	"A"
"1566424_at"	"A"	"A"
"1566425_at"	"A"	"A"
"1566426_at"	"A"	"P"
"1566427_at"	"A"	"A"
"1566428_at"	"A"	"A"
"1566432_at"	"A"	"A"
"1566433_at"	"A"	"A"
"1566437_at"	"A"	"A"
"1566438_at"	"A"	"P"
"1566439_at"	"A"	"A"
"1566440_at"	"P"	"A"
"1566441_at"	"A"	"A"
"1566442_at"	"A"	"A"
"1566445_at"	"A"	"A"
"1566446_at"	"A"	"A"
"1566447_at"	"A"	"A"
"1566448_at"	"A"	"A"
"1566449_at"	"A"	"A"
"1566452_at"	"A"	"A"
"1566454_at"	"A"	"P"
"1566455_at"	"A"	"A"
"1566456_at"	"A"	"A"
"1566457_at"	"A"	"A"
"1566459_at"	"A"	"A"
"1566461_at"	"A"	"A"
"1566462_at"	"A"	"A"
"1566463_at"	"A"	"A"
"1566464_at"	"A"	"A"
"1566465_at"	"A"	"A"
"1566468_at"	"A"	"A"
"1566469_at"	"A"	"A"
"1566471_at"	"A"	"A"
"1566472_s_at"	"P"	"P"
"1566473_a_at"	"A"	"A"
"1566474_at"	"A"	"A"
"1566475_at"	"A"	"A"
"1566476_at"	"A"	"A"
"1566477_at"	"A"	"A"
"1566478_at"	"A"	"A"
"1566480_x_at"	"A"	"A"
"1566481_at"	"A"	"A"
"1566482_at"	"A"	"A"
"1566484_at"	"A"	"A"
"1566485_at"	"A"	"A"
"1566486_at"	"A"	"A"
"1566487_at"	"A"	"A"
"1566490_at"	"A"	"A"
"1566491_at"	"A"	"A"
"1566498_at"	"A"	"A"
"1566499_at"	"A"	"A"
"1566500_at"	"A"	"A"
"1566501_at"	"A"	"A"
"1566502_at"	"A"	"A"
"1566503_at"	"A"	"A"
"1566504_at"	"A"	"A"
"1566505_at"	"A"	"A"
"1566507_a_at"	"A"	"A"
"1566509_s_at"	"P"	"P"
"1566511_at"	"A"	"A"
"1566512_at"	"A"	"A"
"1566513_a_at"	"A"	"A"
"1566514_at"	"A"	"A"
"1566515_at"	"A"	"A"
"1566517_at"	"A"	"A"
"1566518_at"	"A"	"A"
"1566524_a_at"	"A"	"A"
"1566526_at"	"A"	"A"
"1566527_at"	"A"	"A"
"1566528_at"	"A"	"A"
"1566535_at"	"A"	"A"
"1566537_at"	"A"	"A"
"1566538_at"	"A"	"A"
"1566539_at"	"A"	"A"
"1566540_at"	"A"	"A"
"1566541_at"	"A"	"A"
"1566543_at"	"A"	"A"
"1566544_at"	"A"	"A"
"1566548_at"	"A"	"A"
"1566549_at"	"A"	"A"
"1566550_at"	"A"	"A"
"1566551_at"	"A"	"A"
"1566555_at"	"A"	"A"
"1566557_at"	"P"	"P"
"1566558_x_at"	"A"	"M"
"1566569_at"	"A"	"A"
"1566571_at"	"A"	"A"
"1566576_at"	"A"	"A"
"1566577_at"	"A"	"P"
"1566580_at"	"A"	"A"
"1566581_at"	"P"	"A"
"1566582_x_at"	"A"	"A"
"1566585_at"	"A"	"A"
"1566586_at"	"A"	"A"
"1566596_at"	"A"	"A"
"1566597_at"	"A"	"A"
"1566598_at"	"A"	"A"
"1566599_at"	"A"	"A"
"1566600_at"	"A"	"A"
"1566602_at"	"A"	"A"
"1566603_s_at"	"P"	"P"
"1566605_at"	"A"	"A"
"1566606_a_at"	"A"	"A"
"1566607_at"	"A"	"A"
"1566608_at"	"A"	"A"
"1566609_at"	"A"	"A"
"1566622_at"	"A"	"A"
"1566623_at"	"A"	"A"
"1566624_at"	"A"	"A"
"1566630_at"	"A"	"A"
"1566631_at"	"A"	"A"
"1566632_at"	"A"	"P"
"1566633_at"	"A"	"A"
"1566637_at"	"A"	"A"
"1566638_at"	"A"	"A"
"1566642_at"	"A"	"A"
"1566643_a_at"	"A"	"A"
"1566644_at"	"A"	"M"
"1566645_at"	"A"	"A"
"1566646_at"	"A"	"A"
"1566647_s_at"	"A"	"A"
"1566653_at"	"A"	"A"
"1566656_a_at"	"P"	"A"
"1566658_at"	"A"	"A"
"1566664_at"	"A"	"A"
"1566665_at"	"A"	"A"
"1566666_at"	"A"	"A"
"1566670_at"	"A"	"A"
"1566671_a_at"	"A"	"A"
"1566672_at"	"A"	"A"
"1566673_at"	"A"	"A"
"1566677_at"	"A"	"A"
"1566678_at"	"A"	"A"
"1566680_at"	"A"	"A"
"1566688_at"	"A"	"A"
"1566689_at"	"A"	"A"
"1566690_at"	"A"	"A"
"1566691_at"	"A"	"A"
"1566693_at"	"A"	"A"
"1566694_at"	"A"	"A"
"1566695_at"	"A"	"A"
"1566696_at"	"A"	"P"
"1566697_at"	"A"	"A"
"1566698_at"	"A"	"A"
"1566700_at"	"M"	"A"
"1566701_at"	"A"	"A"
"1566702_at"	"A"	"A"
"1566703_at"	"A"	"A"
"1566709_at"	"A"	"A"
"1566715_at"	"A"	"A"
"1566716_at"	"A"	"P"
"1566720_at"	"A"	"A"
"1566721_at"	"A"	"A"
"1566722_a_at"	"A"	"A"
"1566725_at"	"A"	"A"
"1566726_at"	"A"	"A"
"1566727_at"	"A"	"A"
"1566728_at"	"A"	"A"
"1566734_at"	"A"	"A"
"1566735_at"	"A"	"A"
"1566737_at"	"A"	"A"
"1566739_at"	"A"	"A"
"1566740_at"	"A"	"A"
"1566748_at"	"A"	"A"
"1566749_at"	"A"	"A"
"1566760_at"	"A"	"A"
"1566761_a_at"	"A"	"P"
"1566762_at"	"A"	"A"
"1566763_at"	"A"	"A"
"1566764_at"	"A"	"A"
"1566766_a_at"	"A"	"A"
"1566767_at"	"A"	"A"
"1566768_at"	"A"	"A"
"1566771_at"	"A"	"A"
"1566772_at"	"A"	"A"
"1566775_at"	"A"	"A"
"1566776_at"	"A"	"A"
"1566777_at"	"A"	"A"
"1566778_at"	"A"	"A"
"1566779_at"	"A"	"A"
"1566780_at"	"A"	"A"
"1566783_at"	"A"	"A"
"1566784_at"	"A"	"A"
"1566785_x_at"	"M"	"M"
"1566786_at"	"A"	"A"
"1566787_at"	"A"	"A"
"1566798_at"	"A"	"A"
"1566803_at"	"A"	"A"
"1566804_at"	"A"	"A"
"1566805_at"	"A"	"A"
"1566807_a_at"	"A"	"A"
"1566809_a_at"	"A"	"A"
"1566814_at"	"A"	"A"
"1566816_at"	"A"	"A"
"1566821_at"	"A"	"A"
"1566823_a_at"	"A"	"P"
"1566824_at"	"A"	"A"
"1566825_at"	"A"	"A"
"1566830_at"	"A"	"A"
"1566831_at"	"A"	"A"
"1566832_at"	"A"	"A"
"1566833_x_at"	"A"	"A"
"1566834_at"	"A"	"A"
"1566835_at"	"A"	"A"
"1566836_at"	"A"	"A"
"1566837_at"	"A"	"A"
"1566839_at"	"A"	"A"
"1566840_at"	"A"	"A"
"1566841_at"	"A"	"A"
"1566842_at"	"A"	"A"
"1566843_at"	"A"	"A"
"1566844_at"	"A"	"A"
"1566846_at"	"A"	"A"
"1566848_x_at"	"A"	"A"
"1566851_at"	"A"	"A"
"1566852_at"	"A"	"A"
"1566853_at"	"A"	"A"
"1566854_at"	"A"	"A"
"1566860_at"	"A"	"A"
"1566861_at"	"A"	"A"
"1566862_at"	"A"	"A"
"1566863_at"	"A"	"A"
"1566865_at"	"A"	"A"
"1566866_at"	"A"	"A"
"1566867_at"	"A"	"A"
"1566868_at"	"A"	"A"
"1566869_at"	"A"	"A"
"1566870_at"	"A"	"A"
"1566873_at"	"A"	"A"
"1566874_at"	"A"	"A"
"1566879_at"	"A"	"A"
"1566880_at"	"A"	"A"
"1566881_at"	"A"	"A"
"1566882_at"	"A"	"A"
"1566884_at"	"A"	"A"
"1566885_at"	"A"	"A"
"1566887_x_at"	"M"	"P"
"1566888_at"	"A"	"A"
"1566889_at"	"A"	"A"
"1566892_at"	"A"	"A"
"1566893_at"	"A"	"A"
"1566896_at"	"A"	"A"
"1566897_at"	"A"	"A"
"1566898_at"	"A"	"A"
"1566899_at"	"A"	"A"
"1566900_at"	"A"	"A"
"1566901_at"	"A"	"A"
"1566902_at"	"A"	"A"
"1566903_at"	"A"	"A"
"1566906_at"	"A"	"A"
"1566908_at"	"A"	"A"
"1566916_at"	"A"	"A"
"1566917_at"	"A"	"A"
"1566923_at"	"A"	"A"
"1566924_at"	"A"	"A"
"1566926_at"	"A"	"A"
"1566927_at"	"A"	"P"
"1566930_at"	"A"	"A"
"1566931_at"	"A"	"A"
"1566932_x_at"	"A"	"A"
"1566934_at"	"A"	"A"
"1566935_at"	"A"	"A"
"1566937_at"	"A"	"A"
"1566938_at"	"A"	"A"
"1566947_at"	"A"	"A"
"1566948_at"	"A"	"A"
"1566949_at"	"A"	"A"
"1566950_at"	"A"	"A"
"1566951_at"	"A"	"A"
"1566952_at"	"A"	"A"
"1566953_x_at"	"A"	"A"
"1566954_at"	"A"	"A"
"1566955_at"	"A"	"A"
"1566956_at"	"A"	"A"
"1566957_at"	"A"	"A"
"1566958_at"	"A"	"A"
"1566959_at"	"A"	"A"
"1566963_at"	"A"	"A"
"1566964_at"	"A"	"A"
"1566965_at"	"A"	"A"
"1566966_at"	"A"	"A"
"1566967_at"	"A"	"A"
"1566968_at"	"A"	"A"
"1566969_at"	"A"	"A"
"1566970_at"	"A"	"A"
"1566973_at"	"A"	"A"
"1566974_at"	"A"	"A"
"1566978_at"	"A"	"A"
"1566979_at"	"A"	"A"
"1566980_at"	"A"	"A"
"1566981_at"	"A"	"A"
"1566984_at"	"A"	"A"
"1566986_at"	"A"	"A"
"1566987_s_at"	"A"	"A"
"1566989_at"	"P"	"A"
"1566990_x_at"	"A"	"P"
"1566991_at"	"A"	"A"
"1566994_at"	"A"	"A"
"1566995_at"	"A"	"A"
"1566999_at"	"A"	"A"
"1567000_at"	"A"	"A"
"1567008_at"	"A"	"A"
"1567009_at"	"A"	"A"
"1567010_at"	"A"	"A"
"1567011_at"	"A"	"A"
"1567013_at"	"P"	"P"
"1567014_s_at"	"P"	"P"
"1567015_at"	"A"	"A"
"1567022_at"	"A"	"A"
"1567023_at"	"A"	"M"
"1567027_at"	"A"	"A"
"1567028_s_at"	"A"	"A"
"1567030_at"	"A"	"A"
"1567031_at"	"A"	"A"
"1567032_s_at"	"P"	"P"
"1567035_at"	"A"	"A"
"1567036_at"	"A"	"A"
"1567044_s_at"	"A"	"A"
"1567045_at"	"A"	"A"
"1567054_at"	"A"	"A"
"1567055_at"	"A"	"A"
"1567056_at"	"A"	"A"
"1567058_at"	"A"	"A"
"1567059_at"	"A"	"A"
"1567060_at"	"A"	"A"
"1567064_at"	"A"	"A"
"1567065_at"	"A"	"A"
"1567068_at"	"A"	"A"
"1567069_at"	"A"	"A"
"1567076_at"	"A"	"A"
"1567078_x_at"	"A"	"A"
"1567079_at"	"A"	"A"
"1567080_s_at"	"P"	"P"
"1567081_x_at"	"P"	"P"
"1567100_at"	"A"	"A"
"1567101_at"	"A"	"A"
"1567105_at"	"A"	"A"
"1567107_s_at"	"P"	"P"
"1567139_at"	"A"	"A"
"1567140_at"	"A"	"A"
"1567166_at"	"A"	"A"
"1567167_at"	"A"	"A"
"1567173_at"	"A"	"A"
"1567174_at"	"A"	"A"
"1567179_at"	"A"	"A"
"1567181_x_at"	"A"	"A"
"1567182_at"	"A"	"A"
"1567183_s_at"	"A"	"A"
"1567213_at"	"P"	"P"
"1567214_a_at"	"P"	"P"
"1567219_at"	"P"	"P"
"1567222_x_at"	"A"	"P"
"1567223_at"	"A"	"A"
"1567224_at"	"P"	"P"
"1567237_at"	"A"	"A"
"1567238_at"	"A"	"A"
"1567240_x_at"	"A"	"A"
"1567241_at"	"A"	"A"
"1567242_at"	"A"	"A"
"1567244_at"	"A"	"A"
"1567245_at"	"A"	"A"
"1567246_at"	"A"	"A"
"1567247_at"	"A"	"A"
"1567248_at"	"A"	"A"
"1567249_at"	"A"	"A"
"1567250_at"	"A"	"A"
"1567251_at"	"A"	"A"
"1567252_at"	"A"	"A"
"1567253_at"	"A"	"A"
"1567254_at"	"A"	"A"
"1567255_at"	"A"	"A"
"1567256_at"	"A"	"A"
"1567257_at"	"A"	"A"
"1567270_at"	"A"	"A"
"1567271_at"	"A"	"A"
"1567272_at"	"A"	"A"
"1567273_at"	"A"	"A"
"1567274_at"	"A"	"A"
"1567277_at"	"A"	"A"
"1567280_at"	"A"	"A"
"1567281_at"	"A"	"A"
"1567282_at"	"A"	"A"
"1567284_at"	"A"	"A"
"1567285_at"	"A"	"A"
"1567286_at"	"A"	"A"
"1567287_at"	"A"	"A"
"1567288_at"	"A"	"A"
"1567297_at"	"A"	"A"
"1567298_at"	"A"	"A"
"1567303_at"	"A"	"A"
"1567304_at"	"A"	"A"
"1567319_at"	"A"	"A"
"1567320_at"	"A"	"A"
"1567333_at"	"A"	"A"
"1567334_at"	"A"	"A"
"1567341_at"	"A"	"A"
"1567357_at"	"A"	"A"
"1567358_at"	"A"	"A"
"1567359_at"	"A"	"M"
"1567361_at"	"A"	"A"
"1567374_at"	"A"	"A"
"1567375_at"	"A"	"A"
"1567376_at"	"A"	"A"
"1567377_at"	"A"	"A"
"1567378_x_at"	"A"	"A"
"1567379_at"	"A"	"A"
"1567380_at"	"A"	"A"
"1567386_at"	"A"	"A"
"1567387_at"	"A"	"A"
"1567389_at"	"A"	"A"
"1567390_at"	"A"	"A"
"1567410_at"	"A"	"A"
"1567440_at"	"A"	"A"
"1567443_x_at"	"A"	"A"
"1567457_at"	"P"	"P"
"1567458_s_at"	"P"	"P"
"1567519_at"	"A"	"A"
"1567527_at"	"P"	"A"
"1567539_at"	"A"	"A"
"1567540_at"	"A"	"A"
"1567558_at"	"A"	"A"
