"GSM556748.CEL.gz"	"GSM556750.CEL.gz"	"GSM556751.CEL.gz"
"205474_at"	"P"	"P"	"P"
"205475_at"	"A"	"A"	"A"
"205476_at"	"A"	"P"	"A"
"205477_s_at"	"A"	"A"	"A"
"205478_at"	"A"	"A"	"A"
"205479_s_at"	"P"	"P"	"P"
"205480_s_at"	"P"	"P"	"P"
"205481_at"	"A"	"A"	"P"
"205482_x_at"	"P"	"P"	"P"
"205483_s_at"	"P"	"P"	"P"
"205484_at"	"A"	"A"	"A"
"205485_at"	"A"	"A"	"A"
"205486_at"	"A"	"A"	"A"
"205487_s_at"	"A"	"A"	"A"
"205488_at"	"A"	"A"	"A"
"205489_at"	"P"	"P"	"P"
"205490_x_at"	"A"	"A"	"A"
"205491_s_at"	"A"	"A"	"A"
"205492_s_at"	"A"	"A"	"P"
"205493_s_at"	"A"	"M"	"P"
"205494_at"	"A"	"A"	"A"
"205495_s_at"	"A"	"A"	"A"
"205496_at"	"A"	"A"	"A"
"205497_at"	"P"	"P"	"P"
"205498_at"	"P"	"P"	"P"
"205499_at"	"P"	"P"	"P"
"205500_at"	"P"	"P"	"P"
"205501_at"	"A"	"A"	"A"
"205502_at"	"A"	"A"	"P"
"205503_at"	"P"	"P"	"P"
"205504_at"	"A"	"A"	"A"
"205505_at"	"P"	"P"	"P"
"205506_at"	"A"	"A"	"A"
"205507_at"	"A"	"A"	"A"
"205508_at"	"A"	"P"	"P"
"205509_at"	"A"	"A"	"A"
"205510_s_at"	"P"	"P"	"P"
"205511_at"	"A"	"A"	"A"
"205512_s_at"	"P"	"P"	"P"
"205513_at"	"A"	"A"	"A"
"205514_at"	"A"	"A"	"P"
"205515_at"	"A"	"A"	"P"
"205516_x_at"	"P"	"P"	"P"
"205517_at"	"A"	"A"	"A"
"205518_s_at"	"A"	"A"	"P"
"205519_at"	"P"	"P"	"P"
"205520_at"	"P"	"P"	"P"
"205521_at"	"P"	"P"	"P"
"205522_at"	"M"	"A"	"A"
"205523_at"	"A"	"A"	"A"
"205524_s_at"	"A"	"A"	"A"
"205525_at"	"A"	"P"	"P"
"205526_s_at"	"P"	"P"	"P"
"205527_s_at"	"P"	"P"	"P"
"205528_s_at"	"A"	"A"	"A"
"205529_s_at"	"A"	"A"	"P"
"205530_at"	"P"	"P"	"P"
"205531_s_at"	"A"	"A"	"A"
"205532_s_at"	"A"	"A"	"A"
"205533_s_at"	"A"	"A"	"A"
"205534_at"	"P"	"P"	"P"
"205535_s_at"	"P"	"P"	"P"
"205536_at"	"A"	"P"	"A"
"205537_s_at"	"A"	"A"	"A"
"205538_at"	"A"	"A"	"A"
"205539_at"	"A"	"M"	"P"
"205540_s_at"	"P"	"P"	"P"
"205541_s_at"	"P"	"P"	"P"
"205542_at"	"P"	"P"	"P"
"205543_at"	"P"	"P"	"P"
"205544_s_at"	"A"	"A"	"A"
"205545_x_at"	"P"	"P"	"P"
"205546_s_at"	"P"	"P"	"P"
"205547_s_at"	"A"	"P"	"P"
"205548_s_at"	"P"	"P"	"P"
"205549_at"	"A"	"A"	"A"
"205550_s_at"	"P"	"P"	"P"
"205551_at"	"A"	"A"	"A"
"205552_s_at"	"P"	"A"	"P"
"205553_s_at"	"A"	"A"	"A"
"205554_s_at"	"A"	"P"	"A"
"205555_s_at"	"A"	"A"	"A"
"205556_at"	"A"	"A"	"A"
"205557_at"	"A"	"A"	"A"
"205558_at"	"M"	"M"	"A"
"205559_s_at"	"P"	"P"	"P"
"205560_at"	"A"	"P"	"A"
"205561_at"	"A"	"A"	"A"
"205562_at"	"P"	"P"	"P"
"205563_at"	"A"	"A"	"A"
"205564_at"	"A"	"A"	"A"
"205565_s_at"	"P"	"P"	"P"
"205566_at"	"P"	"P"	"P"
"205567_at"	"A"	"A"	"P"
"205568_at"	"P"	"P"	"P"
"205569_at"	"A"	"A"	"A"
"205570_at"	"P"	"P"	"P"
"205571_at"	"P"	"P"	"P"
"205572_at"	"A"	"A"	"A"
"205573_s_at"	"P"	"P"	"P"
"205574_x_at"	"P"	"P"	"P"
"205575_at"	"A"	"P"	"P"
"205576_at"	"P"	"P"	"P"
"205577_at"	"A"	"A"	"A"
"205578_at"	"A"	"A"	"A"
"205579_at"	"P"	"P"	"P"
"205580_s_at"	"P"	"P"	"P"
"205581_s_at"	"A"	"A"	"A"
"205582_s_at"	"A"	"A"	"A"
"205583_s_at"	"P"	"P"	"P"
"205584_at"	"P"	"P"	"P"
"205585_at"	"A"	"A"	"P"
"205586_x_at"	"P"	"P"	"P"
"205587_at"	"A"	"A"	"A"
"205588_s_at"	"P"	"P"	"P"
"205589_at"	"A"	"A"	"A"
"205590_at"	"A"	"P"	"A"
"205591_at"	"A"	"A"	"A"
"205592_at"	"A"	"A"	"A"
"205593_s_at"	"A"	"A"	"A"
"205594_at"	"P"	"P"	"P"
"205595_at"	"A"	"A"	"A"
"205596_s_at"	"P"	"P"	"P"
"205597_at"	"A"	"A"	"A"
"205598_at"	"A"	"A"	"A"
"205599_at"	"M"	"P"	"P"
"205600_x_at"	"A"	"P"	"P"
"205601_s_at"	"P"	"M"	"M"
"205602_x_at"	"A"	"A"	"P"
"205603_s_at"	"A"	"P"	"P"
"205604_at"	"A"	"A"	"A"
"205605_at"	"A"	"A"	"A"
"205606_at"	"A"	"A"	"M"
"205607_s_at"	"P"	"P"	"P"
"205608_s_at"	"P"	"P"	"P"
"205609_at"	"P"	"P"	"P"
"205610_at"	"A"	"A"	"A"
"205611_at"	"A"	"A"	"A"
"205612_at"	"A"	"A"	"A"
"205613_at"	"A"	"A"	"A"
"205614_x_at"	"A"	"A"	"A"
"205615_at"	"A"	"A"	"A"
"205616_at"	"A"	"A"	"A"
"205617_at"	"A"	"A"	"A"
"205618_at"	"P"	"P"	"P"
"205619_s_at"	"A"	"A"	"A"
"205620_at"	"A"	"A"	"A"
"205621_at"	"P"	"P"	"P"
"205622_at"	"A"	"A"	"A"
"205623_at"	"A"	"A"	"A"
"205624_at"	"A"	"A"	"A"
"205625_s_at"	"A"	"A"	"A"
"205626_s_at"	"A"	"A"	"A"
"205627_at"	"P"	"P"	"M"
"205628_at"	"P"	"P"	"P"
"205629_s_at"	"A"	"A"	"A"
"205630_at"	"A"	"A"	"A"
"205631_at"	"P"	"P"	"P"
"205632_s_at"	"A"	"A"	"A"
"205633_s_at"	"P"	"P"	"P"
"205634_x_at"	"P"	"P"	"P"
"205635_at"	"A"	"A"	"A"
"205636_at"	"A"	"A"	"A"
"205637_s_at"	"A"	"A"	"A"
"205638_at"	"A"	"A"	"A"
"205639_at"	"A"	"A"	"A"
"205640_at"	"P"	"P"	"P"
"205641_s_at"	"P"	"P"	"P"
"205642_at"	"A"	"P"	"P"
"205643_s_at"	"A"	"A"	"A"
"205644_s_at"	"P"	"P"	"P"
"205645_at"	"A"	"A"	"A"
"205646_s_at"	"P"	"P"	"P"
"205647_at"	"M"	"A"	"M"
"205648_at"	"A"	"A"	"A"
"205649_s_at"	"A"	"A"	"A"
"205650_s_at"	"A"	"A"	"A"
"205651_x_at"	"A"	"A"	"A"
"205652_s_at"	"P"	"P"	"P"
"205653_at"	"A"	"A"	"A"
"205654_at"	"A"	"A"	"A"
"205655_at"	"A"	"A"	"A"
"205656_at"	"A"	"P"	"P"
"205657_at"	"A"	"A"	"A"
"205658_s_at"	"M"	"M"	"P"
"205659_at"	"P"	"P"	"P"
"205660_at"	"P"	"P"	"P"
"205661_s_at"	"P"	"P"	"P"
"205662_at"	"P"	"P"	"P"
"205663_at"	"A"	"A"	"A"
"205664_at"	"P"	"P"	"P"
"205665_at"	"A"	"M"	"P"
"205666_at"	"A"	"A"	"A"
"205667_at"	"P"	"P"	"P"
"205668_at"	"A"	"M"	"A"
"205669_at"	"P"	"A"	"A"
"205670_at"	"A"	"A"	"A"
"205671_s_at"	"A"	"A"	"A"
"205672_at"	"P"	"P"	"P"
"205673_s_at"	"P"	"P"	"P"
"205674_x_at"	"A"	"A"	"A"
"205675_at"	"A"	"A"	"A"
"205676_at"	"M"	"P"	"P"
"205677_s_at"	"P"	"P"	"P"
"205678_at"	"P"	"P"	"A"
"205679_x_at"	"A"	"A"	"A"
"205680_at"	"A"	"A"	"A"
"205681_at"	"A"	"P"	"M"
"205682_x_at"	"P"	"P"	"P"
"205683_x_at"	"A"	"A"	"A"
"205684_s_at"	"P"	"P"	"P"
"205685_at"	"A"	"A"	"A"
"205686_s_at"	"A"	"A"	"A"
"205687_at"	"P"	"P"	"P"
"205688_at"	"A"	"A"	"M"
"205689_at"	"A"	"A"	"A"
"205690_s_at"	"P"	"P"	"P"
"205691_at"	"A"	"A"	"A"
"205692_s_at"	"A"	"A"	"A"
"205693_at"	"A"	"A"	"A"
"205694_at"	"M"	"A"	"A"
"205695_at"	"A"	"A"	"A"
"205696_s_at"	"A"	"A"	"P"
"205697_at"	"A"	"A"	"A"
"205698_s_at"	"M"	"A"	"P"
"205699_at"	"A"	"A"	"A"
"205700_at"	"P"	"A"	"A"
"205701_at"	"P"	"P"	"P"
"205702_at"	"P"	"P"	"P"
"205703_at"	"A"	"A"	"A"
"205704_s_at"	"P"	"P"	"P"
"205705_at"	"A"	"M"	"A"
"205706_s_at"	"P"	"P"	"P"
"205707_at"	"A"	"A"	"P"
"205708_s_at"	"M"	"A"	"P"
"205709_s_at"	"A"	"A"	"P"
"205710_at"	"A"	"A"	"P"
"205711_x_at"	"P"	"P"	"P"
"205712_at"	"P"	"P"	"P"
"205713_s_at"	"A"	"A"	"A"
"205714_s_at"	"A"	"A"	"A"
"205715_at"	"A"	"A"	"A"
"205716_at"	"P"	"P"	"P"
"205717_x_at"	"P"	"P"	"P"
"205718_at"	"A"	"A"	"A"
"205719_s_at"	"A"	"A"	"A"
"205720_at"	"A"	"A"	"A"
"205721_at"	"A"	"A"	"A"
"205722_s_at"	"A"	"A"	"A"
"205723_at"	"A"	"A"	"A"
"205724_at"	"A"	"A"	"A"
"205725_at"	"A"	"A"	"A"
"205726_at"	"P"	"P"	"P"
"205727_at"	"A"	"A"	"A"
"205728_at"	"A"	"A"	"A"
"205729_at"	"P"	"P"	"P"
"205730_s_at"	"P"	"P"	"P"
"205731_s_at"	"A"	"A"	"A"
"205732_s_at"	"P"	"P"	"P"
"205733_at"	"P"	"P"	"P"
"205734_s_at"	"A"	"A"	"A"
"205735_s_at"	"A"	"A"	"A"
"205736_at"	"A"	"A"	"A"
"205737_at"	"A"	"A"	"A"
"205738_s_at"	"A"	"A"	"A"
"205739_x_at"	"A"	"P"	"P"
"205740_s_at"	"P"	"P"	"P"
"205741_s_at"	"P"	"P"	"P"
"205742_at"	"P"	"A"	"P"
"205743_at"	"P"	"P"	"P"
"205744_at"	"A"	"A"	"A"
"205745_x_at"	"P"	"P"	"P"
"205746_s_at"	"P"	"P"	"P"
"205747_at"	"A"	"A"	"A"
"205748_s_at"	"P"	"P"	"P"
"205749_at"	"A"	"A"	"A"
"205750_at"	"P"	"P"	"P"
"205751_at"	"A"	"A"	"P"
"205752_s_at"	"A"	"A"	"A"
"205753_at"	"A"	"A"	"A"
"205754_at"	"A"	"A"	"A"
"205755_at"	"A"	"A"	"A"
"205756_s_at"	"P"	"P"	"P"
"205757_at"	"A"	"A"	"A"
"205758_at"	"A"	"A"	"A"
"205759_s_at"	"A"	"A"	"A"
"205760_s_at"	"P"	"P"	"P"
"205761_s_at"	"P"	"P"	"P"
"205762_s_at"	"P"	"P"	"P"
"205763_s_at"	"P"	"P"	"P"
"205764_at"	"A"	"A"	"A"
"205765_at"	"A"	"A"	"A"
"205766_at"	"A"	"A"	"A"
"205767_at"	"P"	"P"	"P"
"205768_s_at"	"A"	"A"	"A"
"205769_at"	"A"	"A"	"A"
"205770_at"	"P"	"P"	"P"
"205771_s_at"	"P"	"P"	"P"
"205772_s_at"	"A"	"A"	"A"
"205773_at"	"A"	"P"	"M"
"205774_at"	"A"	"A"	"A"
"205775_at"	"A"	"P"	"P"
"205776_at"	"A"	"A"	"M"
"205777_at"	"P"	"M"	"A"
"205778_at"	"A"	"A"	"A"
"205779_at"	"A"	"A"	"A"
"205780_at"	"A"	"A"	"A"
"205781_at"	"P"	"P"	"P"
"205782_at"	"A"	"A"	"P"
"205783_at"	"A"	"A"	"A"
"205784_x_at"	"A"	"A"	"A"
"205785_at"	"A"	"A"	"A"
"205786_s_at"	"A"	"A"	"A"
"205787_x_at"	"P"	"P"	"P"
"205788_s_at"	"P"	"P"	"P"
"205789_at"	"A"	"P"	"A"
"205790_at"	"A"	"A"	"A"
"205791_x_at"	"P"	"P"	"P"
"205792_at"	"A"	"A"	"A"
"205793_x_at"	"P"	"A"	"A"
"205794_s_at"	"P"	"P"	"P"
"205795_at"	"A"	"A"	"A"
"205796_at"	"P"	"P"	"P"
"205797_s_at"	"M"	"P"	"P"
"205798_at"	"P"	"P"	"P"
"205799_s_at"	"P"	"M"	"P"
"205800_at"	"A"	"A"	"A"
"205801_s_at"	"A"	"A"	"A"
"205802_at"	"P"	"P"	"P"
"205803_s_at"	"P"	"P"	"P"
"205804_s_at"	"A"	"A"	"A"
"205805_s_at"	"A"	"P"	"A"
"205806_at"	"P"	"P"	"P"
"205807_s_at"	"P"	"P"	"P"
"205808_at"	"P"	"P"	"P"
"205809_s_at"	"P"	"P"	"P"
"205810_s_at"	"A"	"A"	"A"
"205811_at"	"P"	"P"	"P"
"205812_s_at"	"P"	"P"	"P"
"205813_s_at"	"A"	"A"	"A"
"205814_at"	"A"	"A"	"A"
"205815_at"	"A"	"A"	"A"
"205816_at"	"A"	"A"	"A"
"205817_at"	"A"	"A"	"A"
"205818_at"	"A"	"A"	"P"
"205819_at"	"A"	"A"	"A"
"205820_s_at"	"A"	"A"	"A"
"205821_at"	"A"	"A"	"A"
"205822_s_at"	"P"	"P"	"P"
"205823_at"	"A"	"A"	"A"
"205824_at"	"A"	"A"	"A"
"205825_at"	"P"	"P"	"P"
"205826_at"	"A"	"A"	"A"
"205827_at"	"A"	"A"	"A"
"205828_at"	"P"	"P"	"P"
"205829_at"	"A"	"A"	"A"
"205830_at"	"P"	"P"	"P"
"205831_at"	"A"	"P"	"P"
"205832_at"	"P"	"P"	"P"
"205833_s_at"	"A"	"A"	"A"
"205834_s_at"	"A"	"A"	"A"
"205835_s_at"	"P"	"P"	"P"
"205836_s_at"	"P"	"P"	"P"
"205837_s_at"	"A"	"A"	"A"
"205838_at"	"A"	"A"	"A"
"205839_s_at"	"A"	"P"	"A"
"205840_x_at"	"A"	"A"	"A"
"205841_at"	"P"	"P"	"P"
"205842_s_at"	"P"	"P"	"P"
"205843_x_at"	"A"	"A"	"A"
"205844_at"	"A"	"P"	"P"
"205845_at"	"A"	"A"	"A"
"205846_at"	"A"	"A"	"A"
"205847_at"	"A"	"P"	"A"
"205848_at"	"A"	"P"	"P"
"205849_s_at"	"P"	"P"	"P"
"205850_s_at"	"A"	"A"	"A"
"205851_at"	"P"	"P"	"P"
"205852_at"	"A"	"A"	"A"
"205853_at"	"A"	"A"	"A"
"205854_at"	"P"	"P"	"P"
"205855_at"	"A"	"P"	"A"
"205856_at"	"A"	"P"	"P"
"205857_at"	"P"	"P"	"P"
"205858_at"	"A"	"A"	"A"
"205859_at"	"A"	"A"	"A"
"205860_x_at"	"A"	"A"	"A"
"205861_at"	"A"	"A"	"A"
"205862_at"	"P"	"P"	"P"
"205863_at"	"A"	"A"	"A"
"205864_at"	"A"	"A"	"A"
"205865_at"	"A"	"M"	"P"
"205866_at"	"A"	"A"	"A"
"205867_at"	"P"	"P"	"P"
"205868_s_at"	"P"	"P"	"P"
"205869_at"	"A"	"A"	"A"
"205870_at"	"P"	"P"	"P"
"205871_at"	"P"	"P"	"P"
"205872_x_at"	"P"	"P"	"P"
"205873_at"	"P"	"P"	"P"
"205874_at"	"A"	"P"	"P"
"205875_s_at"	"P"	"A"	"P"
"205876_at"	"P"	"P"	"P"
"205877_s_at"	"P"	"P"	"A"
"205878_at"	"A"	"A"	"P"
"205879_x_at"	"A"	"P"	"A"
"205880_at"	"P"	"P"	"P"
"205881_at"	"A"	"M"	"A"
"205882_x_at"	"P"	"P"	"P"
"205883_at"	"A"	"A"	"A"
"205884_at"	"A"	"P"	"P"
"205885_s_at"	"P"	"P"	"P"
"205886_at"	"A"	"A"	"A"
"205887_x_at"	"P"	"P"	"P"
"205888_s_at"	"P"	"P"	"P"
"205889_s_at"	"P"	"P"	"P"
"205890_s_at"	"A"	"A"	"A"
"205891_at"	"P"	"P"	"P"
"205892_s_at"	"A"	"A"	"A"
"205893_at"	"P"	"P"	"P"
"205894_at"	"P"	"P"	"P"
"205895_s_at"	"P"	"P"	"P"
"205896_at"	"P"	"P"	"P"
"205897_at"	"A"	"A"	"A"
"205898_at"	"A"	"A"	"A"
"205899_at"	"A"	"A"	"A"
"205900_at"	"A"	"A"	"A"
"205901_at"	"A"	"A"	"A"
"205902_at"	"A"	"A"	"A"
"205903_s_at"	"A"	"A"	"A"
"205904_at"	"P"	"P"	"P"
"205905_s_at"	"P"	"P"	"P"
"205906_at"	"A"	"A"	"A"
"205907_s_at"	"A"	"A"	"A"
"205908_s_at"	"A"	"A"	"A"
"205909_at"	"P"	"P"	"P"
"205910_s_at"	"A"	"A"	"A"
"205911_at"	"A"	"M"	"A"
"205912_at"	"A"	"A"	"A"
"205913_at"	"A"	"A"	"A"
"205914_s_at"	"A"	"A"	"A"
"205915_x_at"	"A"	"A"	"A"
"205916_at"	"A"	"A"	"A"
"205917_at"	"P"	"P"	"P"
"205918_at"	"A"	"A"	"A"
"205919_at"	"A"	"P"	"A"
"205920_at"	"A"	"P"	"P"
"205921_s_at"	"A"	"P"	"P"
"205922_at"	"M"	"A"	"A"
"205923_at"	"A"	"A"	"A"
"205924_at"	"P"	"P"	"P"
"205925_s_at"	"P"	"P"	"P"
"205926_at"	"M"	"A"	"A"
"205927_s_at"	"P"	"A"	"A"
"205928_at"	"A"	"A"	"P"
"205929_at"	"A"	"A"	"A"
"205930_at"	"P"	"P"	"P"
"205931_s_at"	"P"	"P"	"P"
"205932_s_at"	"P"	"P"	"P"
"205933_at"	"P"	"P"	"P"
"205934_at"	"A"	"A"	"A"
"205935_at"	"A"	"M"	"P"
"205936_s_at"	"A"	"A"	"A"
"205937_at"	"A"	"A"	"A"
"205938_at"	"A"	"A"	"A"
"205939_at"	"A"	"A"	"A"
"205940_at"	"A"	"A"	"A"
"205941_s_at"	"A"	"P"	"A"
"205942_s_at"	"A"	"A"	"A"
"205943_at"	"P"	"P"	"P"
"205944_s_at"	"A"	"A"	"A"
"205945_at"	"P"	"P"	"P"
"205946_at"	"A"	"A"	"A"
"205947_s_at"	"A"	"A"	"A"
"205948_at"	"A"	"A"	"A"
"205949_at"	"A"	"P"	"A"
"205950_s_at"	"A"	"A"	"A"
"205951_at"	"A"	"A"	"A"
"205952_at"	"A"	"A"	"P"
"205953_at"	"P"	"P"	"P"
"205954_at"	"A"	"A"	"A"
"205955_at"	"M"	"P"	"P"
"205956_x_at"	"A"	"P"	"P"
"205957_at"	"P"	"A"	"P"
"205958_x_at"	"A"	"A"	"A"
"205959_at"	"A"	"A"	"A"
"205960_at"	"A"	"A"	"A"
"205961_s_at"	"P"	"P"	"P"
"205962_at"	"A"	"A"	"A"
"205963_s_at"	"P"	"P"	"P"
"205964_at"	"A"	"A"	"P"
"205965_at"	"A"	"A"	"A"
"205966_at"	"P"	"P"	"P"
"205967_at"	"P"	"P"	"P"
"205968_at"	"P"	"P"	"P"
"205969_at"	"A"	"A"	"A"
"205970_at"	"A"	"A"	"A"
"205971_s_at"	"A"	"A"	"A"
"205972_at"	"A"	"A"	"A"
"205973_at"	"A"	"A"	"P"
"205974_at"	"A"	"A"	"A"
"205975_s_at"	"P"	"A"	"A"
"205976_at"	"P"	"A"	"A"
"205977_s_at"	"A"	"A"	"A"
"205978_at"	"A"	"A"	"M"
"205979_at"	"A"	"A"	"A"
"205980_s_at"	"A"	"A"	"A"
"205981_s_at"	"P"	"P"	"P"
"205982_x_at"	"A"	"A"	"A"
"205983_at"	"A"	"A"	"A"
"205984_at"	"A"	"P"	"A"
"205985_x_at"	"A"	"A"	"A"
"205986_at"	"A"	"A"	"A"
"205987_at"	"A"	"A"	"A"
"205988_at"	"A"	"A"	"A"
"205989_s_at"	"A"	"A"	"A"
"205990_s_at"	"P"	"P"	"P"
"205991_s_at"	"P"	"P"	"P"
"205992_s_at"	"P"	"P"	"P"
"205993_s_at"	"P"	"P"	"P"
"205994_at"	"A"	"A"	"A"
"205995_x_at"	"A"	"P"	"M"
"205996_s_at"	"P"	"P"	"P"
"205997_at"	"A"	"A"	"A"
"205998_x_at"	"A"	"A"	"A"
"205999_x_at"	"A"	"A"	"A"
"206000_at"	"A"	"A"	"A"
"206001_at"	"A"	"A"	"A"
"206002_at"	"A"	"A"	"A"
"206003_at"	"P"	"P"	"P"
"206004_at"	"A"	"A"	"A"
"206005_s_at"	"M"	"P"	"P"
"206006_s_at"	"M"	"P"	"P"
"206007_at"	"A"	"A"	"A"
"206008_at"	"A"	"A"	"A"
"206009_at"	"P"	"M"	"A"
"206010_at"	"A"	"A"	"P"
"206011_at"	"A"	"A"	"A"
"206012_at"	"A"	"A"	"A"
"206013_s_at"	"A"	"A"	"A"
"206014_at"	"A"	"A"	"A"
"206015_s_at"	"P"	"P"	"P"
"206016_at"	"P"	"P"	"P"
"206017_at"	"A"	"A"	"A"
"206018_at"	"P"	"P"	"P"
"206019_at"	"A"	"A"	"A"
"206020_at"	"P"	"P"	"P"
"206021_at"	"A"	"A"	"A"
"206022_at"	"P"	"P"	"P"
"206023_at"	"P"	"P"	"P"
"206024_at"	"A"	"A"	"A"
"206025_s_at"	"P"	"P"	"P"
"206026_s_at"	"P"	"P"	"P"
"206027_at"	"P"	"P"	"P"
"206028_s_at"	"A"	"A"	"A"
"206029_at"	"A"	"A"	"A"
"206030_at"	"A"	"A"	"A"
"206031_s_at"	"P"	"P"	"P"
"206032_at"	"A"	"M"	"M"
"206033_s_at"	"A"	"A"	"A"
"206034_at"	"P"	"P"	"P"
"206035_at"	"A"	"A"	"A"
"206036_s_at"	"A"	"P"	"P"
"206037_at"	"P"	"P"	"P"
"206038_s_at"	"P"	"P"	"P"
"206039_at"	"P"	"P"	"P"
"206040_s_at"	"A"	"A"	"A"
"206042_x_at"	"P"	"P"	"P"
"206043_s_at"	"A"	"A"	"A"
"206044_s_at"	"P"	"P"	"P"
"206045_s_at"	"A"	"A"	"A"
"206046_at"	"P"	"P"	"P"
"206047_at"	"A"	"A"	"A"
"206048_at"	"A"	"P"	"A"
"206049_at"	"A"	"A"	"A"
"206050_s_at"	"P"	"P"	"P"
"206051_at"	"A"	"A"	"A"
"206052_s_at"	"P"	"P"	"P"
"206053_at"	"P"	"P"	"P"
"206054_at"	"A"	"A"	"A"
"206055_s_at"	"P"	"P"	"P"
"206056_x_at"	"P"	"P"	"P"
"206057_x_at"	"A"	"A"	"A"
"206058_at"	"A"	"A"	"A"
"206059_at"	"A"	"A"	"A"
"206060_s_at"	"P"	"P"	"P"
"206061_s_at"	"P"	"P"	"P"
"206062_at"	"A"	"A"	"P"
"206063_x_at"	"A"	"P"	"P"
"206064_s_at"	"A"	"A"	"A"
"206065_s_at"	"A"	"A"	"A"
"206066_s_at"	"P"	"P"	"P"
"206067_s_at"	"A"	"A"	"A"
"206068_s_at"	"A"	"A"	"A"
"206069_s_at"	"A"	"A"	"A"
"206070_s_at"	"A"	"A"	"P"
"206071_s_at"	"A"	"A"	"A"
"206072_at"	"A"	"A"	"A"
"206073_at"	"A"	"A"	"A"
"206074_s_at"	"P"	"P"	"P"
"206075_s_at"	"P"	"P"	"P"
"206076_at"	"P"	"P"	"P"
"206077_at"	"A"	"A"	"A"
"206078_at"	"A"	"A"	"A"
"206079_at"	"A"	"P"	"P"
"206080_at"	"A"	"A"	"A"
"206081_at"	"P"	"P"	"P"
"206082_at"	"A"	"A"	"A"
"206083_at"	"A"	"A"	"A"
"206084_at"	"P"	"P"	"P"
"206085_s_at"	"P"	"P"	"P"
"206086_x_at"	"P"	"P"	"P"
"206087_x_at"	"P"	"P"	"P"
"206088_at"	"A"	"A"	"A"
"206089_at"	"A"	"A"	"A"
"206090_s_at"	"P"	"A"	"A"
"206091_at"	"A"	"P"	"P"
"206092_x_at"	"A"	"P"	"P"
"206093_x_at"	"A"	"A"	"M"
"206094_x_at"	"A"	"A"	"A"
"206095_s_at"	"P"	"P"	"P"
"206096_at"	"P"	"P"	"P"
"206097_at"	"A"	"A"	"A"
"206098_at"	"P"	"P"	"P"
"206099_at"	"P"	"P"	"P"
"206100_at"	"M"	"P"	"P"
"206101_at"	"P"	"P"	"P"
"206102_at"	"P"	"P"	"P"
"206103_at"	"A"	"A"	"P"
"206104_at"	"A"	"A"	"P"
"206105_at"	"A"	"A"	"M"
"206106_at"	"P"	"P"	"P"
"206107_at"	"A"	"A"	"A"
"206108_s_at"	"P"	"P"	"P"
"206109_at"	"A"	"A"	"A"
"206110_at"	"A"	"A"	"A"
"206111_at"	"A"	"P"	"A"
"206112_at"	"P"	"P"	"P"
"206113_s_at"	"P"	"P"	"P"
"206114_at"	"A"	"A"	"P"
"206115_at"	"M"	"P"	"P"
"206116_s_at"	"P"	"P"	"P"
"206117_at"	"P"	"P"	"P"
"206118_at"	"A"	"A"	"A"
"206119_at"	"A"	"A"	"A"
"206120_at"	"A"	"A"	"M"
"206121_at"	"A"	"A"	"A"
"206122_at"	"A"	"A"	"P"
"206123_at"	"A"	"A"	"M"
"206124_s_at"	"A"	"A"	"A"
"206125_s_at"	"A"	"A"	"A"
"206126_at"	"A"	"A"	"A"
"206127_at"	"P"	"P"	"P"
"206128_at"	"A"	"A"	"A"
"206129_s_at"	"P"	"P"	"P"
"206130_s_at"	"A"	"A"	"A"
"206131_at"	"A"	"A"	"A"
"206132_at"	"P"	"P"	"P"
"206133_at"	"A"	"P"	"P"
"206134_at"	"A"	"A"	"A"
"206135_at"	"P"	"P"	"P"
"206136_at"	"A"	"A"	"A"
"206137_at"	"A"	"A"	"A"
"206138_s_at"	"P"	"P"	"P"
"206139_at"	"M"	"P"	"P"
"206140_at"	"P"	"P"	"A"
"206141_at"	"P"	"P"	"P"
"206142_at"	"A"	"A"	"A"
"206143_at"	"A"	"A"	"A"
"206144_at"	"A"	"A"	"A"
"206145_at"	"A"	"A"	"A"
"206146_s_at"	"A"	"A"	"A"
"206147_x_at"	"P"	"P"	"P"
"206148_at"	"A"	"A"	"A"
"206149_at"	"A"	"A"	"A"
"206150_at"	"A"	"A"	"P"
"206151_x_at"	"A"	"A"	"A"
"206152_at"	"A"	"A"	"A"
"206153_at"	"A"	"A"	"A"
"206154_at"	"A"	"A"	"A"
"206155_at"	"A"	"M"	"P"
"206156_at"	"A"	"A"	"A"
"206157_at"	"P"	"P"	"P"
"206158_s_at"	"P"	"P"	"P"
"206159_at"	"A"	"A"	"A"
"206160_at"	"M"	"A"	"M"
"206161_s_at"	"A"	"A"	"A"
"206162_x_at"	"A"	"A"	"A"
"206163_at"	"P"	"P"	"P"
"206164_at"	"A"	"A"	"A"
"206165_s_at"	"A"	"A"	"A"
"206166_s_at"	"A"	"A"	"A"
"206167_s_at"	"P"	"A"	"A"
"206168_at"	"A"	"A"	"A"
"206169_x_at"	"A"	"A"	"A"
"206170_at"	"A"	"M"	"A"
"206171_at"	"A"	"A"	"A"
"206172_at"	"P"	"P"	"P"
"206173_x_at"	"P"	"P"	"P"
"206174_s_at"	"P"	"P"	"P"
"206175_x_at"	"P"	"P"	"P"
"206176_at"	"A"	"A"	"P"
"206177_s_at"	"A"	"A"	"A"
"206178_at"	"A"	"A"	"A"
"206179_s_at"	"A"	"A"	"A"
"206180_x_at"	"A"	"M"	"A"
