"GSM556748.CEL.gz"	"GSM556750.CEL.gz"	"GSM556751.CEL.gz"
"200630_x_at"	"P"	"P"	"P"
"200631_s_at"	"P"	"P"	"P"
"200632_s_at"	"P"	"P"	"P"
"200633_at"	"P"	"P"	"P"
"200634_at"	"P"	"P"	"P"
"200635_s_at"	"A"	"A"	"A"
"200636_s_at"	"A"	"A"	"A"
"200637_s_at"	"A"	"A"	"A"
"200638_s_at"	"P"	"P"	"P"
"200639_s_at"	"P"	"P"	"P"
"200640_at"	"P"	"P"	"P"
"200641_s_at"	"P"	"P"	"P"
"200642_at"	"P"	"P"	"P"
"200643_at"	"P"	"P"	"P"
"200644_at"	"P"	"P"	"P"
"200645_at"	"P"	"P"	"P"
"200646_s_at"	"P"	"P"	"P"
"200647_x_at"	"P"	"P"	"P"
"200648_s_at"	"A"	"M"	"P"
"200649_at"	"P"	"P"	"P"
"200650_s_at"	"P"	"P"	"P"
"200651_at"	"P"	"P"	"P"
"200652_at"	"P"	"P"	"P"
"200653_s_at"	"P"	"P"	"P"
"200654_at"	"P"	"P"	"P"
"200655_s_at"	"P"	"P"	"P"
"200656_s_at"	"P"	"P"	"P"
"200657_at"	"P"	"P"	"P"
"200658_s_at"	"P"	"P"	"P"
"200659_s_at"	"P"	"P"	"P"
"200660_at"	"P"	"P"	"P"
"200661_at"	"P"	"P"	"P"
"200662_s_at"	"P"	"P"	"P"
"200663_at"	"P"	"P"	"P"
"200664_s_at"	"P"	"P"	"P"
"200665_s_at"	"P"	"P"	"P"
"200666_s_at"	"P"	"P"	"P"
"200667_at"	"P"	"P"	"P"
"200668_s_at"	"P"	"P"	"P"
"200669_s_at"	"P"	"P"	"P"
"200670_at"	"P"	"P"	"P"
"200671_s_at"	"A"	"M"	"P"
"200672_x_at"	"P"	"P"	"P"
"200673_at"	"P"	"P"	"P"
"200674_s_at"	"P"	"P"	"P"
"200675_at"	"P"	"P"	"P"
"200676_s_at"	"P"	"P"	"P"
"200677_at"	"P"	"P"	"P"
"200678_x_at"	"P"	"P"	"P"
"200679_x_at"	"P"	"P"	"P"
"200680_x_at"	"P"	"P"	"P"
"200681_at"	"P"	"P"	"P"
"200682_s_at"	"P"	"P"	"P"
"200683_s_at"	"P"	"P"	"P"
"200684_s_at"	"P"	"P"	"P"
"200685_at"	"P"	"P"	"P"
"200686_s_at"	"P"	"P"	"P"
"200687_s_at"	"P"	"P"	"P"
"200688_at"	"P"	"P"	"P"
"200689_x_at"	"P"	"P"	"P"
"200690_at"	"P"	"P"	"P"
"200691_s_at"	"P"	"P"	"P"
"200692_s_at"	"P"	"P"	"P"
"200693_at"	"P"	"P"	"P"
"200694_s_at"	"P"	"P"	"P"
"200695_at"	"P"	"P"	"P"
"200696_s_at"	"P"	"P"	"P"
"200697_at"	"P"	"P"	"P"
"200698_at"	"P"	"P"	"P"
"200699_at"	"P"	"P"	"P"
"200700_s_at"	"P"	"P"	"P"
"200701_at"	"P"	"P"	"P"
"200702_s_at"	"P"	"P"	"P"
"200703_at"	"P"	"P"	"P"
"200704_at"	"P"	"P"	"P"
"200705_s_at"	"P"	"P"	"P"
"200706_s_at"	"P"	"P"	"P"
"200707_at"	"P"	"P"	"P"
"200708_at"	"P"	"P"	"P"
"200709_at"	"P"	"P"	"P"
"200710_at"	"P"	"P"	"P"
"200711_s_at"	"P"	"P"	"P"
"200712_s_at"	"P"	"P"	"P"
"200713_s_at"	"P"	"P"	"P"
"200714_x_at"	"P"	"P"	"P"
"200715_x_at"	"P"	"P"	"P"
"200716_x_at"	"P"	"P"	"P"
"200717_x_at"	"P"	"P"	"P"
"200718_s_at"	"P"	"P"	"P"
"200719_at"	"P"	"P"	"P"
"200720_s_at"	"P"	"P"	"P"
"200721_s_at"	"P"	"P"	"P"
"200722_s_at"	"P"	"P"	"P"
"200723_s_at"	"P"	"P"	"P"
"200724_at"	"A"	"A"	"A"
"200725_x_at"	"P"	"P"	"P"
"200726_at"	"P"	"P"	"P"
"200727_s_at"	"P"	"P"	"P"
"200728_at"	"P"	"P"	"P"
"200729_s_at"	"P"	"P"	"P"
"200730_s_at"	"P"	"P"	"P"
"200731_s_at"	"P"	"P"	"P"
"200732_s_at"	"P"	"P"	"P"
"200733_s_at"	"P"	"P"	"P"
"200734_s_at"	"P"	"P"	"P"
"200735_x_at"	"P"	"P"	"P"
"200736_s_at"	"P"	"P"	"P"
"200737_at"	"P"	"P"	"P"
"200738_s_at"	"P"	"P"	"P"
"200739_s_at"	"P"	"P"	"P"
"200740_s_at"	"P"	"P"	"P"
"200741_s_at"	"P"	"P"	"P"
"200742_s_at"	"P"	"P"	"P"
"200743_s_at"	"P"	"P"	"P"
"200744_s_at"	"P"	"P"	"P"
"200745_s_at"	"P"	"P"	"P"
"200746_s_at"	"P"	"P"	"P"
"200747_s_at"	"P"	"P"	"P"
"200748_s_at"	"P"	"P"	"P"
"200749_at"	"P"	"P"	"P"
"200750_s_at"	"P"	"P"	"P"
"200751_s_at"	"P"	"P"	"P"
"200752_s_at"	"P"	"P"	"P"
"200753_x_at"	"P"	"P"	"P"
"200754_x_at"	"P"	"P"	"P"
"200755_s_at"	"P"	"P"	"P"
"200756_x_at"	"P"	"P"	"P"
"200757_s_at"	"P"	"P"	"P"
"200758_s_at"	"P"	"P"	"P"
"200759_x_at"	"P"	"P"	"P"
"200760_s_at"	"P"	"P"	"P"
"200761_s_at"	"P"	"P"	"P"
"200762_at"	"P"	"P"	"P"
"200763_s_at"	"P"	"P"	"P"
"200764_s_at"	"P"	"P"	"P"
"200765_x_at"	"P"	"P"	"P"
"200766_at"	"P"	"P"	"P"
"200767_s_at"	"P"	"P"	"P"
"200768_s_at"	"P"	"P"	"P"
"200769_s_at"	"P"	"P"	"P"
"200770_s_at"	"P"	"P"	"P"
"200771_at"	"P"	"P"	"P"
"200772_x_at"	"P"	"P"	"P"
"200773_x_at"	"P"	"P"	"P"
"200774_at"	"P"	"P"	"P"
"200775_s_at"	"P"	"P"	"P"
"200776_s_at"	"P"	"P"	"P"
"200777_s_at"	"P"	"P"	"P"
"200778_s_at"	"P"	"P"	"P"
"200779_at"	"P"	"P"	"P"
"200780_x_at"	"P"	"P"	"P"
"200781_s_at"	"P"	"P"	"P"
"200782_at"	"P"	"P"	"P"
"200783_s_at"	"P"	"P"	"P"
"200784_s_at"	"A"	"A"	"M"
"200785_s_at"	"P"	"P"	"P"
"200786_at"	"P"	"P"	"P"
"200787_s_at"	"P"	"P"	"P"
"200788_s_at"	"P"	"P"	"P"
"200789_at"	"P"	"P"	"P"
"200790_at"	"P"	"P"	"P"
"200791_s_at"	"P"	"P"	"P"
"200792_at"	"P"	"P"	"P"
"200793_s_at"	"P"	"P"	"P"
