11212	189	2806	435	440	440	440	443	445	445	80150	91703																																																																																																																																																																																																																				
10007	10020	132789	2645	2645	2645	27159	3098	3098	3098	3098	3098	3099	3101	51005	5238	54187	55577	5973	6675	80201	91373																																																																																																																																																																																																										
26	262	314	314	4507	4842	4843	4843	4844	4845	4846	5625	5831	5831	58510	8639	8659	8659																																																																																																																																																																																																														
2745	51022	51022																																																																																																																																																																																																																													
10858	11001	1109	1581	1582	1593	23600	23600	3295	51302	570	6342	6718	80270	8309	9420																																																																																																																																																																																																																
3141	686																																																																																																																																																																																																																														
27034	28976	34	35	36	80724	84129																																																																																																																																																																																																																									
1558	1558	1565	1571	1579	6799	6799	6817	6817	6817	6817	6817	6818	6818	6818																																																																																																																																																																																																																	
126129	1374	1375	1375	1375	1375	1376	1384	1384	788																																																																																																																																																																																																																						
10654	10682	1595	1717	1718	2222	2224	3155	3156	3157	3157	3158	3295	3422	39	4047	4597	4598	50814	54511	6307	6309	6646	6713	7108	91734																																																																																																																																																																																																						
1431	1431	1738	1743	2271	3417	3418	3419	3420	3420	3420	3421	3421	3658	4191	47	47	48	4967	4967	50	6389	6390	6391	6392	8050	8801	8802																																																																																																																																																																																																				
53354	53354	53354	55229	60490	79646	79717	80025	80025	80025	80025	80347																																																																																																																																																																																																																				
55350	55350	55350	8875	8875	8876																																																																																																																																																																																																																										
1491	1491	160287	2805	2806	3939	3945	3948	3948	4357	55293	6821	7263	92483																																																																																																																																																																																																																		
1610	6566	9194																																																																																																																																																																																																																													
240	2687	27306	4056	4056	4258	4259	5730	5742	5743	6916	873																																																																																																																																																																																																																				
10840	10965	1384	1384	23417	31	31	31	31	31	32	3931	3990	51	51																																																																																																																																																																																																																	
11001	116285	2180	2181	2181	2182	2182	22305	22305	34	35	51703																																																																																																																																																																																																																				
2194	6319	6785	9415																																																																																																																																																																																																																												
2108	2109	2109	2110	34	35																																																																																																																																																																																																																										
1962	30	3295	51	51																																																																																																																																																																																																																											
10588	10797	10840	10841	10841	1719	25902	285216	286297	4522	4524	80068	8836																																																																																																																																																																																																																			
10327	10327	2203	226	226	226	229	230	231	2645	2645	2645	3098	3098	3098	3098	3098	3099	3101	3795	3795	5207	5208	5209	5210	6652	80201	8574	8789																																																																																																																																																																																																			
229	2582	2582	2584	2585	2585	2592	2592	2592	3795	3795	3938	6476	8972																																																																																																																																																																																																																		
1373	1373	18	18	2571	2571	2572	27165	27165	2744	2746	2747	2752	2875	2936	51557	7915	7915	84706	8659	8659																																																																																																																																																																																																											
10935	10935	257202	2655	2678	2678	2678	2679	26873	2729	2730	2876	2876	2877	2878	2879	290	2937	5052	5052	5052	7001	7001	7001																																																																																																																																																																																																								
10390	1040	10400	10400	10400	10423	10423	1103	1103	1103	1103	1119	1119	1120	1120	1178	1606	1607	1607	1608	160851	160851	1609	200576	200576	200576	23396	23761	26279	2710	2710	2712	2713	2819	29124	30814	43	43	5048	5049	5050	5051	5130	5297	5298	5305	5319	5320	5321	5322	5337	5338	55224	55361	55500	56994	5833	64600	7941	79837	81490	81579	8394	8395	8396	8396	8398	8398	8399	8525	8525	8525	8526	8527	8527	8760	9162	9468	9791																																																																																																																																																	
10993	1738	189	211	211	212	231	23464	23743	26227	2653	27232	2731	275	29958	29968	29968	55349	5723	635	6470	6470	8639	8781																																																																																																																																																																																																								
10327	10327	113452	124	125	126	127	128	130	131	137872	1571	160287	1737	1738	2023	2026	2027	2027	216	217	218	219	220	2203	221	222	223	224	226	226	226	229	230	2538	2597	26237	26330	2645	2645	2645	2820	2821	284273	284273	3098	3098	3098	3098	3098	3099	3101	348477	3939	3945	3948	3948	501	5105	5106	5160	5161	5162	5211	5211	5213	5214	5223	5224	5224	5230	5232	5236	5313	5313	5315	5315	5315	55276	55293	55902	55902	57818	65985	669	669	80201	8050	84532	847	8789	8854	8854	8854	92483	92579																																																																																																																																
160287	197257	197257	216	218	220	221	222	223	224	226	226	226	229	230	3795	3795	3939	3945	3948	3948	501	51179	51179	54363	55293	8854	8854	8854	92483	9380																																																																																																																																																																																																	
1371	210	210	2235	2235	3145	5498	7389	7390	79901																																																																																																																																																																																																																						
3162	3163	644	645																																																																																																																																																																																																																												
10841	10841	131669	1644	218	220	221	222	26	3034	3067	314	314	3176	4129	8639																																																																																																																																																																																																																
2990	3036	3037	3038	3038	3073	3074																																																																																																																																																																																																																									
10606	158	158	2618	2618	471	5198	5471																																																																																																																																																																																																																								
10870	113026	23007	23236	23236	23396	23533	257068	27124	27124	3612	3613	3628	3631	3631	3632	3633	3635	3636	3706	3707	4952	4952	51196	51477	5286	5287	5288	5289	5290	5291	5293	5294	5295	5295	5295	5296	5297	5298	5330	5331	5332	5332	5333	5334	5335	5335	5336	55361	55586	56623	5728	80271	8394	8395	84812	8503	8821	8867	8867	8871	8897	8897	8897	89869	9651																																																																																																																																																														
10157	1738	1743	4967	4967	51166	51166	51268	8050	89874																																																																																																																																																																																																																						
10768	10768	191	27430	27430	4143	4144	4548	875																																																																																																																																																																																																																							
11238	124	125	126	127	128	130	131	137872	23632	2538	284273	284273	377677	4353	57818	759	760	761	762	763	766	766	768	771	771	8288	847	92579																																																																																																																																																																																																			
29880																																																																																																																																																																																																																															
175	2519	2588	2720	3073	3074	4125	4126	4758	5476																																																																																																																																																																																																																						
22978	23057	23057	23475	23530	23530	349565	4837	4860	5167	5168	5169	54981	55191	952																																																																																																																																																																																																																	
100	10201	10380	107	108	10846	109	111	11164	112	112	113	114	115	122481	122622	122622	124583	151531	158	158	159	1633	1841	1854	196883	203	204	204	204	205	205	205	22978	26289	26289	270	271	271	271	27115	272	2766	2974	2977	2982	2983	2984	2986	2987	29922	29922	3000	30833	3614	3614	3615	4830	4830	4831	4832	4833	4860	4881	4882	4882	4907	50808	50940	51292	51292	51292	5136	5136	5137	5138	5139	5140	5140	5141	5142	5143	5144	5145	5146	5147	5148	5149	5150	5150	5151	5151	5151	5151	5151	5152	5152	5152	5152	5152	5152	5152	5152	5152	5152	5152	5152	5152	5152	5152	5152	5152	5152	5153	5158	51727	55811	56953	57379	6240	6241	7083	7084	7296	7296	7296	7296	7298	8622	8654	8654	8654	9060	9061	93034	93034	953	954	954	955	956	957																																																																																		
10476	10476	10632	10975	125965	126328	1327	1329	1337	1339	1340	1345	1346	1347	1349	1350	1351	1537	170712	27068	27068	27068	27068	27089	29796	29796	341947	374291	4512	4513	4514	4519	4535	4536	4537	4538	4539	4540	4541	4694	4695	4696	4697	4698	4700	4701	4702	4704	4705	4706	4707	4708	4709	4710	4711	4712	4712	4713	4714	4715	4716	4717	4718	4719	4720	4722	4723	4724	4725	4726	4728	4729	4731	4731	4905	498	498	498	506	509	509	51079	513	513	514	514	515	515	515	516	516	517	517	518	518	518	521	522	522	522	522	522	5464	55967	7381	7384	7385	7386	7388	7991	7991	84701	9167	9377	9551	9551	9551																																																																																																											
221823	221823	22934	2539	25796	5226	5236	5631	5634	6120	6120	64080	6888	7086	8277	84076	9563																																																																																																																																																																																																															
10327	10327	231	51181	8574	9942																																																																																																																																																																																																																										
1644	218	220	221	222	26	314	314	4128	4129																																																																																																																																																																																																																						
160287	3939	3945	3948	3948	4329	55293	55902	55902	65985	92483																																																																																																																																																																																																																					
100	22978	4860	7498	93034	93034																																																																																																																																																																																																																										
1723	7371	7372	790	83549																																																																																																																																																																																																																											
151531	1635	1806	1807	1808	1809	1890	30833	51733	57379	7378	7378	93034	93034	978																																																																																																																																																																																																																	
10327	10327	10873	124	125	126	127	128	130	131	137872	1571	216	218	220	221	222	223	224	231	284273	284273	3939	4199	4200	501	5091	5091	8574	8854	8854	8854	9380																																																																																																																																																																																															
6647	6648	6649	847																																																																																																																																																																																																																												
5167	52	52	52	55312	80308	80308																																																																																																																																																																																																																									
3251																																																																																																																																																																																																																															
10558	2531	259230	2629	2629	2629	2629	2629	427	427	55512	55512	56848	7357	8560	8560	8879	9517																																																																																																																																																																																																														
11136	11181	178	178	178	178	178	178	2595	2632	276	276	277	278	279	280	2992	2997	2998	5167	5168	5169	5834	5836	5837	6476	6519	6520	7358	8908	8972																																																																																																																																																																																																	
1109	1545	3284	3290	3290	3291	3292	3294	412	51478	54490	54576	6783	6817	6817	6817	6817	6817	6820	6820	6822	7923																																																																																																																																																																																																										
1036	2571	2571	2572	51380	6533																																																																																																																																																																																																																										
5092	5092	5860																																																																																																																																																																																																																													
27010	79178																																																																																																																																																																																																																														
10087	23169	2542	2544																																																																																																																																																																																																																												
10050	10246	10257	10396	10560	10568	10599	10723	10786	10861	10861	10861	10991	10998	10999	11000	11001	11136	11182	11254	11309	114134	115019	115019	115111	115111	115584	116369	116369	117247	123041	123041	123041	124935	125206	140679	144195	154091	155184	159963	1811	1836	19	200010	2030	206358	23428	23428	23439	2348	2348	2348	2348	2348	2348	2351	2352	23539	23657	246213	25769	26266	28231	28232	28234	284111	284129	29988	3177	376497	376497	389015	4363	476	477	478	480	481	482	483	490	491	492	493	495	496	5172	5244	5244	5244	53919	54407	55089	56301	56606	56606	57030	57084	57127	57194	57282	57419	57468	57835	57835	57835	57835	6005	60482	64078	64849	64849	65010	65010	65010	6505	6506	6507	6508	6508	6509	6510	6511	6512	6513	6514	6515	6517	6518	6519	6520	6521	6522	6523	6524	6526	6528	6529	6530	6531	6532	6533	6534	6535	6536	6536	6537	6538	6539	6540	6541	6542	6543	6546	6547	6547	6547	6547	6547	6547	6548	6549	6550	6553	6554	6555	6557	6558	6559	6560	6561	6563	6565	6566	6567	6568	6569	6570	6571	6572	6573	6573	6574	6575	6578	6579	6580	6581	6582	6582	6584	66035	80704	81031	8140	81539	8170	83697	84889	8501	8647	8671	8714	8714	8714	8884	9056	9058	9123	9152	9153	9154	9154	9187	9194	92745	9497	9498	952	9962	9962	9963	9963	9990
10312	10312	127124	127124	23545	245972	245973	26503	50617	50617	50617	51382	51606	51606	51606	523	525	526	527	528	528	529	533	534	534	535	8992	90423	9114	9296	9550																																																																																																																																																																																																	
10165	10166	10396	115286	115286	115286	1468	2030	291	292	293	343	366	57194	60386	6566	6576	7350	7351	7352	7352	788	8034	83884	8402	8604	9016	9016	9481																																																																																																																																																																																																			
10554	10555	11343	11343	116255	137964	3990	4023	50487	5406	5407	5408	55326	56894	56894	56895	57678	80168	84649	8513	8694	9388																																																																																																																																																																																																										
121278	1644	1892	23498	2639	2639	3028	3030	3032	3033	38	39	549	6999	7166	8564	8942	89874																																																																																																																																																																																																														
5053																																																																																																																																																																																																																															
124	125	126	127	128	130	131	137872	1621	1638	1644	2098	218	2184	220	221	222	26	26002	2805	2954	2954	2954	3081	314	314	3242	4128	4129	50506	53905	53905	5409	6799	6799	6817	6817	6817	6817	6817	6818	6818	6818	7054	7054	7054	7173	7173	7173	7173	7173	7299	7306	8639																																																																																																																																																																										
1152	1158	1159	1160	1757	2593	2593	2628	29920	383	4942	4953	5009	5832	65263	6723																																																																																																																																																																																																																
11112	1629	1738	1892	23417	27034	3028	3030	3032	34	36	3712	38	4329	4594	5019	5095	5096	549	56922	587	593	594	594	64064	64087	84693																																																																																																																																																																																																					
112724	145226	157506	195814	50700	51109	57665	5959	8228	8608	9227																																																																																																																																																																																																																					
316	55163	57026	8566																																																																																																																																																																																																																												
18	18	216	223	224	26	314	314	501	8639	8854	8854	8854																																																																																																																																																																																																																			
